('batch_size', 48)
('input_channels', 24)
('image_size', 256)
('output_channels', 24)
('kernel_size', 1)
-----------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                                        CPU time        CUDA time            Calls        CPU total       CUDA total
-----------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
torch::autograd::GraphRoot                   2.539us          0.000us                1          2.539us          0.000us
SumBackward0                                28.802us          0.000us                1         28.802us          0.000us
expand                                      23.066us          0.000us                1         23.066us          0.000us
ThnnConv2DBackward                      240956.386us          0.000us                1     240956.386us          0.000us
thnn_conv2d_backward                    240932.621us          0.000us                1     240932.621us          0.000us
torch::autograd::AccumulateGrad             44.631us          0.000us                1         44.631us          0.000us
clone                                       36.429us          0.000us                1         36.429us          0.000us
torch::autograd::AccumulateGrad              8.002us          0.000us                1          8.002us          0.000us
clone                                        3.947us          0.000us                1          3.947us          0.000us
