('batch_size', 4)
('input_channels', 16)
('image_size', 256)
('output_channels', 32)
('kernel_size', 1)
------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                             CPU time        CUDA time            Calls        CPU total       CUDA total
------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
conv2d                        36012.988us          0.000us                1      36012.988us          0.000us
convolution                   36006.518us          0.000us                1      36006.518us          0.000us
_convolution                  36000.621us          0.000us                1      36000.621us          0.000us
tensor                            9.837us          0.000us                1          9.837us          0.000us
_convolution_nogroup          35967.097us          0.000us                1      35967.097us          0.000us
thnn_conv2d                   35959.822us          0.000us                1      35959.822us          0.000us
thnn_conv2d_forward           35953.717us          0.000us                1      35953.717us          0.000us
sum                            8740.142us          0.000us                1       8740.142us          0.000us
_sum                           8732.832us          0.000us                1       8732.832us          0.000us
