('batch_size', 16)
('input_channels', 8)
('image_size', 256)
('output_channels', 8)
('kernel_size', 3)
---------------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                          CPU time        CUDA time            Calls        CPU total       CUDA total
---------------------  ---------------  ---------------  ---------------  ---------------  ---------------
conv2d                       528.503us       1600.896us                1        528.503us       1600.896us
_th_get_device                11.458us         11.200us                1         11.458us         11.200us
convolution                  485.615us       1562.304us                1        485.615us       1562.304us
_th_get_device                 5.486us          5.440us                1          5.486us          5.440us
_convolution                 456.394us       1537.280us                1        456.394us       1537.280us
_th_get_device                 5.346us          5.472us                1          5.346us          5.472us
tensor                        23.221us         21.312us                1         23.221us         21.312us
cudnn_convolution            368.672us       1457.440us                1        368.672us       1457.440us
sum                         1227.455us        185.376us                1       1227.455us        185.376us
_th_get_device                 5.724us          1.600us                1          5.724us          1.600us
_sum                        1193.698us        174.080us                1       1193.698us        174.080us
