('batch_size', 48)
('input_channels', 24)
('image_size', 256)
('output_channels', 12)
('kernel_size', 5)
-----------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                                        CPU time        CUDA time            Calls        CPU total       CUDA total
-----------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
_th_get_device                              13.151us         12.544us                1         13.151us         12.544us
torch::autograd::GraphRoot                  25.430us          8.544us                1         25.430us          8.544us
_th_get_device                              10.800us          8.736us                1         10.800us          8.736us
SumBackward0                               109.494us        100.992us                1        109.494us        100.992us
expand                                      66.976us         64.352us                1         66.976us         64.352us
_th_get_device                               6.152us          6.272us                1          6.152us          6.272us
CudnnConvolutionBackward                   455.261us      30987.040us                1        455.261us      30987.040us
cudnn_convolution_backward                 420.945us      30961.664us                1        420.945us      30961.664us
_th_get_device                               6.045us          1.568us                1          6.045us          1.568us
_th_get_device                               5.887us          1.598us                1          5.887us          1.598us
torch::autograd::AccumulateGrad             44.206us          4.961us                1         44.206us          4.961us
torch::autograd::AccumulateGrad             22.055us          3.841us                1         22.055us          3.841us
