,node name,peak bytes,residual bytes,output bytes,total execution time,accelerator execution time,cpu execution time,# parameters,# float_ops,assigned devices,op types,op occurrence (run
0,ApplyRMSProp,0.0,0.0,13178.88,171.03,0.0,171.03,0,0.0, /job:localhost/replica:0/task:0/device:cpu:0, /job:localhost/replica:0/task:0/device:cpu:0|ApplyRMSProp,"      83|83
"
11,L2Loss,0.05859375,0.05859375,0.05859375,8.04,0.0,8.04,0,9.45, /job:localhost/replica:0/task:0/device:cpu:0, /job:localhost/replica:0/task:0/device:cpu:0|L2Loss,"      15|15
"
15,VariableV2,39618.56,39618.56,39618.56,3.72,0.0,3.72,9.67m,0.0, /job:localhost/replica:0/task:0/device:cpu:0, /job:localhost/replica:0/task:0/device:cpu:0|VariableV2|_trainable_variables,"    304|304
"
17,Identity,3.84,3.84,13475.84,1.14,0.0,1.14,0,0.0, |/job:localhost/replica:0/task:0/device:cpu:0|/job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:cpu:0|/job:localhost/replica:0/task:0/device:gpu:0|Identity,"    167|589
"
20,AssignSub,0.0,0.0,87.55,0.688,0.0,0.688,0,0.02189, /job:localhost/replica:0/task:0/device:cpu:0, /job:localhost/replica:0/task:0/device:cpu:0|AssignSub,"      54|54
"
22,Const,1.12,1.12,3.42,0.282,0.0,0.282,0,0.0, |/job:localhost/replica:0/task:0/device:cpu:0|/job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:cpu:0|/job:localhost/replica:0/task:0/device:gpu:0|Const,"    35|1107
"
28,ShapeN,0.03125,0.03125,0.03125,0.133,0.0,0.133,0,0.0, |/job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|ShapeN,"      14|15
"
34,QueueCloseV2,0.0,0.0,0.0,0.08099999999999999,0.0,0.08099999999999999,0,0.0, |/job:localhost/replica:0/task:0/device:cpu:0, /job:localhost/replica:0/task:0/device:cpu:0|QueueCloseV2,"        1|8
"
36,FIFOQueueV2,4935.68,4935.68,0.265625,0.071,0.0,0.071,0,0.0, |/job:localhost/replica:0/task:0/device:cpu:0, /job:localhost/replica:0/task:0/device:cpu:0|FIFOQueueV2,"        2|3
"
37,QueueDequeueV2,0.0,0.0,2467.84,0.053,0.0,0.053,0,0.0, |/job:localhost/replica:0/task:0/device:cpu:0, /job:localhost/replica:0/task:0/device:cpu:0|QueueDequeueV2,"        1|2
"
38,Reshape,0.0,0.0,16.9,0.048,0.0,0.048,0,0.0, |/job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|Reshape,"       3|25
"
39,MobilenetV1/Conv2d_12_pointwise/weights/read/_783,0.0,0.0,0.0,0.048,0.0,0.048,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|MobilenetV1/Conv2d_12_pointwise/weights/read/_783,"        1|1
"
40,FloorMod,0.25,0.25,0.25,0.039999999999999994,0.0,0.039999999999999994,0,0.0, /job:localhost/replica:0/task:0/device:cpu:0, /job:localhost/replica:0/task:0/device:cpu:0|FloorMod,"        1|1
"
41,MobilenetV1/Logits/Conv2d_1c_1x1/kernel/Regularizer/l2_regularizer/L2Loss/_394,0.0,0.0,0.0,0.034,0.0,0.034,0,0.0, /job:localhost/replica:0/task:0/device:cpu:0, /job:localhost/replica:0/task:0/device:cpu:0|MobilenetV1/Logits/Conv2d_1c_1x1/kernel/Regularizer/l2_regularizer/L2Loss/_394,"        1|1
"
42,MobilenetV1/Conv2d_4_pointwise/weights/read/_543,0.0,0.0,0.0,0.029999999999999995,0.0,0.029999999999999995,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|MobilenetV1/Conv2d_4_pointwise/weights/read/_543,"        1|1
"
43,Greater,0.25,0.25,0.25,0.027,0.0,0.027,0,2e-06, |/job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|Greater,"        1|2
"
44,group_deps/_1031,0.0,0.0,0.0,0.022,0.0,0.022,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|group_deps/_1031,"        1|1
"
45,gradients/MobilenetV1/Logits/Dropout_1b/dropout/mul_grad/Mul-1-TransposeNHWCToNCHW-LayoutOptimizer,0.0,0.0,16.38,0.019999999999999997,0.0,0.019999999999999997,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|gradients/MobilenetV1/Logits/Dropout_1b/dropout/mul_grad/Mul-1-TransposeNHWCToNCHW-LayoutOptimizer,"        1|1
"
46,MobilenetV1/MobilenetV1/Conv2d_6_pointwise/kernel/Regularizer/l2_regularizer/L2Loss/_365,0.0,0.0,0.0,0.018999999999999996,0.0,0.018999999999999996,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|MobilenetV1/MobilenetV1/Conv2d_6_pointwise/kernel/Regularizer/l2_regularizer/L2Loss/_365,"        1|1
"
47,Cast,0.00390625,0.00390625,0.00390625,0.018999999999999996,0.0,0.018999999999999996,0,0.0, |/job:localhost/replica:0/task:0/device:cpu:0, /job:localhost/replica:0/task:0/device:cpu:0|Cast,"       1|40
"
48,ExpandDims,0.25,0.25,0.25,0.017,0.0,0.017,0,0.0, |/job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|ExpandDims,"        1|7
"
49,MobilenetV1/Logits/Dropout_1b/dropout/ArithmeticOptimizer/RemoveIdempotent_random_uniform,0.0,0.0,16.38,0.017,0.0,0.017,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|MobilenetV1/Logits/Dropout_1b/dropout/ArithmeticOptimizer/RemoveIdempotent_random_uniform,"        1|1
"
50,MobilenetV1/MobilenetV1/Conv2d_12_pointwise/kernel/Regularizer/l2_regularizer/L2Loss/_389,0.0,0.0,0.0,0.016,0.0,0.016,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|MobilenetV1/MobilenetV1/Conv2d_12_pointwise/kernel/Regularizer/l2_regularizer/L2Loss/_389,"        1|1
"
