,node name,peak bytes,residual bytes,output bytes,total execution time,accelerator execution time,cpu execution time,# parameters,# float_ops,assigned devices,op types,op occurrence (run
0,DepthwiseConv2dNativeBackpropFilter,296.54,296.54,296.54,49.53,47.56,1.97,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|DepthwiseConv2dNativeBackpropFilter,"      17|17
"
1,Conv2DBackpropFilter,38318.08,9543.68,9543.68,35.1,25.07,10.01,0,2230.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|Conv2DBackpropFilter,"      36|36
"
2,FusedBatchNormGrad,116531.2,116531.2,116531.2,32.79,22.99,9.79,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|FusedBatchNormGrad,"      52|52
"
3,FusedBatchNorm,116705.28,116705.28,116705.28,32.18,21.08,11.08,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|FusedBatchNorm,"      52|52
"
4,DepthwiseConv2dNativeBackpropInput,73082.88,73082.88,73082.88,26.58,24.9,1.67,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|DepthwiseConv2dNativeBackpropInput,"      17|17
"
5,Conv2D,242739.2,72560.64,72560.64,26.14,13.81,12.31,0,2230.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|Conv2D,"      36|36
"
6,Conv2DBackpropInput,185190.4,55715.84,55715.84,24.8,14.03,10.76,0,63490.0, |/job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|Conv2DBackpropInput,"      35|36
"
8,Mul,9840.64,9840.64,10045.44,14.5,0.625,13.83,0,4.55, |/job:localhost/replica:0/task:0/device:cpu:0|/job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:cpu:0|/job:localhost/replica:0/task:0/device:gpu:0|Mul,"    181|323
"
9,DepthwiseConv2dNative,40560.64,40560.64,40560.64,12.51,10.77,1.73,0,165.73, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|DepthwiseConv2dNative,"      17|17
"
10,Relu6Grad,0.0,0.0,118702.08,10.49,8.38,2.1,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|Relu6Grad,"      35|35
"
11,Relu6,0.0,0.0,105318.4,8.48,6.01,2.45,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|Relu6,"      35|35
"
12,Sub,0.25,0.25,149.76,8.34,0.155,8.14,0,0.18475, |/job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|Sub,"    105|217
"
16,AddN,0.0,0.0,14161.92,3.69,0.975,2.7,0,3.0, |/job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|AddN,"      46|48
"
18,Floor,0.0,0.0,20.48,2.08,0.002,2.07,0,0.0, /job:localhost/replica:0/task:0/device:cpu:0|/job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:cpu:0|/job:localhost/replica:0/task:0/device:gpu:0|Floor,"        2|2
"
20,Equal,0.25,0.25,0.25,1.36,0.002,1.36,0,29.01, |/job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|Equal,"       1|84
"
21,AvgPoolGrad,3778.56,1679.36,1679.36,1.23,1.12,0.10499999999999998,0,0.50176, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|AvgPoolGrad,"        1|1
"
22,Add,0.0,0.0,4935.68,1.16,0.24699999999999997,0.9089999999999999,0,3.23, |/job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|Add,"      11|69
"
23,RealDiv,24.74,24.74,45.48,0.874,0.006,0.868,0,0.020489999999999998, |/job:localhost/replica:0/task:0/device:cpu:0|/job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:cpu:0|/job:localhost/replica:0/task:0/device:gpu:0|RealDiv,"       4|10
"
24,gradients/MobilenetV2/Conv/Conv2D_grad/Conv2DBackpropFilter-0-TransposeNHWCToNCHW-LayoutOptimizer,2467.84,2467.84,2467.84,0.597,0.418,0.178,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|gradients/MobilenetV2/Conv/Conv2D_grad/Conv2DBackpropFilter-0-TransposeNHWCToNCHW-LayoutOptimizer,"        1|1
"
25,SoftmaxCrossEntropyWithLogits,1.28,0.75,0.5,0.484,0.09499999999999999,0.38899999999999996,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|SoftmaxCrossEntropyWithLogits,"        1|1
"
26,ArithmeticOptimizer/AddOpsRewrite_AddN,0.0,0.0,0.25,0.284,0.012,0.272,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|ArithmeticOptimizer/AddOpsRewrite_AddN,"        1|1
"
31,RandomUniform,20.48,20.48,20.48,0.18899999999999997,0.007,0.18099999999999997,0,0.0, |/job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|RandomUniform,"        1|4
"
32,AvgPool,20.48,20.48,20.48,0.184,0.08499999999999999,0.09899999999999999,0,0.25088, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|AvgPool,"        1|1
"
