---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                                CPU time        CUDA time            Calls        CPU total       CUDA total
---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
conv2d                         8759210.636us          0.000us                1    8759210.636us          0.000us
convolution                    8759188.492us          0.000us                1    8759188.492us          0.000us
_convolution                   8759159.084us          0.000us                1    8759159.084us          0.000us
contiguous                           2.336us          0.000us                1          2.336us          0.000us
empty                                5.696us          0.000us                1          5.696us          0.000us
_convolution_nogroup           8759073.932us          0.000us                1    8759073.932us          0.000us
thnn_conv2d                    8759056.684us          0.000us                1    8759056.684us          0.000us
thnn_conv2d_forward            8759047.660us          0.000us                1    8759047.660us          0.000us
add_                                49.024us          0.000us                1         49.024us          0.000us
batch_norm                       36293.724us          0.000us                1      36293.724us          0.000us
native_batch_norm                36265.692us          0.000us                1      36265.692us          0.000us
threshold_                       18082.815us          0.000us                1      18082.815us          0.000us
max_pool2d_with_indices          68378.592us          0.000us                1      68378.592us          0.000us
conv2d                         8576187.417us          0.000us                1    8576187.417us          0.000us
convolution                    8576181.465us          0.000us                1    8576181.465us          0.000us
_convolution                   8576177.273us          0.000us                1    8576177.273us          0.000us
contiguous                           2.016us          0.000us                1          2.016us          0.000us
empty                                6.112us          0.000us                1          6.112us          0.000us
_convolution_nogroup           8576145.241us          0.000us                1    8576145.241us          0.000us
thnn_conv2d                    8576137.977us          0.000us                1    8576137.977us          0.000us
thnn_conv2d_forward            8576132.409us          0.000us                1    8576132.409us          0.000us
add_                                32.384us          0.000us                1         32.384us          0.000us
batch_norm                        9442.638us          0.000us                1       9442.638us          0.000us
native_batch_norm                 9428.462us          0.000us                1       9428.462us          0.000us
threshold_                        5342.806us          0.000us                1       5342.806us          0.000us
conv2d                         8576760.683us          0.000us                1    8576760.683us          0.000us
convolution                    8576754.443us          0.000us                1    8576754.443us          0.000us
_convolution                   8576750.315us          0.000us                1    8576750.315us          0.000us
contiguous                           2.528us          0.000us                1          2.528us          0.000us
empty                               10.336us          0.000us                1         10.336us          0.000us
_convolution_nogroup           8576713.099us          0.000us                1    8576713.099us          0.000us
thnn_conv2d                    8576707.051us          0.000us                1    8576707.051us          0.000us
thnn_conv2d_forward            8576701.611us          0.000us                1    8576701.611us          0.000us
add_                                31.936us          0.000us                1         31.936us          0.000us
batch_norm                        9419.567us          0.000us                1       9419.567us          0.000us
native_batch_norm                 9405.871us          0.000us                1       9405.871us          0.000us
add_                              4295.864us          0.000us                1       4295.864us          0.000us
threshold_                        5531.670us          0.000us                1       5531.670us          0.000us
conv2d                         8575828.830us          0.000us                1    8575828.830us          0.000us
convolution                    8575822.590us          0.000us                1    8575822.590us          0.000us
_convolution                   8575818.398us          0.000us                1    8575818.398us          0.000us
contiguous                           2.496us          0.000us                1          2.496us          0.000us
empty                                9.536us          0.000us                1          9.536us          0.000us
_convolution_nogroup           8575783.454us          0.000us                1    8575783.454us          0.000us
thnn_conv2d                    8575776.286us          0.000us                1    8575776.286us          0.000us
thnn_conv2d_forward            8575770.910us          0.000us                1    8575770.910us          0.000us
add_                                31.584us          0.000us                1         31.584us          0.000us
batch_norm                       10086.894us          0.000us                1      10086.894us          0.000us
native_batch_norm                10073.038us          0.000us                1      10073.038us          0.000us
threshold_                        6043.989us          0.000us                1       6043.989us          0.000us
conv2d                         8577381.867us          0.000us                1    8577381.867us          0.000us
convolution                    8577375.787us          0.000us                1    8577375.787us          0.000us
_convolution                   8577371.915us          0.000us                1    8577371.915us          0.000us
contiguous                           2.272us          0.000us                1          2.272us          0.000us
empty                                9.536us          0.000us                1          9.536us          0.000us
_convolution_nogroup           8577337.387us          0.000us                1    8577337.387us          0.000us
thnn_conv2d                    8577330.635us          0.000us                1    8577330.635us          0.000us
thnn_conv2d_forward            8577324.843us          0.000us                1    8577324.843us          0.000us
add_                                31.424us          0.000us                1         31.424us          0.000us
batch_norm                        9551.791us          0.000us                1       9551.791us          0.000us
native_batch_norm                 9538.095us          0.000us                1       9538.095us          0.000us
add_                              4311.832us          0.000us                1       4311.832us          0.000us
threshold_                        5792.566us          0.000us                1       5792.566us          0.000us
conv2d                         3110703.667us          0.000us                1    3110703.667us          0.000us
convolution                    3110697.427us          0.000us                1    3110697.427us          0.000us
_convolution                   3110693.427us          0.000us                1    3110693.427us          0.000us
contiguous                           2.336us          0.000us                1          2.336us          0.000us
empty                                8.704us          0.000us                1          8.704us          0.000us
_convolution_nogroup           3110658.419us          0.000us                1    3110658.419us          0.000us
thnn_conv2d                    3110652.051us          0.000us                1    3110652.051us          0.000us
thnn_conv2d_forward            3110645.683us          0.000us                1    3110645.683us          0.000us
add_                                33.376us          0.000us                1         33.376us          0.000us
batch_norm                        3885.337us          0.000us                1       3885.337us          0.000us
native_batch_norm                 3870.777us          0.000us                1       3870.777us          0.000us
threshold_                        3622.265us          0.000us                1       3622.265us          0.000us
conv2d                         6792697.168us          0.000us                1    6792697.168us          0.000us
convolution                    6792690.992us          0.000us                1    6792690.992us          0.000us
_convolution                   6792686.928us          0.000us                1    6792686.928us          0.000us
contiguous                           2.304us          0.000us                1          2.304us          0.000us
empty                                9.568us          0.000us                1          9.568us          0.000us
_convolution_nogroup           6792652.336us          0.000us                1    6792652.336us          0.000us
thnn_conv2d                    6792645.360us          0.000us                1    6792645.360us          0.000us
thnn_conv2d_forward            6792640.048us          0.000us                1    6792640.048us          0.000us
add_                                32.160us          0.000us                1         32.160us          0.000us
batch_norm                        4924.087us          0.000us                1       4924.087us          0.000us
native_batch_norm                 4908.823us          0.000us                1       4908.823us          0.000us
conv2d                          315613.375us          0.000us                1     315613.375us          0.000us
convolution                     315607.583us          0.000us                1     315607.583us          0.000us
_convolution                    315603.551us          0.000us                1     315603.551us          0.000us
contiguous                           2.336us          0.000us                1          2.336us          0.000us
empty                                6.400us          0.000us                1          6.400us          0.000us
_convolution_nogroup            315573.087us          0.000us                1     315573.087us          0.000us
thnn_conv2d                     315567.487us          0.000us                1     315567.487us          0.000us
thnn_conv2d_forward             315561.983us          0.000us                1     315561.983us          0.000us
add_                                33.120us          0.000us                1         33.120us          0.000us
batch_norm                        4799.639us          0.000us                1       4799.639us          0.000us
native_batch_norm                 4785.399us          0.000us                1       4785.399us          0.000us
add_                              2165.276us          0.000us                1       2165.276us          0.000us
threshold_                        3760.953us          0.000us                1       3760.953us          0.000us
conv2d                         6780490.040us          0.000us                1    6780490.040us          0.000us
convolution                    6780483.864us          0.000us                1    6780483.864us          0.000us
_convolution                   6780479.960us          0.000us                1    6780479.960us          0.000us
contiguous                           2.624us          0.000us                1          2.624us          0.000us
empty                                8.896us          0.000us                1          8.896us          0.000us
_convolution_nogroup           6780445.176us          0.000us                1    6780445.176us          0.000us
thnn_conv2d                    6780439.256us          0.000us                1    6780439.256us          0.000us
thnn_conv2d_forward            6780433.176us          0.000us                1    6780433.176us          0.000us
add_                                31.616us          0.000us                1         31.616us          0.000us
batch_norm                        4778.807us          0.000us                1       4778.807us          0.000us
native_batch_norm                 4764.919us          0.000us                1       4764.919us          0.000us
threshold_                        3964.728us          0.000us                1       3964.728us          0.000us
conv2d                         6801691.586us          0.000us                1    6801691.586us          0.000us
convolution                    6801685.826us          0.000us                1    6801685.826us          0.000us
_convolution                   6801681.762us          0.000us                1    6801681.762us          0.000us
contiguous                           2.560us          0.000us                1          2.560us          0.000us
empty                               10.016us          0.000us                1         10.016us          0.000us
_convolution_nogroup           6801645.026us          0.000us                1    6801645.026us          0.000us
thnn_conv2d                    6801639.170us          0.000us                1    6801639.170us          0.000us
thnn_conv2d_forward            6801633.506us          0.000us                1    6801633.506us          0.000us
add_                                31.040us          0.000us                1         31.040us          0.000us
batch_norm                        4770.328us          0.000us                1       4770.328us          0.000us
native_batch_norm                 4755.800us          0.000us                1       4755.800us          0.000us
