---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                                CPU time        CUDA time            Calls        CPU total       CUDA total
---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
conv2d                             430.718us      10864.640us                1        430.718us      10864.640us
convolution                        380.542us      10840.320us                1        380.542us      10840.320us
_convolution                       348.094us      10822.304us                1        348.094us      10822.304us
contiguous                          17.920us         17.920us                1         17.920us         17.920us
empty                               24.608us         24.960us                1         24.608us         24.960us
cudnn_convolution                  226.911us      10723.840us                1        226.911us      10723.840us
add_                               100.543us          6.081us                1        100.543us          6.081us
batch_norm                         336.894us       4726.976us                1        336.894us       4726.976us
contiguous                          15.968us          0.640us                1         15.968us          0.640us
contiguous                          14.016us          0.640us                1         14.016us          0.640us
contiguous                          12.960us          0.640us                1         12.960us          0.640us
contiguous                          12.608us          0.640us                1         12.608us          0.640us
contiguous                          12.992us          0.640us                1         12.992us          0.640us
cudnn_batch_norm                   155.967us       4719.201us                1        155.967us       4719.201us
threshold_                          73.504us       3598.625us                1         73.504us       3598.625us
max_pool2d_with_indices             94.720us       5854.080us                1         94.720us       5854.080us
conv2d                             287.326us       8437.120us                1        287.326us       8437.120us
convolution                        256.350us       8435.934us                1        256.350us       8435.934us
_convolution                       229.022us       8434.717us                1        229.022us       8434.717us
contiguous                          14.624us          0.544us                1         14.624us          0.544us
empty                               19.104us          0.576us                1         19.104us          0.576us
cudnn_convolution                  126.623us       8430.882us                1        126.623us       8430.882us
add_                                71.871us          5.600us                1         71.871us          5.600us
batch_norm                         384.926us       1198.784us                1        384.926us       1198.784us
contiguous                          14.496us          0.546us                1         14.496us          0.546us
contiguous                          13.728us          0.576us                1         13.728us          0.576us
contiguous                          12.896us          0.542us                1         12.896us          0.542us
contiguous                          12.512us          0.641us                1         12.512us          0.641us
contiguous                          12.320us          0.542us                1         12.320us          0.542us
cudnn_batch_norm                   211.551us       1191.456us                1        211.551us       1191.456us
threshold_                          63.776us        871.521us                1         63.776us        871.521us
conv2d                             275.070us       8195.358us                1        275.070us       8195.358us
convolution                        245.151us       8194.145us                1        245.151us       8194.145us
_convolution                       218.207us       8193.054us                1        218.207us       8193.054us
contiguous                          14.080us          0.641us                1         14.080us          0.641us
empty                               17.632us          0.641us                1         17.632us          0.641us
cudnn_convolution                  121.727us       8188.896us                1        121.727us       8188.896us
add_                                62.784us          5.280us                1         62.784us          5.280us
batch_norm                         281.662us       1182.720us                1        281.662us       1182.720us
contiguous                          14.144us          0.641us                1         14.144us          0.641us
contiguous                          13.088us          0.637us                1         13.088us          0.637us
contiguous                          12.672us          0.641us                1         12.672us          0.641us
contiguous                          12.703us          0.641us                1         12.703us          0.641us
contiguous                          12.032us          0.546us                1         12.032us          0.546us
cudnn_batch_norm                   113.023us       1175.293us                1        113.023us       1175.293us
add_                                61.952us       1087.681us                1         61.952us       1087.681us
threshold_                          60.640us        880.898us                1         60.640us        880.898us
conv2d                             323.358us       8206.402us                1        323.358us       8206.402us
convolution                        287.262us       8205.185us                1        287.262us       8205.185us
_convolution                       257.470us       8203.903us                1        257.470us       8203.903us
contiguous                          14.912us          0.641us                1         14.912us          0.641us
empty                               22.208us          0.576us                1         22.208us          0.576us
cudnn_convolution                  147.071us       8199.680us                1        147.071us       8199.680us
add_                                91.008us          5.344us                1         91.008us          5.344us
batch_norm                         302.718us       1192.478us                1        302.718us       1192.478us
contiguous                          13.568us          0.576us                1         13.568us          0.576us
contiguous                          13.120us          0.641us                1         13.120us          0.641us
contiguous                          12.096us          0.641us                1         12.096us          0.641us
contiguous                          12.160us          0.641us                1         12.160us          0.641us
contiguous                          12.032us          0.576us                1         12.032us          0.576us
cudnn_batch_norm                   133.983us       1185.024us                1        133.983us       1185.024us
threshold_                          65.631us        874.496us                1         65.631us        874.496us
conv2d                             263.838us       8196.640us                1        263.838us       8196.640us
convolution                        235.582us       8195.358us                1        235.582us       8195.358us
_convolution                       208.574us       8194.241us                1        208.574us       8194.241us
contiguous                          13.536us          0.637us                1         13.536us          0.637us
empty                               17.952us          0.641us                1         17.952us          0.641us
cudnn_convolution                  112.543us       8190.556us                1        112.543us       8190.556us
add_                                62.304us          5.280us                1         62.304us          5.280us
batch_norm                         275.934us       1195.038us                1        275.934us       1195.038us
contiguous                          13.216us          0.549us                1         13.216us          0.549us
contiguous                          13.056us          0.572us                1         13.056us          0.572us
contiguous                          12.000us          0.542us                1         12.000us          0.542us
contiguous                          12.032us          0.580us                1         12.032us          0.580us
contiguous                          11.872us          0.542us                1         11.872us          0.542us
cudnn_batch_norm                   113.311us       1187.355us                1        113.311us       1187.355us
add_                                68.288us       1085.762us                1         68.288us       1085.762us
threshold_                          70.303us        873.436us                1         70.303us        873.436us
conv2d                             334.046us       3944.420us                1        334.046us       3944.420us
convolution                        259.711us       3943.260us                1        259.711us       3943.260us
_convolution                       232.351us       3942.078us                1        232.351us       3942.078us
contiguous                          13.600us          0.572us                1         13.600us          0.572us
empty                               18.048us          0.549us                1         18.048us          0.549us
cudnn_convolution                  135.935us       3937.920us                1        135.935us       3937.920us
add_                                66.495us          5.180us                1         66.495us          5.180us
batch_norm                         294.942us        605.858us                1        294.942us        605.858us
contiguous                          16.064us          0.641us                1         16.064us          0.641us
contiguous                          12.960us          0.633us                1         12.960us          0.633us
contiguous                          12.736us          0.641us                1         12.736us          0.641us
contiguous                          12.000us          0.641us                1         12.000us          0.641us
contiguous                          12.192us          0.572us                1         12.192us          0.572us
cudnn_batch_norm                   128.255us        598.557us                1        128.255us        598.557us
threshold_                          58.464us        431.458us                1         58.464us        431.458us
conv2d                             314.142us       4434.242us                1        314.142us       4434.242us
convolution                        284.926us       4433.052us                1        284.926us       4433.052us
_convolution                       257.822us       4431.778us                1        257.822us       4431.778us
contiguous                          13.568us          0.549us                1         13.568us          0.549us
empty                               17.632us          0.580us                1         17.632us          0.580us
cudnn_convolution                  162.815us       4427.902us                1        162.815us       4427.902us
add_                                61.023us          5.440us                1         61.023us          5.440us
batch_norm                         273.406us        604.958us                1        273.406us        604.958us
contiguous                          13.248us          0.542us                1         13.248us          0.542us
contiguous                          12.768us          0.641us                1         12.768us          0.641us
contiguous                          12.384us          0.542us                1         12.384us          0.542us
contiguous                          12.288us          0.641us                1         12.288us          0.641us
contiguous                          12.448us          0.641us                1         12.448us          0.641us
cudnn_batch_norm                   109.375us        597.702us                1        109.375us        597.702us
conv2d                             270.142us        731.674us                1        270.142us        731.674us
convolution                        241.407us        730.400us                1        241.407us        730.400us
_convolution                       215.199us        729.187us                1        215.199us        729.187us
contiguous                          13.632us          0.542us                1         13.632us          0.542us
empty                               16.896us          0.580us                1         16.896us          0.580us
cudnn_convolution                  122.527us        725.433us                1        122.527us        725.433us
add_                                61.600us          5.341us                1         61.600us          5.341us
batch_norm                         272.607us        602.242us                1        272.607us        602.242us
contiguous                          13.920us          0.542us                1         13.920us          0.542us
contiguous                          12.736us          0.641us                1         12.736us          0.641us
contiguous                          12.160us          0.572us                1         12.160us          0.572us
contiguous                          12.192us          0.633us                1         12.192us          0.633us
contiguous                          11.904us          0.580us                1         11.904us          0.580us
cudnn_batch_norm                   110.592us        594.879us                1        110.592us        594.879us
add_                                70.240us        542.938us                1         70.240us        542.938us
threshold_                          55.615us        436.859us                1         55.615us        436.859us
conv2d                             284.254us       4408.386us                1        284.254us       4408.386us
convolution                        254.910us       4407.104us                1        254.910us       4407.104us
_convolution                       227.551us       4405.922us                1        227.551us       4405.922us
contiguous                          13.312us          0.580us                1         13.312us          0.580us
empty                               16.768us          0.549us                1         16.768us          0.549us
cudnn_convolution                  135.199us       4401.855us                1        135.199us       4401.855us
add_                                59.936us          5.188us                1         59.936us          5.188us
batch_norm                         270.527us        591.675us                1        270.527us        591.675us
contiguous                          13.600us          0.641us                1         13.600us          0.641us
