---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                                CPU time        CUDA time            Calls        CPU total       CUDA total
---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
conv2d                        17552578.064us          0.000us                1   17552578.064us          0.000us
convolution                   17552556.624us          0.000us                1   17552556.624us          0.000us
_convolution                  17552526.737us          0.000us                1   17552526.737us          0.000us
contiguous                           2.528us          0.000us                1          2.528us          0.000us
empty                                6.208us          0.000us                1          6.208us          0.000us
_convolution_nogroup          17552442.610us          0.000us                1   17552442.610us          0.000us
thnn_conv2d                   17552424.498us          0.000us                1   17552424.498us          0.000us
thnn_conv2d_forward           17552415.219us          0.000us                1   17552415.219us          0.000us
add_                                47.232us          0.000us                1         47.232us          0.000us
batch_norm                       73015.070us          0.000us                1      73015.070us          0.000us
native_batch_norm                72979.135us          0.000us                1      72979.135us          0.000us
threshold_                       37320.530us          0.000us                1      37320.530us          0.000us
max_pool2d_with_indices         140839.314us          0.000us                1     140839.314us          0.000us
conv2d                        17213407.734us          0.000us                1   17213407.734us          0.000us
convolution                   17213402.070us          0.000us                1   17213402.070us          0.000us
_convolution                  17213397.814us          0.000us                1   17213397.814us          0.000us
contiguous                           2.336us          0.000us                1          2.336us          0.000us
empty                                7.200us          0.000us                1          7.200us          0.000us
_convolution_nogroup          17213365.494us          0.000us                1   17213365.494us          0.000us
thnn_conv2d                   17213358.807us          0.000us                1   17213358.807us          0.000us
thnn_conv2d_forward           17213354.135us          0.000us                1   17213354.135us          0.000us
add_                                31.935us          0.000us                1         31.935us          0.000us
batch_norm                       21408.931us          0.000us                1      21408.931us          0.000us
native_batch_norm                21394.756us          0.000us                1      21394.756us          0.000us
threshold_                       21165.735us          0.000us                1      21165.735us          0.000us
conv2d                        17208786.350us          0.000us                1   17208786.350us          0.000us
convolution                   17208780.462us          0.000us                1   17208780.462us          0.000us
_convolution                  17208776.174us          0.000us                1   17208776.174us          0.000us
contiguous                           2.272us          0.000us                1          2.272us          0.000us
empty                               10.048us          0.000us                1         10.048us          0.000us
_convolution_nogroup          17208741.678us          0.000us                1   17208741.678us          0.000us
thnn_conv2d                   17208735.342us          0.000us                1   17208735.342us          0.000us
thnn_conv2d_forward           17208730.190us          0.000us                1   17208730.190us          0.000us
add_                                31.935us          0.000us                1         31.935us          0.000us
batch_norm                       19382.123us          0.000us                1      19382.123us          0.000us
native_batch_norm                19367.820us          0.000us                1      19367.820us          0.000us
add_                              8530.776us          0.000us                1       8530.776us          0.000us
threshold_                       11525.608us          0.000us                1      11525.608us          0.000us
conv2d                        17228332.012us          0.000us                1   17228332.012us          0.000us
convolution                   17228326.348us          0.000us                1   17228326.348us          0.000us
_convolution                  17228322.284us          0.000us                1   17228322.284us          0.000us
contiguous                           2.240us          0.000us                1          2.240us          0.000us
empty                                8.992us          0.000us                1          8.992us          0.000us
_convolution_nogroup          17228262.925us          0.000us                1   17228262.925us          0.000us
thnn_conv2d                   17228254.989us          0.000us                1   17228254.989us          0.000us
thnn_conv2d_forward           17228249.613us          0.000us                1   17228249.613us          0.000us
add_                                31.072us          0.000us                1         31.072us          0.000us
batch_norm                       19767.373us          0.000us                1      19767.373us          0.000us
native_batch_norm                19753.453us          0.000us                1      19753.453us          0.000us
threshold_                       11974.150us          0.000us                1      11974.150us          0.000us
conv2d                        17164595.287us          0.000us                1   17164595.287us          0.000us
convolution                   17164589.879us          0.000us                1   17164589.879us          0.000us
_convolution                  17164585.655us          0.000us                1   17164585.655us          0.000us
contiguous                           2.400us          0.000us                1          2.400us          0.000us
empty                                9.760us          0.000us                1          9.760us          0.000us
_convolution_nogroup          17164551.096us          0.000us                1   17164551.096us          0.000us
thnn_conv2d                   17164544.536us          0.000us                1   17164544.536us          0.000us
thnn_conv2d_forward           17164539.576us          0.000us                1   17164539.576us          0.000us
add_                                31.967us          0.000us                1         31.967us          0.000us
batch_norm                       19519.863us          0.000us                1      19519.863us          0.000us
native_batch_norm                19505.719us          0.000us                1      19505.719us          0.000us
add_                              8582.174us          0.000us                1       8582.174us          0.000us
threshold_                       11848.492us          0.000us                1      11848.492us          0.000us
conv2d                         6219816.182us          0.000us                1    6219816.182us          0.000us
convolution                    6219810.006us          0.000us                1    6219810.006us          0.000us
_convolution                   6219805.366us          0.000us                1    6219805.366us          0.000us
contiguous                           2.144us          0.000us                1          2.144us          0.000us
empty                                9.824us          0.000us                1          9.824us          0.000us
_convolution_nogroup           6219769.976us          0.000us                1    6219769.976us          0.000us
thnn_conv2d                    6219763.000us          0.000us                1    6219763.000us          0.000us
thnn_conv2d_forward            6219757.688us          0.000us                1    6219757.688us          0.000us
add_                                31.455us          0.000us                1         31.455us          0.000us
batch_norm                        9414.194us          0.000us                1       9414.194us          0.000us
native_batch_norm                 9400.658us          0.000us                1       9400.658us          0.000us
threshold_                        7272.530us          0.000us                1       7272.530us          0.000us
conv2d                        13641705.563us          0.000us                1   13641705.563us          0.000us
convolution                   13641699.868us          0.000us                1   13641699.868us          0.000us
_convolution                  13641695.868us          0.000us                1   13641695.868us          0.000us
contiguous                           2.272us          0.000us                1          2.272us          0.000us
empty                               10.080us          0.000us                1         10.080us          0.000us
_convolution_nogroup          13641659.452us          0.000us                1   13641659.452us          0.000us
thnn_conv2d                   13641652.668us          0.000us                1   13641652.668us          0.000us
thnn_conv2d_forward           13641647.164us          0.000us                1   13641647.164us          0.000us
add_                                31.648us          0.000us                1         31.648us          0.000us
batch_norm                        9410.324us          0.000us                1       9410.324us          0.000us
native_batch_norm                 9396.373us          0.000us                1       9396.373us          0.000us
conv2d                          631036.614us          0.000us                1     631036.614us          0.000us
convolution                     631030.854us          0.000us                1     631030.854us          0.000us
_convolution                    631026.726us          0.000us                1     631026.726us          0.000us
contiguous                           2.304us          0.000us                1          2.304us          0.000us
empty                                6.431us          0.000us                1          6.431us          0.000us
_convolution_nogroup            630996.103us          0.000us                1     630996.103us          0.000us
thnn_conv2d                     630990.119us          0.000us                1     630990.119us          0.000us
thnn_conv2d_forward             630984.871us          0.000us                1     630984.871us          0.000us
add_                                31.840us          0.000us                1         31.840us          0.000us
batch_norm                        9331.798us          0.000us                1       9331.798us          0.000us
native_batch_norm                 9317.751us          0.000us                1       9317.751us          0.000us
add_                              4355.200us          0.000us                1       4355.200us          0.000us
threshold_                        7524.817us          0.000us                1       7524.817us          0.000us
conv2d                        13612810.743us          0.000us                1   13612810.743us          0.000us
convolution                   13612804.823us          0.000us                1   13612804.823us          0.000us
_convolution                  13612800.919us          0.000us                1   13612800.919us          0.000us
contiguous                           2.272us          0.000us                1          2.272us          0.000us
empty                                8.320us          0.000us                1          8.320us          0.000us
_convolution_nogroup          13612766.713us          0.000us                1   13612766.713us          0.000us
thnn_conv2d                   13612759.417us          0.000us                1   13612759.417us          0.000us
thnn_conv2d_forward           13612754.169us          0.000us                1   13612754.169us          0.000us
add_                                32.256us          0.000us                1         32.256us          0.000us
batch_norm                        9368.792us          0.000us                1       9368.792us          0.000us
native_batch_norm                 9355.704us          0.000us                1       9355.704us          0.000us
threshold_                        7946.156us          0.000us                1       7946.156us          0.000us
conv2d                        13600654.597us          0.000us                1   13600654.597us          0.000us
convolution                   13600648.645us          0.000us                1   13600648.645us          0.000us
_convolution                  13600644.613us          0.000us                1   13600644.613us          0.000us
contiguous                           2.143us          0.000us                1          2.143us          0.000us
empty                                8.960us          0.000us                1          8.960us          0.000us
_convolution_nogroup          13600610.694us          0.000us                1   13600610.694us          0.000us
thnn_conv2d                   13600604.678us          0.000us                1   13600604.678us          0.000us
thnn_conv2d_forward           13600599.174us          0.000us                1   13600599.174us          0.000us
add_                                31.999us          0.000us                1         31.999us          0.000us
batch_norm                        9365.338us          0.000us                1       9365.338us          0.000us
native_batch_norm                 9350.330us          0.000us                1       9350.330us          0.000us
