---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                                CPU time        CUDA time            Calls        CPU total       CUDA total
---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
conv2d                             464.829us      25206.912us                1        464.829us      25206.912us
convolution                        414.430us      25183.200us                1        414.430us      25183.200us
_convolution                       382.782us      25165.441us                1        382.782us      25165.441us
contiguous                          18.016us         17.920us                1         18.016us         17.920us
empty                               24.128us         24.160us                1         24.128us         24.160us
cudnn_convolution                  259.582us      25065.089us                1        259.582us      25065.089us
add_                                95.839us          6.592us                1         95.839us          6.592us
batch_norm                         334.942us      13599.682us                1        334.942us      13599.682us
contiguous                          16.768us          0.639us                1         16.768us          0.639us
contiguous                          13.056us          0.607us                1         13.056us          0.607us
contiguous                          12.736us          0.639us                1         12.736us          0.639us
contiguous                          12.736us          0.641us                1         12.736us          0.641us
contiguous                          12.831us          0.513us                1         12.831us          0.513us
cudnn_batch_norm                   153.919us      13592.001us                1        153.919us      13592.001us
threshold_                          69.023us       7289.410us                1         69.023us       7289.410us
max_pool2d_with_indices             96.223us      11652.798us                1         96.223us      11652.798us
conv2d                             608.605us      13715.843us                1        608.605us      13715.843us
convolution                        536.285us      13714.561us                1        536.285us      13714.561us
_convolution                       506.749us      13713.280us                1        506.749us      13713.280us
contiguous                          13.312us          0.511us                1         13.312us          0.511us
empty                               18.432us          0.641us                1         18.432us          0.641us
cudnn_convolution                  406.205us      13709.473us                1        406.205us      13709.473us
add_                                79.455us          6.714us                1         79.455us          6.714us
batch_norm                         309.246us       2414.085us                1        309.246us       2414.085us
contiguous                          15.167us          0.511us                1         15.167us          0.511us
contiguous                          13.696us          0.641us                1         13.696us          0.641us
contiguous                          12.576us          0.641us                1         12.576us          0.641us
contiguous                          13.088us          0.641us                1         13.088us          0.641us
contiguous                          12.896us          0.641us                1         12.896us          0.641us
cudnn_batch_norm                   136.639us       2406.403us                1        136.639us       2406.403us
threshold_                          62.784us       1803.360us                1         62.784us       1803.360us
conv2d                             513.980us      13676.483us                1        513.980us      13676.483us
convolution                        484.989us      13675.232us                1        484.989us      13675.232us
_convolution                       458.141us      13674.080us                1        458.141us      13674.080us
contiguous                          13.792us          0.641us                1         13.792us          0.641us
empty                               18.208us          0.511us                1         18.208us          0.511us
cudnn_convolution                  360.126us      13670.235us                1        360.126us      13670.235us
add_                                63.679us          6.752us                1         63.679us          6.752us
batch_norm                         285.278us       2415.520us                1        285.278us       2415.520us
contiguous                          14.784us          0.641us                1         14.784us          0.641us
contiguous                          13.952us          0.641us                1         13.952us          0.641us
contiguous                          12.576us          0.610us                1         12.576us          0.610us
contiguous                          13.024us          0.641us                1         13.024us          0.641us
contiguous                          12.640us          0.610us                1         12.640us          0.610us
cudnn_batch_norm                   113.887us       2408.005us                1        113.887us       2408.005us
add_                                61.983us       2203.682us                1         61.983us       2203.682us
threshold_                          80.031us       1815.681us                1         80.031us       1815.681us
conv2d                             601.116us      13757.919us                1        601.116us      13757.919us
convolution                        564.444us      13756.645us                1        564.444us      13756.645us
_convolution                       533.628us      13755.524us                1        533.628us      13755.524us
contiguous                          15.616us          0.641us                1         15.616us          0.641us
empty                               19.968us          0.481us                1         19.968us          0.481us
cudnn_convolution                  424.093us      13751.678us                1        424.093us      13751.678us
add_                               107.999us          6.592us                1        107.999us          6.592us
batch_norm                         362.717us       2391.167us                1        362.717us       2391.167us
contiguous                          17.152us          0.610us                1         17.152us          0.610us
contiguous                          13.056us          0.641us                1         13.056us          0.641us
contiguous                          13.248us          0.519us                1         13.248us          0.519us
contiguous                          12.576us          0.511us                1         12.576us          0.511us
contiguous                          13.376us          0.641us                1         13.376us          0.641us
cudnn_batch_norm                   173.438us       2383.553us                1        173.438us       2383.553us
threshold_                         100.415us       1803.650us                1        100.415us       1803.650us
conv2d                             658.172us      13757.919us                1        658.172us      13757.919us
convolution                        621.692us      13756.638us                1        621.692us      13756.638us
_convolution                       592.220us      13755.493us                1        592.220us      13755.493us
contiguous                          15.744us          0.610us                1         15.744us          0.610us
empty                               22.432us          0.641us                1         22.432us          0.641us
cudnn_convolution                  474.973us      13751.350us                1        474.973us      13751.350us
add_                                83.744us          5.600us                1         83.744us          5.600us
batch_norm                         339.614us       2377.594us                1        339.614us       2377.594us
contiguous                          15.744us          0.610us                1         15.744us          0.610us
contiguous                          12.704us          0.504us                1         12.704us          0.504us
contiguous                          12.544us          0.641us                1         12.544us          0.641us
contiguous                          12.640us          0.641us                1         12.640us          0.641us
contiguous                          12.000us          0.641us                1         12.000us          0.641us
cudnn_batch_norm                   158.271us       2369.919us                1        158.271us       2369.919us
add_                                87.712us       2187.363us                1         87.712us       2187.363us
threshold_                          80.576us       1789.246us                1         80.576us       1789.246us
conv2d                             621.820us       7780.640us                1        621.820us       7780.640us
convolution                        537.020us       7779.358us                1        537.020us       7779.358us
_convolution                       502.941us       7778.076us                1        502.941us       7778.076us
contiguous                          15.552us          0.473us                1         15.552us          0.473us
empty                               23.136us          0.519us                1         23.136us          0.519us
cudnn_convolution                  327.678us       7773.926us                1        327.678us       7773.926us
add_                               114.911us          5.432us                1        114.911us          5.432us
batch_norm                         351.134us       1212.479us                1        351.134us       1212.479us
contiguous                          16.128us          0.641us                1         16.128us          0.641us
contiguous                          13.152us          0.504us                1         13.152us          0.504us
contiguous                          12.640us          0.641us                1         12.640us          0.641us
contiguous                          12.416us          0.671us                1         12.416us          0.671us
contiguous                          12.512us          0.504us                1         12.512us          0.504us
cudnn_batch_norm                   166.879us       1204.803us                1        166.879us       1204.803us
threshold_                          76.000us        870.071us                1         76.000us        870.071us
conv2d                             431.709us       8389.252us                1        431.709us       8389.252us
convolution                        398.526us       8388.031us                1        398.526us       8388.031us
_convolution                       370.302us       8386.887us                1        370.302us       8386.887us
contiguous                          14.336us          0.641us                1         14.336us          0.641us
empty                               21.312us          0.519us                1         21.312us          0.519us
cudnn_convolution                  261.535us       8382.721us                1        261.535us       8382.721us
add_                                86.879us          6.210us                1         86.879us          6.210us
batch_norm                         391.454us       1228.470us                1        391.454us       1228.470us
contiguous                          19.584us          0.641us                1         19.584us          0.641us
contiguous                          14.944us          0.519us                1         14.944us          0.519us
contiguous                          14.560us          0.641us                1         14.560us          0.641us
contiguous                          13.920us          0.504us                1         13.920us          0.504us
contiguous                          12.352us          0.610us                1         12.352us          0.610us
cudnn_batch_norm                   158.975us       1220.810us                1        158.975us       1220.810us
conv2d                             295.902us       1437.149us                1        295.902us       1437.149us
convolution                        265.662us       1435.989us                1        265.662us       1435.989us
_convolution                       237.599us       1434.708us                1        237.599us       1434.708us
contiguous                          14.016us          0.610us                1         14.016us          0.610us
empty                               16.192us          0.641us                1         16.192us          0.641us
cudnn_convolution                  143.007us       1430.557us                1        143.007us       1430.557us
add_                                66.239us          5.630us                1         66.239us          5.630us
batch_norm                         282.494us       1232.025us                1        282.494us       1232.025us
contiguous                          14.752us          0.641us                1         14.752us          0.641us
contiguous                          13.152us          0.610us                1         13.152us          0.610us
contiguous                          12.512us          0.641us                1         12.512us          0.641us
contiguous                          12.224us          0.610us                1         12.224us          0.610us
contiguous                          12.384us          0.641us                1         12.384us          0.641us
cudnn_batch_norm                   111.775us       1224.472us                1        111.775us       1224.472us
add_                                59.040us       1099.716us                1         59.040us       1099.716us
threshold_                          78.016us        867.233us                1         78.016us        867.233us
conv2d                             293.118us       8408.127us                1        293.118us       8408.127us
convolution                        263.134us       8407.028us                1        263.134us       8407.028us
_convolution                       235.582us       8405.746us                1        235.582us       8405.746us
contiguous                          14.784us          0.626us                1         14.784us          0.626us
empty                               16.192us          0.641us                1         16.192us          0.641us
cudnn_convolution                  140.672us       8401.596us                1        140.672us       8401.596us
add_                                61.215us          5.920us                1         61.215us          5.920us
batch_norm                         279.134us       1227.203us                1        279.134us       1227.203us
