---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                                CPU time        CUDA time            Calls        CPU total       CUDA total
---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
conv2d                             422.686us      21203.776us                1        422.686us      21203.776us
convolution                        358.878us      21202.561us                1        358.878us      21202.561us
_convolution                       327.423us      21201.345us                1        327.423us      21201.345us
contiguous                          19.136us          0.640us                1         19.136us          0.640us
empty                               22.816us          0.640us                1         22.816us          0.640us
cudnn_convolution                  208.255us      21197.279us                1        208.255us      21197.279us
add_                                95.935us          6.817us                1         95.935us          6.817us
batch_norm                         322.111us       9539.679us                1        322.111us       9539.679us
contiguous                          16.768us          0.639us                1         16.768us          0.639us
contiguous                          12.864us          0.576us                1         12.864us          0.576us
contiguous                          12.960us          0.546us                1         12.960us          0.546us
contiguous                          12.575us          0.576us                1         12.575us          0.576us
contiguous                          13.056us          0.544us                1         13.056us          0.544us
cudnn_batch_norm                   136.096us       9531.841us                1        136.096us       9531.841us
threshold_                          67.104us       7350.464us                1         67.104us       7350.464us
max_pool2d_with_indices             81.119us      11669.342us                1         81.119us      11669.342us
conv2d                             562.173us      13724.483us                1        562.173us      13724.483us
convolution                        526.750us      13723.358us                1        526.750us      13723.358us
_convolution                       498.046us      13722.076us                1        498.046us      13722.076us
contiguous                          13.888us          0.641us                1         13.888us          0.641us
empty                               18.624us          0.576us                1         18.624us          0.576us
cudnn_convolution                  395.551us      13718.334us                1        395.551us      13718.334us
add_                                70.464us          6.561us                1         70.464us          6.561us
batch_norm                         284.607us       2447.678us                1        284.607us       2447.678us
contiguous                          15.168us          0.641us                1         15.168us          0.641us
contiguous                          12.800us          0.572us                1         12.800us          0.572us
contiguous                          12.736us          0.633us                1         12.736us          0.633us
contiguous                          12.448us          0.580us                1         12.448us          0.580us
contiguous                          12.704us          0.542us                1         12.704us          0.542us
cudnn_batch_norm                   111.999us       2440.163us                1        111.999us       2440.163us
threshold_                          55.168us       1823.845us                1         55.168us       1823.845us
conv2d                             489.470us      13746.559us                1        489.470us      13746.559us
convolution                        461.118us      13745.285us                1        461.118us      13745.285us
_convolution                       433.470us      13744.095us                1        433.470us      13744.095us
contiguous                          12.640us          0.641us                1         12.640us          0.641us
empty                               16.160us          0.542us                1         16.160us          0.542us
cudnn_convolution                  340.543us      13740.158us                1        340.543us      13740.158us
add_                                61.088us          6.943us                1         61.088us          6.943us
batch_norm                         271.615us       2456.062us                1        271.615us       2456.062us
contiguous                          14.912us          0.641us                1         14.912us          0.641us
contiguous                          13.024us          0.549us                1         13.024us          0.549us
contiguous                          12.864us          0.641us                1         12.864us          0.641us
contiguous                          12.704us          0.641us                1         12.704us          0.641us
contiguous                          12.576us          0.641us                1         12.576us          0.641us
cudnn_batch_norm                    97.727us       2448.639us                1         97.727us       2448.639us
add_                                54.208us       2180.550us                1         54.208us       2180.550us
threshold_                          49.695us       1831.902us                1         49.695us       1831.902us
conv2d                             484.222us      13753.700us                1        484.222us      13753.700us
convolution                        454.558us      13752.480us                1        454.558us      13752.480us
_convolution                       428.574us      13751.259us                1        428.574us      13751.259us
contiguous                          12.576us          0.542us                1         12.576us          0.542us
empty                               15.488us          0.572us                1         15.488us          0.572us
cudnn_convolution                  337.502us      13747.520us                1        337.502us      13747.520us
add_                                58.815us          7.133us                1         58.815us          7.133us
batch_norm                         262.367us       2425.285us                1        262.367us       2425.285us
contiguous                          15.360us          0.641us                1         15.360us          0.641us
contiguous                          13.568us          0.641us                1         13.568us          0.641us
contiguous                          12.736us          0.641us                1         12.736us          0.641us
contiguous                          12.448us          0.702us                1         12.448us          0.702us
contiguous                          12.320us          0.549us                1         12.320us          0.549us
cudnn_batch_norm                    91.391us       2417.755us                1         91.391us       2417.755us
threshold_                          51.168us       1823.906us                1         51.168us       1823.906us
conv2d                             484.798us      13587.204us                1        484.798us      13587.204us
convolution                        456.254us      13585.983us                1        456.254us      13585.983us
_convolution                       430.462us      13584.801us                1        430.462us      13584.801us
contiguous                          12.448us          0.641us                1         12.448us          0.641us
empty                               15.712us          0.633us                1         15.712us          0.633us
cudnn_convolution                  338.590us      13580.643us                1        338.590us      13580.643us
add_                                59.136us          5.600us                1         59.136us          5.600us
batch_norm                         262.655us       2384.865us                1        262.655us       2384.865us
contiguous                          14.592us          0.542us                1         14.592us          0.542us
contiguous                          13.216us          0.580us                1         13.216us          0.580us
contiguous                          12.544us          0.549us                1         12.544us          0.549us
contiguous                          12.448us          0.633us                1         12.448us          0.633us
contiguous                          12.512us          0.641us                1         12.512us          0.641us
cudnn_batch_norm                    92.255us       2377.121us                1         92.255us       2377.121us
add_                                50.112us       2184.799us                1         50.112us       2184.799us
threshold_                          47.552us       1805.916us                1         47.552us       1805.916us
conv2d                             264.479us       7759.842us                1        264.479us       7759.842us
convolution                        234.015us       7758.560us                1        234.015us       7758.560us
_convolution                       205.471us       7757.370us                1        205.471us       7757.370us
contiguous                          13.824us          0.549us                1         13.824us          0.549us
empty                               15.712us          0.641us                1         15.712us          0.641us
cudnn_convolution                  111.455us       7753.281us                1        111.455us       7753.281us
add_                                77.727us          5.753us                1         77.727us          5.753us
batch_norm                         280.415us       1225.433us                1        280.415us       1225.433us
contiguous                          14.752us          0.565us                1         14.752us          0.565us
contiguous                          12.960us          0.641us                1         12.960us          0.641us
contiguous                          12.544us          0.641us                1         12.544us          0.641us
contiguous                          12.384us          0.534us                1         12.384us          0.534us
contiguous                          12.416us          0.641us                1         12.416us          0.641us
cudnn_batch_norm                   106.304us       1218.079us                1        106.304us       1218.079us
threshold_                          75.999us        902.023us                1         75.999us        902.023us
conv2d                             358.846us       8451.675us                1        358.846us       8451.675us
convolution                        326.494us       8450.394us                1        326.494us       8450.394us
_convolution                       299.199us       8449.112us                1        299.199us       8449.112us
contiguous                          13.344us          0.549us                1         13.344us          0.549us
empty                               21.855us          0.641us                1         21.855us          0.641us
cudnn_convolution                  176.192us       8445.053us                1        176.192us       8445.053us
add_                                74.400us          5.371us                1         74.400us          5.371us
batch_norm                         303.679us       1233.047us                1        303.679us       1233.047us
contiguous                          15.232us          0.580us                1         15.232us          0.580us
contiguous                          13.216us          0.549us                1         13.216us          0.549us
contiguous                          12.704us          0.580us                1         12.704us          0.580us
contiguous                          12.608us          0.641us                1         12.608us          0.641us
contiguous                          12.480us          0.580us                1         12.480us          0.580us
cudnn_batch_norm                   130.463us       1225.769us                1        130.463us       1225.769us
conv2d                             269.566us       1432.800us                1        269.566us       1432.800us
convolution                        239.391us       1431.519us                1        239.391us       1431.519us
_convolution                       211.552us       1430.328us                1        211.552us       1430.328us
contiguous                          14.688us          0.549us                1         14.688us          0.549us
empty                               15.968us          0.580us                1         15.968us          0.580us
cudnn_convolution                  116.544us       1426.239us                1        116.544us       1426.239us
add_                                62.496us          5.280us                1         62.496us          5.280us
batch_norm                         266.015us       1232.712us                1        266.015us       1232.712us
contiguous                          14.879us          0.580us                1         14.879us          0.580us
contiguous                          13.184us          0.534us                1         13.184us          0.534us
contiguous                          12.544us          0.580us                1         12.544us          0.580us
contiguous                          12.896us          0.549us                1         12.896us          0.549us
contiguous                          12.736us          0.565us                1         12.736us          0.565us
cudnn_batch_norm                    95.552us       1225.449us                1         95.552us       1225.449us
add_                                52.448us       1085.281us                1         52.448us       1085.281us
threshold_                          51.872us        897.385us                1         51.872us        897.385us
conv2d                             302.303us       8452.896us                1        302.303us       8452.896us
convolution                        273.567us       8451.675us                1        273.567us       8451.675us
_convolution                       246.303us       8450.409us                1        246.303us       8450.409us
contiguous                          14.016us          0.641us                1         14.016us          0.641us
empty                               17.152us          0.534us                1         17.152us          0.534us
cudnn_convolution                  152.159us       8446.411us                1        152.159us       8446.411us
add_                                58.176us          5.600us                1         58.176us          5.600us
batch_norm                         265.471us       1233.765us                1        265.471us       1233.765us
