---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                                CPU time        CUDA time            Calls        CPU total       CUDA total
---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
conv2d                             415.390us      21407.200us                1        415.390us      21407.200us
convolution                        364.638us      21383.264us                1        364.638us      21383.264us
_convolution                       333.630us      21365.920us                1        333.630us      21365.920us
contiguous                          18.208us         17.920us                1         18.208us         17.920us
empty                               24.128us         24.256us                1         24.128us         24.256us
cudnn_convolution                  212.991us      21267.360us                1        212.991us      21267.360us
add_                                96.960us          6.464us                1         96.960us          6.464us
batch_norm                         319.998us       9530.016us                1        319.998us       9530.016us
contiguous                          16.544us          0.544us                1         16.544us          0.544us
contiguous                          13.056us          0.639us                1         13.056us          0.639us
contiguous                          12.864us          0.576us                1         12.864us          0.576us
contiguous                          12.384us          0.546us                1         12.384us          0.546us
contiguous                          12.640us          0.576us                1         12.640us          0.576us
cudnn_batch_norm                   133.119us       9522.560us                1        133.119us       9522.560us
threshold_                          67.616us       7415.361us                1         67.616us       7415.361us
max_pool2d_with_indices             83.104us      11625.603us                1         83.104us      11625.603us
conv2d                             550.846us      13786.083us                1        550.846us      13786.083us
convolution                        517.982us      13784.801us                1        517.982us      13784.801us
_convolution                       489.854us      13783.779us                1        489.854us      13783.779us
contiguous                          15.360us          0.637us                1         15.360us          0.637us
empty                               17.024us          0.546us                1         17.024us          0.546us
cudnn_convolution                  386.878us      13779.839us                1        386.878us      13779.839us
add_                                70.143us          6.714us                1         70.143us          6.714us
batch_norm                         279.391us       2476.639us                1        279.391us       2476.639us
contiguous                          15.712us          0.641us                1         15.712us          0.641us
contiguous                          12.640us          0.542us                1         12.640us          0.542us
contiguous                          12.288us          0.641us                1         12.288us          0.641us
contiguous                          12.672us          0.542us                1         12.672us          0.542us
contiguous                          12.704us          0.641us                1         12.704us          0.641us
cudnn_batch_norm                   105.919us       2469.116us                1        105.919us       2469.116us
threshold_                          55.519us       1854.301us                1         55.519us       1854.301us
conv2d                             479.294us      13742.081us                1        479.294us      13742.081us
convolution                        450.526us      13740.898us                1        450.526us      13740.898us
_convolution                       423.902us      13739.677us                1        423.902us      13739.677us
contiguous                          12.320us          0.641us                1         12.320us          0.641us
empty                               17.568us          0.633us                1         17.568us          0.633us
cudnn_convolution                  331.358us      13735.840us                1        331.358us      13735.840us
add_                                68.640us          7.202us                1         68.640us          7.202us
batch_norm                         273.855us       2452.003us                1        273.855us       2452.003us
contiguous                          15.584us          0.580us                1         15.584us          0.580us
contiguous                          12.704us          0.740us                1         12.704us          0.740us
contiguous                          12.416us          0.542us                1         12.416us          0.542us
contiguous                          12.960us          0.572us                1         12.960us          0.572us
contiguous                          12.160us          0.542us                1         12.160us          0.542us
cudnn_batch_norm                   102.559us       2444.420us                1        102.559us       2444.420us
add_                                54.784us       2190.018us                1         54.784us       2190.018us
threshold_                          75.360us       1844.414us                1         75.360us       1844.414us
conv2d                             472.254us      16829.987us                1        472.254us      16829.987us
convolution                        444.542us      16828.705us                1        444.542us      16828.705us
_convolution                       418.494us      16827.522us                1        418.494us      16827.522us
contiguous                          12.320us          0.641us                1         12.320us          0.641us
empty                               16.639us          0.542us                1         16.639us          0.542us
cudnn_convolution                  325.343us      16823.677us                1        325.343us      16823.677us
add_                                62.847us          6.561us                1         62.847us          6.561us
batch_norm                         264.223us       5043.846us                1        264.223us       5043.846us
contiguous                          14.848us          0.580us                1         14.848us          0.580us
contiguous                          13.504us          0.542us                1         13.504us          0.542us
contiguous                          12.800us          0.549us                1         12.800us          0.549us
contiguous                          12.639us          0.572us                1         12.639us          0.572us
contiguous                          12.864us          0.542us                1         12.864us          0.542us
cudnn_batch_norm                    93.280us       5036.003us                1         93.280us       5036.003us
threshold_                          50.815us       4297.218us                1         50.815us       4297.218us
conv2d                             459.902us      16517.288us                1        459.902us      16517.288us
convolution                        431.550us      16516.006us                1        431.550us      16516.006us
_convolution                       405.214us      16514.786us                1        405.214us      16514.786us
contiguous                          12.448us          0.641us                1         12.448us          0.641us
empty                               16.192us          0.572us                1         16.192us          0.572us
cudnn_convolution                  313.438us      16510.620us                1        313.438us      16510.620us
add_                                78.303us          5.600us                1         78.303us          5.600us
batch_norm                         264.767us       2383.301us                1        264.767us       2383.301us
contiguous                          13.600us          0.641us                1         13.600us          0.641us
contiguous                          12.992us          0.702us                1         12.992us          0.702us
contiguous                          12.896us          0.626us                1         12.896us          0.626us
contiguous                          12.640us          0.641us                1         12.640us          0.641us
contiguous                          12.640us          0.534us                1         12.640us          0.534us
cudnn_batch_norm                    94.496us       2375.366us                1         94.496us       2375.366us
add_                                50.688us       2186.722us                1         50.688us       2186.722us
threshold_                          49.440us       2011.749us                1         49.440us       2011.749us
conv2d                             262.015us       7770.554us                1        262.015us       7770.554us
convolution                        231.903us       7769.440us                1        231.903us       7769.440us
_convolution                       204.159us       7768.219us                1        204.159us       7768.219us
contiguous                          12.736us          0.641us                1         12.736us          0.641us
empty                               16.448us          0.641us                1         16.448us          0.641us
cudnn_convolution                  113.056us       7764.160us                1        113.056us       7764.160us
add_                                60.640us          5.280us                1         60.640us          5.280us
batch_norm                         299.870us       1237.503us                1        299.870us       1237.503us
contiguous                          15.264us          0.549us                1         15.264us          0.549us
contiguous                          13.407us          0.565us                1         13.407us          0.565us
contiguous                          12.672us          0.641us                1         12.672us          0.641us
contiguous                          13.248us          0.641us                1         13.248us          0.641us
contiguous                          12.960us          0.641us                1         12.960us          0.641us
cudnn_batch_norm                   120.736us       1230.148us                1        120.736us       1230.148us
threshold_                          68.480us        891.525us                1         68.480us        891.525us
conv2d                             324.542us       8448.898us                1        324.542us       8448.898us
convolution                        292.095us       8447.754us                1        292.095us       8447.754us
_convolution                       264.831us       8446.472us                1        264.831us       8446.472us
contiguous                          14.272us          0.641us                1         14.272us          0.641us
empty                               18.912us          0.534us                1         18.912us          0.534us
cudnn_convolution                  165.023us       8442.398us                1        165.023us       8442.398us
add_                                94.271us          5.447us                1         94.271us          5.447us
batch_norm                         284.959us       1233.749us                1        284.959us       1233.749us
contiguous                          14.912us          0.565us                1         14.912us          0.565us
contiguous                          13.312us          0.641us                1         13.312us          0.641us
contiguous                          12.800us          0.702us                1         12.800us          0.702us
contiguous                          13.567us          0.534us                1         13.567us          0.534us
contiguous                          12.608us          0.641us                1         12.608us          0.641us
cudnn_batch_norm                   110.048us       1226.303us                1        110.048us       1226.303us
conv2d                             273.215us       1432.159us                1        273.215us       1432.159us
convolution                        242.815us       1431.030us                1        242.815us       1431.030us
_convolution                       213.983us       1429.749us                1        213.983us       1429.749us
contiguous                          14.016us          0.565us                1         14.016us          0.565us
empty                               16.416us          0.549us                1         16.416us          0.549us
cudnn_convolution                  119.679us       1425.598us                1        119.679us       1425.598us
add_                                65.248us          5.753us                1         65.248us          5.753us
batch_norm                         267.519us       1236.328us                1        267.519us       1236.328us
contiguous                          14.464us          0.580us                1         14.464us          0.580us
contiguous                          13.088us          0.641us                1         13.088us          0.641us
contiguous                          12.544us          0.580us                1         12.544us          0.580us
contiguous                          13.120us          0.641us                1         13.120us          0.641us
contiguous                          12.992us          0.580us                1         12.992us          0.580us
cudnn_batch_norm                    96.031us       1228.867us                1         96.031us       1228.867us
add_                                52.704us       1082.870us                1         52.704us       1082.870us
threshold_                          50.815us        895.584us                1         50.815us        895.584us
conv2d                             283.967us       8414.139us                1        283.967us       8414.139us
convolution                        254.047us       8412.857us                1        254.047us       8412.857us
_convolution                       226.111us       8411.774us                1        226.111us       8411.774us
contiguous                          14.080us          0.580us                1         14.080us          0.580us
empty                               16.128us          0.549us                1         16.128us          0.549us
cudnn_convolution                  132.703us       8407.608us                1        132.703us       8407.608us
add_                                59.327us          5.341us                1         59.327us          5.341us
batch_norm                         264.223us       1233.505us                1        264.223us       1233.505us
