---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                                CPU time        CUDA time            Calls        CPU total       CUDA total
---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
conv2d                         8795646.911us          0.000us                1    8795646.911us          0.000us
convolution                    8795624.735us          0.000us                1    8795624.735us          0.000us
_convolution                   8795594.815us          0.000us                1    8795594.815us          0.000us
contiguous                           2.624us          0.000us                1          2.624us          0.000us
empty                                6.144us          0.000us                1          6.144us          0.000us
_convolution_nogroup           8795512.320us          0.000us                1    8795512.320us          0.000us
thnn_conv2d                    8795495.264us          0.000us                1    8795495.264us          0.000us
thnn_conv2d_forward            8785489.086us          0.000us                1    8785489.086us          0.000us
add_                                57.535us          0.000us                1         57.535us          0.000us
batch_norm                       36174.752us          0.000us                1      36174.752us          0.000us
native_batch_norm                36132.192us          0.000us                1      36132.192us          0.000us
threshold_                       18224.943us          0.000us                1      18224.943us          0.000us
max_pool2d_with_indices          78616.280us          0.000us                1      78616.280us          0.000us
conv2d                         8628163.691us          0.000us                1    8628163.691us          0.000us
convolution                    8628157.035us          0.000us                1    8628157.035us          0.000us
_convolution                   8628153.035us          0.000us                1    8628153.035us          0.000us
contiguous                           2.944us          0.000us                1          2.944us          0.000us
empty                                8.576us          0.000us                1          8.576us          0.000us
_convolution_nogroup           8628119.307us          0.000us                1    8628119.307us          0.000us
thnn_conv2d                    8628114.187us          0.000us                1    8628114.187us          0.000us
thnn_conv2d_forward            8618406.567us          0.000us                1    8618406.567us          0.000us
add_                                33.184us          0.000us                1         33.184us          0.000us
batch_norm                        7504.242us          0.000us                1       7504.242us          0.000us
native_batch_norm                 7485.618us          0.000us                1       7485.618us          0.000us
threshold_                        5599.421us          0.000us                1       5599.421us          0.000us
conv2d                         8697220.279us          0.000us                1    8697220.279us          0.000us
convolution                    8697213.463us          0.000us                1    8697213.463us          0.000us
_convolution                   8697208.951us          0.000us                1    8697208.951us          0.000us
contiguous                           2.656us          0.000us                1          2.656us          0.000us
empty                               10.016us          0.000us                1         10.016us          0.000us
_convolution_nogroup           8697173.687us          0.000us                1    8697173.687us          0.000us
thnn_conv2d                    8697166.775us          0.000us                1    8697166.775us          0.000us
thnn_conv2d_forward            8687236.788us          0.000us                1    8687236.788us          0.000us
add_                                33.023us          0.000us                1         33.023us          0.000us
batch_norm                       14586.438us          0.000us                1      14586.438us          0.000us
native_batch_norm                14566.310us          0.000us                1      14566.310us          0.000us
add_                              4625.219us          0.000us                1       4625.219us          0.000us
threshold_                        5582.781us          0.000us                1       5582.781us          0.000us
conv2d                         8628891.604us          0.000us                1    8628891.604us          0.000us
convolution                    8628884.468us          0.000us                1    8628884.468us          0.000us
_convolution                   8628880.340us          0.000us                1    8628880.340us          0.000us
contiguous                           2.656us          0.000us                1          2.656us          0.000us
empty                               10.176us          0.000us                1         10.176us          0.000us
_convolution_nogroup           8628843.636us          0.000us                1    8628843.636us          0.000us
thnn_conv2d                    8628837.492us          0.000us                1    8628837.492us          0.000us
thnn_conv2d_forward            8618988.721us          0.000us                1    8618988.721us          0.000us
add_                                33.984us          0.000us                1         33.984us          0.000us
batch_norm                        7544.562us          0.000us                1       7544.562us          0.000us
native_batch_norm                 7526.130us          0.000us                1       7526.130us          0.000us
threshold_                        6123.546us          0.000us                1       6123.546us          0.000us
conv2d                         8608915.684us          0.000us                1    8608915.684us          0.000us
convolution                    8608908.964us          0.000us                1    8608908.964us          0.000us
_convolution                   8608904.836us          0.000us                1    8608904.836us          0.000us
contiguous                           2.464us          0.000us                1          2.464us          0.000us
empty                                9.472us          0.000us                1          9.472us          0.000us
_convolution_nogroup           8608870.852us          0.000us                1    8608870.852us          0.000us
thnn_conv2d                    8608864.612us          0.000us                1    8608864.612us          0.000us
thnn_conv2d_forward            8599119.296us          0.000us                1    8599119.296us          0.000us
add_                                32.736us          0.000us                1         32.736us          0.000us
batch_norm                        7542.289us          0.000us                1       7542.289us          0.000us
native_batch_norm                 7523.025us          0.000us                1       7523.025us          0.000us
add_                              4319.365us          0.000us                1       4319.365us          0.000us
threshold_                        5887.772us          0.000us                1       5887.772us          0.000us
conv2d                         3131485.648us          0.000us                1    3131485.648us          0.000us
convolution                    3131479.440us          0.000us                1    3131479.440us          0.000us
_convolution                   3131475.152us          0.000us                1    3131475.152us          0.000us
contiguous                           2.528us          0.000us                1          2.528us          0.000us
empty                                8.704us          0.000us                1          8.704us          0.000us
_convolution_nogroup           3131442.416us          0.000us                1    3131442.416us          0.000us
thnn_conv2d                    3131436.016us          0.000us                1    3131436.016us          0.000us
thnn_conv2d_forward            3131426.512us          0.000us                1    3131426.512us          0.000us
add_                                32.543us          0.000us                1         32.543us          0.000us
batch_norm                        3905.320us          0.000us                1       3905.320us          0.000us
native_batch_norm                 3886.344us          0.000us                1       3886.344us          0.000us
threshold_                        3703.113us          0.000us                1       3703.113us          0.000us
conv2d                         6792678.371us          0.000us                1    6792678.371us          0.000us
convolution                    6792671.267us          0.000us                1    6792671.267us          0.000us
_convolution                   6792667.107us          0.000us                1    6792667.107us          0.000us
contiguous                           2.592us          0.000us                1          2.592us          0.000us
empty                                9.984us          0.000us                1          9.984us          0.000us
_convolution_nogroup           6792630.883us          0.000us                1    6792630.883us          0.000us
thnn_conv2d                    6792624.611us          0.000us                1    6792624.611us          0.000us
thnn_conv2d_forward            6787728.097us          0.000us                1    6787728.097us          0.000us
add_                                33.023us          0.000us                1         33.023us          0.000us
batch_norm                        3956.391us          0.000us                1       3956.391us          0.000us
native_batch_norm                 3938.823us          0.000us                1       3938.823us          0.000us
conv2d                          314846.542us          0.000us                1     314846.542us          0.000us
convolution                     314840.334us          0.000us                1     314840.334us          0.000us
_convolution                    314836.174us          0.000us                1     314836.174us          0.000us
contiguous                           2.656us          0.000us                1          2.656us          0.000us
empty                                6.080us          0.000us                1          6.080us          0.000us
_convolution_nogroup            314807.182us          0.000us                1     314807.182us          0.000us
thnn_conv2d                     314801.710us          0.000us                1     314801.710us          0.000us
thnn_conv2d_forward             314791.630us          0.000us                1     314791.630us          0.000us
add_                                32.991us          0.000us                1         32.991us          0.000us
batch_norm                        3843.848us          0.000us                1       3843.848us          0.000us
native_batch_norm                 3826.024us          0.000us                1       3826.024us          0.000us
add_                              2163.250us          0.000us                1       2163.250us          0.000us
threshold_                        3826.856us          0.000us                1       3826.856us          0.000us
conv2d                         6794666.571us          0.000us                1    6794666.571us          0.000us
convolution                    6794659.851us          0.000us                1    6794659.851us          0.000us
_convolution                   6794655.691us          0.000us                1    6794655.691us          0.000us
contiguous                           2.400us          0.000us                1          2.400us          0.000us
empty                                9.056us          0.000us                1          9.056us          0.000us
_convolution_nogroup           6794622.763us          0.000us                1    6794622.763us          0.000us
thnn_conv2d                    6794616.075us          0.000us                1    6794616.075us          0.000us
thnn_conv2d_forward            6789706.057us          0.000us                1    6789706.057us          0.000us
add_                                33.024us          0.000us                1         33.024us          0.000us
batch_norm                        3830.473us          0.000us                1       3830.473us          0.000us
native_batch_norm                 3813.001us          0.000us                1       3813.001us          0.000us
threshold_                        3983.047us          0.000us                1       3983.047us          0.000us
conv2d                         6811083.640us          0.000us                1    6811083.640us          0.000us
convolution                    6811077.240us          0.000us                1    6811077.240us          0.000us
_convolution                   6811073.048us          0.000us                1    6811073.048us          0.000us
contiguous                           2.752us          0.000us                1          2.752us          0.000us
empty                               10.624us          0.000us                1         10.624us          0.000us
_convolution_nogroup           6811037.688us          0.000us                1    6811037.688us          0.000us
thnn_conv2d                    6811032.024us          0.000us                1    6811032.024us          0.000us
thnn_conv2d_forward            6806117.910us          0.000us                1    6806117.910us          0.000us
add_                                33.248us          0.000us                1         33.248us          0.000us
batch_norm                        3864.041us          0.000us                1       3864.041us          0.000us
native_batch_norm                 3845.065us          0.000us                1       3845.065us          0.000us
