---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                                CPU time        CUDA time            Calls        CPU total       CUDA total
---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
conv2d                             439.966us      10868.960us                1        439.966us      10868.960us
convolution                        389.438us      10844.800us                1        389.438us      10844.800us
_convolution                       357.694us      10826.880us                1        357.694us      10826.880us
contiguous                          18.400us         17.600us                1         18.400us         17.600us
empty                               23.008us         22.560us                1         23.008us         22.560us
cudnn_convolution                  237.631us      10728.480us                1        237.631us      10728.480us
add_                                97.247us          6.559us                1         97.247us          6.559us
batch_norm                         323.102us       4762.432us                1        323.102us       4762.432us
contiguous                          16.256us          0.640us                1         16.256us          0.640us
contiguous                          13.151us          0.480us                1         13.151us          0.480us
contiguous                          12.896us          0.640us                1         12.896us          0.640us
contiguous                          12.352us          0.512us                1         12.352us          0.512us
contiguous                          12.576us          0.640us                1         12.576us          0.640us
cudnn_batch_norm                   139.647us       4754.881us                1        139.647us       4754.881us
threshold_                          67.583us       3578.241us                1         67.583us       3578.241us
max_pool2d_with_indices             82.623us       5790.079us                1         82.623us       5790.079us
conv2d                             269.886us       8223.680us                1        269.886us       8223.680us
convolution                        239.358us       8222.401us                1        239.358us       8222.401us
_convolution                       211.007us       8221.249us                1        211.007us       8221.249us
contiguous                          12.960us          0.641us                1         12.960us          0.641us
empty                               15.968us          0.511us                1         15.968us          0.511us
cudnn_convolution                  118.016us       8217.440us                1        118.016us       8217.440us
add_                                74.752us          5.283us                1         74.752us          5.283us
batch_norm                         269.119us       1204.002us                1        269.119us       1204.002us
contiguous                          15.264us          0.511us                1         15.264us          0.511us
contiguous                          12.480us          0.637us                1         12.480us          0.637us
contiguous                          12.224us          0.481us                1         12.224us          0.481us
contiguous                          11.968us          0.641us                1         11.968us          0.641us
contiguous                          11.808us          0.641us                1         11.808us          0.641us
cudnn_batch_norm                   100.608us       1196.640us                1        100.608us       1196.640us
threshold_                          54.976us        876.450us                1         54.976us        876.450us
conv2d                             235.838us       8191.841us                1        235.838us       8191.841us
convolution                        207.647us       8190.559us                1        207.647us       8190.559us
_convolution                       181.599us       8189.278us                1        181.599us       8189.278us
contiguous                          12.319us          0.637us                1         12.319us          0.637us
empty                               15.296us          0.641us                1         15.296us          0.641us
cudnn_convolution                   92.928us       8184.994us                1         92.928us       8184.994us
add_                                58.240us          5.245us                1         58.240us          5.245us
batch_norm                         297.535us       1200.768us                1        297.535us       1200.768us
contiguous                          14.496us          0.641us                1         14.496us          0.641us
contiguous                          12.960us          0.511us                1         12.960us          0.511us
contiguous                          12.128us          0.637us                1         12.128us          0.637us
contiguous                          45.792us          0.671us                1         45.792us          0.671us
contiguous                          11.807us          0.641us                1         11.807us          0.641us
cudnn_batch_norm                    95.488us       1193.279us                1         95.488us       1193.279us
add_                                55.871us       1083.519us                1         55.871us       1083.519us
threshold_                          56.224us        878.429us                1         56.224us        878.429us
conv2d                             231.647us       8193.119us                1        231.647us       8193.119us
convolution                        204.991us       8192.032us                1        204.991us       8192.032us
_convolution                       179.615us       8190.880us                1        179.615us       8190.880us
contiguous                          11.744us          0.641us                1         11.744us          0.641us
empty                               15.904us          0.641us                1         15.904us          0.641us
cudnn_convolution                   91.935us       8186.562us                1         91.935us       8186.562us
add_                                59.391us          5.726us                1         59.391us          5.726us
batch_norm                         258.367us       1180.000us                1        258.367us       1180.000us
contiguous                          14.368us          0.641us                1         14.368us          0.641us
contiguous                          12.288us          0.511us                1         12.288us          0.511us
contiguous                          12.480us          0.637us                1         12.480us          0.637us
contiguous                          11.935us          0.641us                1         11.935us          0.641us
contiguous                          12.576us          0.641us                1         12.576us          0.641us
cudnn_batch_norm                    92.032us       1172.642us                1         92.032us       1172.642us
threshold_                          50.560us        861.122us                1         50.560us        861.122us
conv2d                             229.663us       8193.279us                1        229.663us       8193.279us
convolution                        201.183us       8192.162us                1        201.183us       8192.162us
_convolution                       176.159us       8190.880us                1        176.159us       8190.880us
contiguous                          12.575us          0.641us                1         12.575us          0.641us
empty                               15.680us          0.637us                1         15.680us          0.637us
cudnn_convolution                   89.152us       8187.168us                1         89.152us       8187.168us
add_                                66.432us          5.249us                1         66.432us          5.249us
batch_norm                         253.663us       1175.003us                1        253.663us       1175.003us
contiguous                          14.176us          0.603us                1         14.176us          0.603us
contiguous                          12.704us          0.641us                1         12.704us          0.641us
contiguous                          12.160us          0.610us                1         12.160us          0.610us
contiguous                          11.968us          0.641us                1         11.968us          0.641us
contiguous                          12.192us          0.603us                1         12.192us          0.603us
cudnn_batch_norm                    88.479us       1167.679us                1         88.479us       1167.679us
add_                                50.848us       1087.685us                1         50.848us       1087.685us
threshold_                          47.840us        863.808us                1         47.840us        863.808us
conv2d                             262.270us       3934.395us                1        262.270us       3934.395us
convolution                        232.543us       3933.243us                1        232.543us       3933.243us
_convolution                       204.767us       3931.999us                1        204.767us       3931.999us
contiguous                          13.152us          0.641us                1         13.152us          0.641us
empty                               16.576us          0.641us                1         16.576us          0.641us
cudnn_convolution                  110.623us       3928.001us                1        110.623us       3928.001us
add_                                64.223us          5.600us                1         64.223us          5.600us
batch_norm                         325.854us        603.813us                1        325.854us        603.813us
contiguous                          17.504us          0.610us                1         17.504us          0.610us
contiguous                          13.344us          0.641us                1         13.344us          0.641us
contiguous                          13.567us          0.603us                1         13.567us          0.603us
contiguous                          13.056us          0.633us                1         13.056us          0.633us
contiguous                          12.672us          0.610us                1         12.672us          0.610us
cudnn_batch_norm                   136.319us        596.291us                1        136.319us        596.291us
threshold_                          85.887us        438.080us                1         85.887us        438.080us
conv2d                             304.542us       4427.200us                1        304.542us       4427.200us
convolution                        274.430us       4426.048us                1        274.430us       4426.048us
_convolution                       248.702us       4424.805us                1        248.702us       4424.805us
contiguous                          12.896us          0.511us                1         12.896us          0.511us
empty                               16.959us          0.641us                1         16.959us          0.641us
cudnn_convolution                  156.192us       4420.799us                1        156.192us       4420.799us
add_                                70.399us          5.440us                1         70.399us          5.440us
batch_norm                         307.774us        603.012us                1        307.774us        603.012us
contiguous                          15.008us          0.511us                1         15.008us          0.511us
contiguous                          13.184us          0.641us                1         13.184us          0.641us
contiguous                          33.727us          0.610us                1         33.727us          0.610us
contiguous                          12.768us          0.641us                1         12.768us          0.641us
contiguous                          12.256us          0.610us                1         12.256us          0.610us
cudnn_batch_norm                   110.815us        595.680us                1        110.815us        595.680us
conv2d                             280.510us        728.958us                1        280.510us        728.958us
convolution                        250.078us        727.676us                1        250.078us        727.676us
_convolution                       224.606us        726.524us                1        224.606us        726.524us
contiguous                          12.864us          0.603us                1         12.864us          0.603us
empty                               15.936us          0.641us                1         15.936us          0.641us
cudnn_convolution                  133.376us        722.725us                1        133.376us        722.725us
add_                                65.824us          5.280us                1         65.824us          5.280us
batch_norm                         262.239us        606.430us                1        262.239us        606.430us
contiguous                          14.592us          0.641us                1         14.592us          0.641us
contiguous                          12.544us          0.603us                1         12.544us          0.603us
contiguous                          12.480us          0.633us                1         12.480us          0.633us
contiguous                          11.904us          0.610us                1         11.904us          0.610us
contiguous                          12.351us          0.641us                1         12.351us          0.641us
cudnn_batch_norm                    95.520us        599.037us                1         95.520us        599.037us
add_                                53.439us        543.869us                1         53.439us        543.869us
threshold_                          51.264us        440.674us                1         51.264us        440.674us
conv2d                             284.703us       4400.291us                1        284.703us       4400.291us
convolution                        255.711us       4399.071us                1        255.711us       4399.071us
_convolution                       228.127us       4397.919us                1        228.127us       4397.919us
contiguous                          13.376us          0.641us                1         13.376us          0.641us
empty                               16.032us          0.511us                1         16.032us          0.511us
cudnn_convolution                  136.831us       4393.921us                1        136.831us       4393.921us
add_                                59.552us          5.280us                1         59.552us          5.280us
batch_norm                         263.998us        605.118us                1        263.998us        605.118us
contiguous                          15.328us          0.481us                1         15.328us          0.481us
