---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                                CPU time        CUDA time            Calls        CPU total       CUDA total
---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
conv2d                        17544683.128us          0.000us                1   17544683.128us          0.000us
convolution                   17544660.888us          0.000us                1   17544660.888us          0.000us
_convolution                  17544631.640us          0.000us                1   17544631.640us          0.000us
contiguous                           2.560us          0.000us                1          2.560us          0.000us
empty                                6.880us          0.000us                1          6.880us          0.000us
_convolution_nogroup          17544547.192us          0.000us                1   17544547.192us          0.000us
thnn_conv2d                   17544530.136us          0.000us                1   17544530.136us          0.000us
thnn_conv2d_forward           17525425.351us          0.000us                1   17525425.351us          0.000us
add_                                56.992us          0.000us                1         56.992us          0.000us
batch_norm                       74976.110us          0.000us                1      74976.110us          0.000us
native_batch_norm                74941.326us          0.000us                1      74941.326us          0.000us
threshold_                       37122.217us          0.000us                1      37122.217us          0.000us
max_pool2d_with_indices         132018.501us          0.000us                1     132018.501us          0.000us
conv2d                        17207768.674us          0.000us                1   17207768.674us          0.000us
convolution                   17207761.762us          0.000us                1   17207761.762us          0.000us
_convolution                  17207757.602us          0.000us                1   17207757.602us          0.000us
contiguous                           2.976us          0.000us                1          2.976us          0.000us
empty                                9.120us          0.000us                1          9.120us          0.000us
_convolution_nogroup          17207722.370us          0.000us                1   17207722.370us          0.000us
thnn_conv2d                   17207715.938us          0.000us                1   17207715.938us          0.000us
thnn_conv2d_forward           17186933.530us          0.000us                1   17186933.530us          0.000us
add_                                35.456us          0.000us                1         35.456us          0.000us
batch_norm                       19627.087us          0.000us                1      19627.087us          0.000us
native_batch_norm                19608.111us          0.000us                1      19608.111us          0.000us
threshold_                       11104.480us          0.000us                1      11104.480us          0.000us
conv2d                        17193374.620us          0.000us                1   17193374.620us          0.000us
convolution                   17193368.156us          0.000us                1   17193368.156us          0.000us
_convolution                  17193364.028us          0.000us                1   17193364.028us          0.000us
contiguous                           2.624us          0.000us                1          2.624us          0.000us
empty                                9.120us          0.000us                1          9.120us          0.000us
_convolution_nogroup          17193327.548us          0.000us                1   17193327.548us          0.000us
thnn_conv2d                   17193321.180us          0.000us                1   17193321.180us          0.000us
thnn_conv2d_forward           17173512.910us          0.000us                1   17173512.910us          0.000us
add_                                33.536us          0.000us                1         33.536us          0.000us
batch_norm                       15838.181us          0.000us                1      15838.181us          0.000us
native_batch_norm                15819.813us          0.000us                1      15819.813us          0.000us
add_                              8517.487us          0.000us                1       8517.487us          0.000us
threshold_                       11130.336us          0.000us                1      11130.336us          0.000us
conv2d                        17190806.062us          0.000us                1   17190806.062us          0.000us
convolution                   17190798.990us          0.000us                1   17190798.990us          0.000us
_convolution                  17190795.086us          0.000us                1   17190795.086us          0.000us
contiguous                           2.912us          0.000us                1          2.912us          0.000us
empty                                9.440us          0.000us                1          9.440us          0.000us
_convolution_nogroup          17190741.486us          0.000us                1   17190741.486us          0.000us
thnn_conv2d                   17190734.574us          0.000us                1   17190734.574us          0.000us
thnn_conv2d_forward           17170925.984us          0.000us                1   17170925.984us          0.000us
add_                                32.992us          0.000us                1         32.992us          0.000us
batch_norm                       19359.056us          0.000us                1      19359.056us          0.000us
native_batch_norm                19340.624us          0.000us                1      19340.624us          0.000us
threshold_                       12241.817us          0.000us                1      12241.817us          0.000us
conv2d                        17184946.287us          0.000us                1   17184946.287us          0.000us
convolution                   17184939.535us          0.000us                1   17184939.535us          0.000us
_convolution                  17184935.503us          0.000us                1   17184935.503us          0.000us
contiguous                           2.528us          0.000us                1          2.528us          0.000us
empty                                9.824us          0.000us                1          9.824us          0.000us
_convolution_nogroup          17184900.943us          0.000us                1   17184900.943us          0.000us
thnn_conv2d                   17184893.775us          0.000us                1   17184893.775us          0.000us
thnn_conv2d_forward           17166270.266us          0.000us                1   17166270.266us          0.000us
add_                                34.400us          0.000us                1         34.400us          0.000us
batch_norm                       30124.499us          0.000us                1      30124.499us          0.000us
native_batch_norm                30105.715us          0.000us                1      30105.715us          0.000us
add_                              9577.193us          0.000us                1       9577.193us          0.000us
threshold_                       11972.411us          0.000us                1      11972.411us          0.000us
conv2d                         6252213.596us          0.000us                1    6252213.596us          0.000us
convolution                    6252207.900us          0.000us                1    6252207.900us          0.000us
_convolution                   6252203.676us          0.000us                1    6252203.676us          0.000us
contiguous                           2.496us          0.000us                1          2.496us          0.000us
empty                                8.704us          0.000us                1          8.704us          0.000us
_convolution_nogroup           6252170.204us          0.000us                1    6252170.204us          0.000us
thnn_conv2d                    6252164.220us          0.000us                1    6252164.220us          0.000us
thnn_conv2d_forward            6252153.788us          0.000us                1    6252153.788us          0.000us
add_                                32.864us          0.000us                1         32.864us          0.000us
batch_norm                        7584.629us          0.000us                1       7584.629us          0.000us
native_batch_norm                 7565.461us          0.000us                1       7565.461us          0.000us
threshold_                        7385.653us          0.000us                1       7385.653us          0.000us
conv2d                        13621651.264us          0.000us                1   13621651.264us          0.000us
convolution                   13621644.768us          0.000us                1   13621644.768us          0.000us
_convolution                  13621641.024us          0.000us                1   13621641.024us          0.000us
contiguous                           2.656us          0.000us                1          2.656us          0.000us
empty                                9.312us          0.000us                1          9.312us          0.000us
_convolution_nogroup          13621606.144us          0.000us                1   13621606.144us          0.000us
thnn_conv2d                   13621600.192us          0.000us                1   13621600.192us          0.000us
thnn_conv2d_forward           13611941.816us          0.000us                1   13611941.816us          0.000us
add_                                33.344us          0.000us                1         33.344us          0.000us
batch_norm                        7682.580us          0.000us                1       7682.580us          0.000us
native_batch_norm                 7663.508us          0.000us                1       7663.508us          0.000us
conv2d                          631860.429us          0.000us                1     631860.429us          0.000us
convolution                     631853.837us          0.000us                1     631853.837us          0.000us
_convolution                    631849.901us          0.000us                1     631849.901us          0.000us
contiguous                           2.304us          0.000us                1          2.304us          0.000us
empty                                5.952us          0.000us                1          5.952us          0.000us
_convolution_nogroup            631821.069us          0.000us                1     631821.069us          0.000us
thnn_conv2d                     631814.893us          0.000us                1     631814.893us          0.000us
thnn_conv2d_forward             631787.021us          0.000us                1     631787.021us          0.000us
add_                                32.640us          0.000us                1         32.640us          0.000us
batch_norm                        7602.388us          0.000us                1       7602.388us          0.000us
native_batch_norm                 7584.629us          0.000us                1       7584.629us          0.000us
add_                              4312.967us          0.000us                1       4312.967us          0.000us
threshold_                        7585.396us          0.000us                1       7585.396us          0.000us
conv2d                        13611354.869us          0.000us                1   13611354.869us          0.000us
convolution                   13611348.597us          0.000us                1   13611348.597us          0.000us
_convolution                  13611344.693us          0.000us                1   13611344.693us          0.000us
contiguous                           2.560us          0.000us                1          2.560us          0.000us
empty                                8.960us          0.000us                1          8.960us          0.000us
_convolution_nogroup          13611309.301us          0.000us                1   13611309.301us          0.000us
thnn_conv2d                   13611302.485us          0.000us                1   13611302.485us          0.000us
thnn_conv2d_forward           13601677.069us          0.000us                1   13601677.069us          0.000us
add_                                34.336us          0.000us                1         34.336us          0.000us
batch_norm                        7641.684us          0.000us                1       7641.684us          0.000us
native_batch_norm                 7623.412us          0.000us                1       7623.412us          0.000us
threshold_                        7944.466us          0.000us                1       7944.466us          0.000us
conv2d                        13681482.105us          0.000us                1   13681482.105us          0.000us
convolution                   13681474.777us          0.000us                1   13681474.777us          0.000us
_convolution                  13681470.969us          0.000us                1   13681470.969us          0.000us
contiguous                           2.368us          0.000us                1          2.368us          0.000us
empty                               10.368us          0.000us                1         10.368us          0.000us
_convolution_nogroup          13681435.097us          0.000us                1   13681435.097us          0.000us
thnn_conv2d                   13681427.801us          0.000us                1   13681427.801us          0.000us
thnn_conv2d_forward           13671810.960us          0.000us                1   13671810.960us          0.000us
add_                                34.976us          0.000us                1         34.976us          0.000us
batch_norm                        7686.260us          0.000us                1       7686.260us          0.000us
native_batch_norm                 7668.692us          0.000us                1       7668.692us          0.000us
