---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                                CPU time        CUDA time            Calls        CPU total       CUDA total
---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
conv2d                             494.365us      21452.799us                1        494.365us      21452.799us
convolution                        438.398us      21427.040us                1        438.398us      21427.040us
_convolution                       406.110us      21409.441us                1        406.110us      21409.441us
contiguous                          18.848us         19.520us                1         18.848us         19.520us
empty                               37.728us         27.040us                1         37.728us         27.040us
cudnn_convolution                  266.334us      21293.024us                1        266.334us      21293.024us
add_                               105.855us          6.624us                1        105.855us          6.624us
batch_norm                         432.029us      12078.079us                1        432.029us      12078.079us
contiguous                          22.528us          0.641us                1         22.528us          0.641us
contiguous                          17.664us          0.639us                1         17.664us          0.639us
contiguous                          16.000us          0.641us                1         16.000us          0.641us
contiguous                          16.256us          0.639us                1         16.256us          0.639us
contiguous                          15.360us          0.639us                1         15.360us          0.639us
cudnn_batch_norm                   195.839us      12070.463us                1        195.839us      12070.463us
threshold_                          98.848us       7212.479us                1         98.848us       7212.479us
max_pool2d_with_indices             91.808us      11684.479us                1         91.808us      11684.479us
conv2d                             574.269us      13782.883us                1        574.269us      13782.883us
convolution                        540.861us      13781.761us                1        540.861us      13781.761us
_convolution                       511.581us      13780.479us                1        511.581us      13780.479us
contiguous                          14.016us          0.576us                1         14.016us          0.576us
empty                               19.552us          0.637us                1         19.552us          0.637us
cudnn_convolution                  405.054us      13776.577us                1        405.054us      13776.577us
add_                                88.224us          6.813us                1         88.224us          6.813us
batch_norm                         301.694us       2474.876us                1        301.694us       2474.876us
contiguous                          16.416us          0.542us                1         16.416us          0.542us
contiguous                          13.568us          0.580us                1         13.568us          0.580us
contiguous                          12.672us          0.542us                1         12.672us          0.542us
contiguous                          12.799us          0.641us                1         12.799us          0.641us
contiguous                          12.480us          0.542us                1         12.480us          0.542us
cudnn_batch_norm                   120.992us       2467.361us                1        120.992us       2467.361us
threshold_                          57.024us       1795.906us                1         57.024us       1795.906us
conv2d                             474.718us      13752.640us                1        474.718us      13752.640us
convolution                        446.878us      13751.457us                1        446.878us      13751.457us
_convolution                       420.606us      13750.237us                1        420.606us      13750.237us
contiguous                          12.608us          0.549us                1         12.608us          0.549us
empty                               17.024us          0.633us                1         17.024us          0.633us
cudnn_convolution                  327.166us      13746.300us                1        327.166us      13746.300us
add_                                72.448us          6.721us                1         72.448us          6.721us
batch_norm                         268.383us       2481.850us                1        268.383us       2481.850us
contiguous                          14.592us          0.572us                1         14.592us          0.572us
contiguous                          12.544us          0.641us                1         12.544us          0.641us
contiguous                          12.416us          0.580us                1         12.416us          0.580us
contiguous                          12.480us          0.641us                1         12.480us          0.641us
contiguous                          12.128us          0.641us                1         12.128us          0.641us
cudnn_batch_norm                    96.863us       2474.403us                1         96.863us       2474.403us
add_                                80.415us       2213.348us                1         80.415us       2213.348us
threshold_                          59.136us       1799.774us                1         59.136us       1799.774us
conv2d                             537.085us      13754.082us                1        537.085us      13754.082us
convolution                        504.221us      13752.861us                1        504.221us      13752.861us
_convolution                       475.517us      13751.778us                1        475.517us      13751.778us
contiguous                          14.432us          0.641us                1         14.432us          0.641us
empty                               19.423us          0.641us                1         19.423us          0.641us
cudnn_convolution                  373.758us      13747.841us                1        373.758us      13747.841us
add_                                71.520us          6.493us                1         71.520us          6.493us
batch_norm                         287.134us       2433.281us                1        287.134us       2433.281us
contiguous                          14.592us          0.542us                1         14.592us          0.542us
contiguous                          14.016us          0.580us                1         14.016us          0.580us
contiguous                          12.352us          0.542us                1         12.352us          0.542us
contiguous                          12.192us          0.641us                1         12.192us          0.641us
contiguous                          12.224us          0.542us                1         12.224us          0.542us
cudnn_batch_norm                   109.535us       2425.446us                1        109.535us       2425.446us
threshold_                          72.160us       1776.581us                1         72.160us       1776.581us
conv2d                             585.532us      13799.294us                1        585.532us      13799.294us
convolution                        554.684us      13798.149us                1        554.684us      13798.149us
_convolution                       527.165us      13796.959us                1        527.165us      13796.959us
contiguous                          14.016us          0.641us                1         14.016us          0.641us
empty                               19.488us          0.641us                1         19.488us          0.641us
cudnn_convolution                  420.734us      13792.801us                1        420.734us      13792.801us
add_                                97.279us          5.600us                1         97.279us          5.600us
batch_norm                         330.814us       2397.507us                1        330.814us       2397.507us
contiguous                          15.808us          0.641us                1         15.808us          0.641us
contiguous                          13.856us          0.641us                1         13.856us          0.641us
contiguous                          13.280us          0.641us                1         13.280us          0.641us
contiguous                          13.120us          0.549us                1         13.120us          0.549us
contiguous                          12.576us          0.641us                1         12.576us          0.641us
cudnn_batch_norm                   143.008us       2389.915us                1        143.008us       2389.915us
add_                                68.576us       2172.638us                1         68.576us       2172.638us
threshold_                          57.056us       1761.292us                1         57.056us       1761.292us
conv2d                             314.015us       7782.944us                1        314.015us       7782.944us
convolution                        282.303us       7781.754us                1        282.303us       7781.754us
_convolution                       251.519us       7780.579us                1        251.519us       7780.579us
contiguous                          14.048us          0.641us                1         14.048us          0.641us
empty                               18.624us          0.641us                1         18.624us          0.641us
cudnn_convolution                  149.983us       7776.413us                1        149.983us       7776.413us
add_                                72.096us          5.219us                1         72.096us          5.219us
batch_norm                         394.110us       1230.652us                1        394.110us       1230.652us
contiguous                          15.808us          0.549us                1         15.808us          0.549us
contiguous                          13.920us          0.641us                1         13.920us          0.641us
contiguous                          13.024us          0.534us                1         13.024us          0.534us
contiguous                          12.640us          0.641us                1         12.640us          0.641us
contiguous                          12.960us          0.549us                1         12.960us          0.549us
cudnn_batch_norm                   205.695us       1222.977us                1        205.695us       1222.977us
threshold_                          74.880us        873.276us                1         74.880us        873.276us
conv2d                             354.494us       8386.887us                1        354.494us       8386.887us
convolution                        320.926us       8385.666us                1        320.926us       8385.666us
_convolution                       291.551us       8384.476us                1        291.551us       8384.476us
contiguous                          14.016us          0.641us                1         14.016us          0.641us
empty                               19.552us          0.565us                1         19.552us          0.565us
cudnn_convolution                  181.951us       8380.417us                1        181.951us       8380.417us
add_                                82.495us          5.493us                1         82.495us          5.493us
batch_norm                         297.310us       1232.330us                1        297.310us       1232.330us
contiguous                          16.031us          0.549us                1         16.031us          0.549us
contiguous                          13.504us          0.565us                1         13.504us          0.565us
contiguous                          12.416us          0.549us                1         12.416us          0.549us
contiguous                          12.352us          0.580us                1         12.352us          0.580us
contiguous                          12.000us          0.534us                1         12.000us          0.534us
cudnn_batch_norm                   118.623us       1224.960us                1        118.623us       1224.960us
conv2d                             299.423us       1425.995us                1        299.423us       1425.995us
convolution                        269.023us       1424.805us                1        269.023us       1424.805us
_convolution                       241.183us       1423.615us                1        241.183us       1423.615us
contiguous                          12.640us          0.641us                1         12.640us          0.641us
empty                               16.416us          0.641us                1         16.416us          0.641us
cudnn_convolution                  148.799us       1419.846us                1        148.799us       1419.846us
add_                                64.992us          5.676us                1         64.992us          5.676us
batch_norm                         269.342us       1230.408us                1        269.342us       1230.408us
contiguous                          15.424us          0.641us                1         15.424us          0.641us
contiguous                          13.216us          0.580us                1         13.216us          0.580us
contiguous                          12.544us          0.748us                1         12.544us          0.748us
contiguous                          12.480us          0.732us                1         12.480us          0.732us
contiguous                          12.224us          0.641us                1         12.224us          0.641us
cudnn_batch_norm                    98.559us       1222.870us                1         98.559us       1222.870us
add_                                54.623us       1087.830us                1         54.623us       1087.830us
threshold_                          52.608us        874.023us                1         52.608us        874.023us
conv2d                             300.159us       8376.480us                1        300.159us       8376.480us
convolution                        271.519us       8375.351us                1        271.519us       8375.351us
_convolution                       244.511us       8374.069us                1        244.511us       8374.069us
contiguous                          13.184us          0.565us                1         13.184us          0.565us
empty                               16.576us          0.641us                1         16.576us          0.641us
cudnn_convolution                  151.487us       8370.071us                1        151.487us       8370.071us
add_                                57.696us          5.280us                1         57.696us          5.280us
batch_norm                         265.342us       1232.162us                1        265.342us       1232.162us
