---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                                CPU time        CUDA time            Calls        CPU total       CUDA total
---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
conv2d                             616.253us          0.000us                1        616.253us          0.000us
convolution                        595.997us          0.000us                1        595.997us          0.000us
_convolution                       588.445us          0.000us                1        588.445us          0.000us
contiguous                           8.544us          0.000us                1          8.544us          0.000us
empty                               26.848us          0.000us                1         26.848us          0.000us
cudnn_convolution                  507.198us          0.000us                1        507.198us          0.000us
threshold_                         130.303us          0.000us                1        130.303us          0.000us
max_pool2d_with_indices             94.848us          0.000us                1         94.848us          0.000us
conv2d                             448.734us          0.000us                1        448.734us          0.000us
convolution                        443.774us          0.000us                1        443.774us          0.000us
_convolution                       438.974us          0.000us                1        438.974us          0.000us
contiguous                           2.848us          0.000us                1          2.848us          0.000us
empty                               14.976us          0.000us                1         14.976us          0.000us
cudnn_convolution                  391.870us          0.000us                1        391.870us          0.000us
threshold_                         107.872us          0.000us                1        107.872us          0.000us
max_pool2d_with_indices            105.887us          0.000us                1        105.887us          0.000us
conv2d                             273.150us          0.000us                1        273.150us          0.000us
convolution                        268.190us          0.000us                1        268.190us          0.000us
_convolution                       265.406us          0.000us                1        265.406us          0.000us
contiguous                           2.624us          0.000us                1          2.624us          0.000us
empty                                7.200us          0.000us                1          7.200us          0.000us
cudnn_convolution                  235.839us          0.000us                1        235.839us          0.000us
threshold_                          73.055us          0.000us                1         73.055us          0.000us
conv2d                             244.127us          0.000us                1        244.127us          0.000us
convolution                        240.895us          0.000us                1        240.895us          0.000us
_convolution                       238.719us          0.000us                1        238.719us          0.000us
contiguous                           1.888us          0.000us                1          1.888us          0.000us
empty                                4.704us          0.000us                1          4.704us          0.000us
cudnn_convolution                  214.463us          0.000us                1        214.463us          0.000us
threshold_                          77.183us          0.000us                1         77.183us          0.000us
max_pool2d_with_indices             98.399us          0.000us                1         98.399us          0.000us
conv2d                             359.742us          0.000us                1        359.742us          0.000us
convolution                        354.814us          0.000us                1        354.814us          0.000us
_convolution                       349.982us          0.000us                1        349.982us          0.000us
contiguous                           3.040us          0.000us                1          3.040us          0.000us
empty                               11.456us          0.000us                1         11.456us          0.000us
cudnn_convolution                  310.174us          0.000us                1        310.174us          0.000us
threshold_                         219.550us          0.000us                1        219.550us          0.000us
conv2d                             267.870us          0.000us                1        267.870us          0.000us
convolution                        262.527us          0.000us                1        262.527us          0.000us
_convolution                       247.807us          0.000us                1        247.807us          0.000us
contiguous                           3.104us          0.000us                1          3.104us          0.000us
empty                                7.872us          0.000us                1          7.872us          0.000us
cudnn_convolution                  218.623us          0.000us                1        218.623us          0.000us
threshold_                          77.792us          0.000us                1         77.792us          0.000us
max_pool2d_with_indices            138.784us          0.000us                1        138.784us          0.000us
conv2d                             337.054us          0.000us                1        337.054us          0.000us
convolution                        331.742us          0.000us                1        331.742us          0.000us
_convolution                       327.134us          0.000us                1        327.134us          0.000us
contiguous                           3.456us          0.000us                1          3.456us          0.000us
empty                               10.208us          0.000us                1         10.208us          0.000us
cudnn_convolution                  289.150us          0.000us                1        289.150us          0.000us
threshold_                          72.447us          0.000us                1         72.447us          0.000us
conv2d                             263.263us          0.000us                1        263.263us          0.000us
convolution                        258.527us          0.000us                1        258.527us          0.000us
_convolution                       255.519us          0.000us                1        255.519us          0.000us
contiguous                           2.592us          0.000us                1          2.592us          0.000us
empty                               10.368us          0.000us                1         10.368us          0.000us
cudnn_convolution                  222.015us          0.000us                1        222.015us          0.000us
threshold_                         126.688us          0.000us                1        126.688us          0.000us
max_pool2d_with_indices            117.376us          0.000us                1        117.376us          0.000us
view                                42.752us          0.000us                1         42.752us          0.000us
unsigned short                      31.904us          0.000us                1         31.904us          0.000us
addmm                              255.487us          0.000us                1        255.487us          0.000us
threshold_                          98.336us          0.000us                1         98.336us          0.000us
dropout                            151.392us          0.000us                1        151.392us          0.000us
_fused_dropout                     138.304us          0.000us                1        138.304us          0.000us
unsigned short                      28.800us          0.000us                1         28.800us          0.000us
addmm                              185.023us          0.000us                1        185.023us          0.000us
threshold_                          89.791us          0.000us                1         89.791us          0.000us
dropout                             67.168us          0.000us                1         67.168us          0.000us
_fused_dropout                      61.536us          0.000us                1         61.536us          0.000us
unsigned short                      13.568us          0.000us                1         13.568us          0.000us
addmm                               90.144us          0.000us                1         90.144us          0.000us
