---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                                CPU time        CUDA time            Calls        CPU total       CUDA total
---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
conv2d                             499.902us          0.000us                1        499.902us          0.000us
convolution                        483.454us          0.000us                1        483.454us          0.000us
_convolution                       476.830us          0.000us                1        476.830us          0.000us
contiguous                           6.752us          0.000us                1          6.752us          0.000us
empty                               17.568us          0.000us                1         17.568us          0.000us
cudnn_convolution                  411.294us          0.000us                1        411.294us          0.000us
threshold_                         122.847us          0.000us                1        122.847us          0.000us
max_pool2d_with_indices            125.887us          0.000us                1        125.887us          0.000us
conv2d                             273.310us          0.000us                1        273.310us          0.000us
convolution                        268.990us          0.000us                1        268.990us          0.000us
_convolution                       265.502us          0.000us                1        265.502us          0.000us
contiguous                           3.360us          0.000us                1          3.360us          0.000us
empty                                6.464us          0.000us                1          6.464us          0.000us
cudnn_convolution                  237.854us          0.000us                1        237.854us          0.000us
threshold_                          53.696us          0.000us                1         53.696us          0.000us
max_pool2d_with_indices             69.823us          0.000us                1         69.823us          0.000us
conv2d                             199.071us          0.000us                1        199.071us          0.000us
convolution                        195.391us          0.000us                1        195.391us          0.000us
_convolution                       193.311us          0.000us                1        193.311us          0.000us
contiguous                           3.040us          0.000us                1          3.040us          0.000us
empty                                6.848us          0.000us                1          6.848us          0.000us
cudnn_convolution                  168.031us          0.000us                1        168.031us          0.000us
threshold_                          61.599us          0.000us                1         61.599us          0.000us
conv2d                             192.383us          0.000us                1        192.383us          0.000us
convolution                        189.439us          0.000us                1        189.439us          0.000us
_convolution                       187.071us          0.000us                1        187.071us          0.000us
contiguous                           1.568us          0.000us                1          1.568us          0.000us
empty                                7.552us          0.000us                1          7.552us          0.000us
cudnn_convolution                  165.055us          0.000us                1        165.055us          0.000us
threshold_                          42.432us          0.000us                1         42.432us          0.000us
max_pool2d_with_indices             62.495us          0.000us                1         62.495us          0.000us
conv2d                             433.182us          0.000us                1        433.182us          0.000us
convolution                        429.118us          0.000us                1        429.118us          0.000us
_convolution                       328.574us          0.000us                1        328.574us          0.000us
contiguous                           2.624us          0.000us                1          2.624us          0.000us
empty                                9.376us          0.000us                1          9.376us          0.000us
cudnn_convolution                  291.775us          0.000us                1        291.775us          0.000us
threshold_                         102.656us          0.000us                1        102.656us          0.000us
conv2d                             335.294us          0.000us                1        335.294us          0.000us
convolution                        328.702us          0.000us                1        328.702us          0.000us
_convolution                       325.406us          0.000us                1        325.406us          0.000us
contiguous                           5.056us          0.000us                1          5.056us          0.000us
empty                               13.696us          0.000us                1         13.696us          0.000us
cudnn_convolution                  284.543us          0.000us                1        284.543us          0.000us
threshold_                          74.240us          0.000us                1         74.240us          0.000us
max_pool2d_with_indices            109.088us          0.000us                1        109.088us          0.000us
conv2d                             338.239us          0.000us                1        338.239us          0.000us
convolution                        333.023us          0.000us                1        333.023us          0.000us
_convolution                       329.759us          0.000us                1        329.759us          0.000us
contiguous                           1.952us          0.000us                1          1.952us          0.000us
empty                                7.200us          0.000us                1          7.200us          0.000us
cudnn_convolution                  300.159us          0.000us                1        300.159us          0.000us
threshold_                          93.312us          0.000us                1         93.312us          0.000us
conv2d                             284.351us          0.000us                1        284.351us          0.000us
convolution                        280.351us          0.000us                1        280.351us          0.000us
_convolution                       276.287us          0.000us                1        276.287us          0.000us
contiguous                           3.104us          0.000us                1          3.104us          0.000us
empty                               12.000us          0.000us                1         12.000us          0.000us
cudnn_convolution                  238.719us          0.000us                1        238.719us          0.000us
threshold_                          83.360us          0.000us                1         83.360us          0.000us
max_pool2d_with_indices             85.759us          0.000us                1         85.759us          0.000us
view                                40.448us          0.000us                1         40.448us          0.000us
unsigned short                      21.440us          0.000us                1         21.440us          0.000us
addmm                              176.159us          0.000us                1        176.159us          0.000us
threshold_                          51.008us          0.000us                1         51.008us          0.000us
dropout                            138.751us          0.000us                1        138.751us          0.000us
_fused_dropout                     127.936us          0.000us                1        127.936us          0.000us
unsigned short                      19.456us          0.000us                1         19.456us          0.000us
addmm                              113.119us          0.000us                1        113.119us          0.000us
threshold_                          96.704us          0.000us                1         96.704us          0.000us
dropout                             71.424us          0.000us                1         71.424us          0.000us
_fused_dropout                      66.496us          0.000us                1         66.496us          0.000us
unsigned short                      17.472us          0.000us                1         17.472us          0.000us
addmm                               96.607us          0.000us                1         96.607us          0.000us
