---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                                CPU time        CUDA time            Calls        CPU total       CUDA total
---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
conv2d                             460.604us      29296.415us                1        460.604us      29296.415us
convolution                        416.924us      29275.199us                1        416.924us      29275.199us
_convolution                       388.060us      29257.920us                1        388.060us      29257.920us
contiguous                          15.776us         15.616us                1         15.776us         15.616us
empty                               37.440us         24.320us                1         37.440us         24.320us
cudnn_convolution                  255.389us      29146.400us                1        255.389us      29146.400us
threshold_                          93.023us      14342.974us                1         93.023us      14342.974us
max_pool2d_with_indices            107.583us      16803.135us                1        107.583us      16803.135us
conv2d                             385.596us      45857.986us                1        385.596us      45857.986us
convolution                        350.684us      45856.804us                1        350.684us      45856.804us
_convolution                       322.494us      45855.614us                1        322.494us      45855.614us
contiguous                          13.920us          0.576us                1         13.920us          0.576us
empty                               18.656us          0.641us                1         18.656us          0.641us
cudnn_convolution                  221.726us      45851.524us                1        221.726us      45851.524us
threshold_                          64.319us       7186.722us                1         64.319us       7186.722us
max_pool2d_with_indices             78.687us       8501.114us                1         78.687us       8501.114us
conv2d                             354.461us      30730.400us                1        354.461us      30730.400us
convolution                        318.685us      30729.271us                1        318.685us      30729.271us
_convolution                       291.710us      30727.997us                1        291.710us      30727.997us
contiguous                          13.696us          0.641us                1         13.696us          0.641us
empty                               18.784us          0.641us                1         18.784us          0.641us
cudnn_convolution                  193.438us      30723.900us                1        193.438us      30723.900us
threshold_                          59.456us       3577.209us                1         59.456us       3577.209us
conv2d                             307.357us      49275.269us                1        307.357us      49275.269us
convolution                        279.453us      49274.170us                1        279.453us      49274.170us
_convolution                       254.014us      49272.888us                1        254.014us      49272.888us
contiguous                          12.288us          0.549us                1         12.288us          0.549us
empty                               17.312us          0.641us                1         17.312us          0.641us
cudnn_convolution                  162.271us      49269.012us                1        162.271us      49269.012us
threshold_                          68.159us       3591.354us                1         68.159us       3591.354us
max_pool2d_with_indices             77.087us       4293.427us                1         77.087us       4293.427us
conv2d                             322.845us      25966.141us                1        322.845us      25966.141us
convolution                        291.550us      25964.859us                1        291.550us      25964.859us
_convolution                       263.262us      25963.684us                1        263.262us      25963.684us
contiguous                          12.832us          0.641us                1         12.832us          0.641us
empty                               17.152us          0.580us                1         17.152us          0.580us
cudnn_convolution                  168.958us      25959.778us                1        168.958us      25959.778us
threshold_                          54.720us       1778.717us                1         54.720us       1778.717us
conv2d                             315.869us      44761.368us                1        315.869us      44761.368us
convolution                        288.477us      44760.086us                1        288.477us      44760.086us
_convolution                       263.070us      44758.865us                1        263.070us      44758.865us
contiguous                          12.512us          0.626us                1         12.512us          0.626us
empty                               16.287us          0.641us                1         16.287us          0.641us
cudnn_convolution                  174.015us      44754.944us                1        174.015us      44754.944us
threshold_                          52.287us       1786.469us                1         52.287us       1786.469us
max_pool2d_with_indices             70.527us       2232.483us                1         70.527us       2232.483us
conv2d                             326.269us      13776.062us                1        326.269us      13776.062us
convolution                        296.573us      13774.872us                1        296.573us      13774.872us
_convolution                       268.925us      13773.590us                1        268.925us      13773.590us
contiguous                          12.383us          0.641us                1         12.383us          0.641us
empty                               17.152us          0.641us                1         17.152us          0.641us
cudnn_convolution                  177.214us      13769.745us                1        177.214us      13769.745us
threshold_                          52.735us        430.084us                1         52.735us        430.084us
conv2d                             314.205us      13833.221us                1        314.205us      13833.221us
convolution                        287.230us      13831.940us                1        287.230us      13831.940us
_convolution                       261.822us      13830.780us                1        261.822us      13830.780us
contiguous                          13.216us          0.549us                1         13.216us          0.549us
empty                               16.544us          0.641us                1         16.544us          0.641us
cudnn_convolution                  170.334us      13826.782us                1        170.334us      13826.782us
threshold_                          51.488us        439.728us                1         51.488us        439.728us
max_pool2d_with_indices             65.919us        553.894us                1         65.919us        553.894us
view                                42.016us          0.549us                1         42.016us          0.549us
unsigned short                      30.752us          0.549us                1         30.752us          0.549us
addmm                              134.846us      16161.865us                1        134.846us      16161.865us
threshold_                          70.271us         18.921us                1         70.271us         18.921us
dropout                            180.670us         36.804us                1        180.670us         36.804us
_fused_dropout                     139.295us         35.675us                1        139.295us         35.675us
unsigned short                      31.424us          0.580us                1         31.424us          0.580us
addmm                              130.911us       2685.333us                1        130.911us       2685.333us
threshold_                          63.072us         18.402us                1         63.072us         18.402us
dropout                            104.991us         34.546us                1        104.991us         34.546us
_fused_dropout                      69.791us         33.447us                1         69.791us         33.447us
unsigned short                      27.871us          0.580us                1         27.871us          0.580us
addmm                               95.327us        706.482us                1         95.327us        706.482us
