---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                                CPU time        CUDA time            Calls        CPU total       CUDA total
---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
conv2d                             450.875us      29330.817us                1        450.875us      29330.817us
convolution                        409.757us      29308.320us                1        409.757us      29308.320us
_convolution                       379.773us      29290.944us                1        379.773us      29290.944us
contiguous                          16.832us         16.320us                1         16.832us         16.320us
empty                               22.815us         23.296us                1         22.815us         23.296us
cudnn_convolution                  262.174us      29192.384us                1        262.174us      29192.384us
threshold_                          97.535us      14429.762us                1         97.535us      14429.762us
max_pool2d_with_indices            104.991us      18812.160us                1        104.991us      18812.160us
conv2d                             391.549us      45981.125us                1        391.549us      45981.125us
convolution                        361.405us      45979.908us                1        361.405us      45979.908us
_convolution                       333.341us      45978.561us                1        333.341us      45978.561us
contiguous                          14.688us          0.546us                1         14.688us          0.546us
empty                               19.648us          0.641us                1         19.648us          0.641us
cudnn_convolution                  229.342us      45974.464us                1        229.342us      45974.464us
threshold_                          64.416us       7188.484us                1         64.416us       7188.484us
max_pool2d_with_indices             79.456us       8490.082us                1         79.456us       8490.082us
conv2d                             395.293us      30744.415us                1        395.293us      30744.415us
convolution                        365.853us      30743.195us                1        365.853us      30743.195us
_convolution                       338.685us      30741.989us                1        338.685us      30741.989us
contiguous                          13.056us          0.641us                1         13.056us          0.641us
empty                               18.944us          0.572us                1         18.944us          0.572us
cudnn_convolution                  242.494us      30737.823us                1        242.494us      30737.823us
threshold_                          57.504us       3593.857us                1         57.504us       3593.857us
conv2d                             314.237us      49314.011us                1        314.237us      49314.011us
convolution                        286.397us      49312.729us                1        286.397us      49312.729us
_convolution                       259.933us      49311.584us                1        259.933us      49311.584us
contiguous                          13.056us          0.534us                1         13.056us          0.534us
empty                               16.960us          0.580us                1         16.960us          0.580us
cudnn_convolution                  165.951us      49307.587us                1        165.951us      49307.587us
threshold_                          63.007us       3597.183us                1         63.007us       3597.183us
max_pool2d_with_indices             72.735us       4292.694us                1         72.735us       4292.694us
conv2d                             320.989us      25926.392us                1        320.989us      25926.392us
convolution                        290.238us      25925.278us                1        290.238us      25925.278us
_convolution                       262.142us      25924.103us                1        262.142us      25924.103us
contiguous                          12.864us          0.641us                1         12.864us          0.641us
empty                               18.208us          0.641us                1         18.208us          0.641us
cudnn_convolution                  167.710us      25920.166us                1        167.710us      25920.166us
threshold_                          55.360us       1783.936us                1         55.360us       1783.936us
conv2d                             339.645us      44744.629us                1        339.645us      44744.629us
convolution                        311.549us      44743.378us                1        311.549us      44743.378us
_convolution                       284.445us      44742.157us                1        284.445us      44742.157us
contiguous                          12.928us          0.641us                1         12.928us          0.641us
empty                               17.855us          0.641us                1         17.855us          0.641us
cudnn_convolution                  191.007us      44738.174us                1        191.007us      44738.174us
threshold_                          57.119us       1762.085us                1         57.119us       1762.085us
max_pool2d_with_indices             76.191us       2225.922us                1         76.191us       2225.922us
conv2d                             334.717us      13733.704us                1        334.717us      13733.704us
convolution                        304.478us      13732.483us                1        304.478us      13732.483us
_convolution                       275.966us      13731.354us                1        275.966us      13731.354us
contiguous                          12.832us          0.641us                1         12.832us          0.641us
empty                               17.312us          0.549us                1         17.312us          0.549us
cudnn_convolution                  181.566us      13727.356us                1        181.566us      13727.356us
threshold_                          54.080us        434.082us                1         54.080us        434.082us
conv2d                             311.517us      13805.176us                1        311.517us      13805.176us
convolution                        284.317us      13804.077us                1        284.317us      13804.077us
_convolution                       258.750us      13802.887us                1        258.750us      13802.887us
contiguous                          13.376us          0.641us                1         13.376us          0.641us
empty                               17.599us          0.610us                1         17.599us          0.610us
cudnn_convolution                  166.815us      13798.950us                1        166.815us      13798.950us
threshold_                          53.567us        443.542us                1         53.567us        443.542us
max_pool2d_with_indices             67.360us        557.983us                1         67.360us        557.983us
view                                39.872us          0.549us                1         39.872us          0.549us
unsigned short                      38.559us          0.641us                1         38.559us          0.641us
addmm                              141.951us      16244.171us                1        141.951us      16244.171us
threshold_                          67.456us         17.578us                1         67.456us         17.578us
dropout                            131.455us         37.537us                1        131.455us         37.537us
_fused_dropout                      96.255us         36.377us                1         96.255us         36.377us
unsigned short                      29.280us          0.641us                1         29.280us          0.641us
addmm                              192.126us       2671.997us                1        192.126us       2671.997us
threshold_                          62.687us         17.914us                1         62.687us         17.914us
dropout                            104.607us         34.088us                1        104.607us         34.088us
_fused_dropout                      71.231us         32.806us                1         71.231us         32.806us
unsigned short                      24.960us          0.641us                1         24.960us          0.641us
addmm                               92.991us        699.921us                1         92.991us        699.921us
