---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                                CPU time        CUDA time            Calls        CPU total       CUDA total
---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
conv2d                             491.868us      31663.681us                1        491.868us      31663.681us
convolution                        441.596us      31636.416us                1        441.596us      31636.416us
_convolution                       408.765us      31619.040us                1        408.765us      31619.040us
contiguous                          18.048us         18.080us                1         18.048us         18.080us
empty                               25.536us         26.144us                1         25.536us         26.144us
cudnn_convolution                  283.709us      31516.319us                1        283.709us      31516.319us
add_                               111.359us          6.721us                1        111.359us          6.721us
batch_norm                         348.925us      21704.319us                1        348.925us      21704.319us
contiguous                          15.712us          0.637us                1         15.712us          0.637us
contiguous                          12.416us          0.641us                1         12.416us          0.641us
contiguous                          12.576us          0.641us                1         12.576us          0.641us
contiguous                          12.480us          0.736us                1         12.480us          0.736us
contiguous                          12.576us          0.641us                1         12.576us          0.641us
cudnn_batch_norm                   167.198us      21696.640us                1        167.198us      21696.640us
threshold_                          78.175us      15186.493us                1         78.175us      15186.493us
max_pool2d_with_indices            101.728us      17404.572us                1        101.728us      17404.572us
conv2d                          132385.437us      96514.824us                1     132385.437us      96514.824us
convolution                     132352.542us      96513.542us                1     132352.542us      96513.542us
_convolution                    132323.710us      96511.841us                1     132323.710us      96511.841us
contiguous                          12.992us          0.641us                1         12.992us          0.641us
empty                               17.504us          0.572us                1         17.504us          0.572us
cudnn_convolution               132215.359us      96508.087us                1     132215.359us      96508.087us
add_                               146.559us          6.439us                1        146.559us          6.439us
batch_norm                         499.771us      10052.505us                1        499.771us      10052.505us
contiguous                          19.744us          0.641us                1         19.744us          0.641us
contiguous                          13.856us          0.610us                1         13.856us          0.610us
contiguous                          12.672us          0.641us                1         12.672us          0.641us
contiguous                          13.311us          0.595us                1         13.311us          0.595us
contiguous                          13.856us          0.641us                1         13.856us          0.641us
cudnn_batch_norm                   289.630us      10044.952us                1        289.630us      10044.952us
threshold_                          92.863us       7189.758us                1         92.863us       7189.758us
max_pool2d_with_indices            130.623us       8587.814us                1        130.623us       8587.814us
conv2d                           70300.317us      32259.842us                1      70300.317us      32259.842us
convolution                      70264.829us      32258.560us                1      70264.829us      32258.560us
_convolution                     70231.518us      32257.431us                1      70231.518us      32257.431us
contiguous                          16.192us          0.641us                1         16.192us          0.641us
empty                               19.359us          0.610us                1         19.359us          0.610us
cudnn_convolution                70107.455us      32253.769us                1      70107.455us      32253.769us
add_                               121.823us          5.753us                1        121.823us          5.753us
batch_norm                         379.325us       5261.276us                1        379.325us       5261.276us
contiguous                          17.568us          0.610us                1         17.568us          0.610us
contiguous                          12.800us          0.641us                1         12.800us          0.641us
contiguous                          12.639us          0.610us                1         12.639us          0.610us
contiguous                          12.512us          0.641us                1         12.512us          0.641us
contiguous                          12.704us          0.641us                1         12.704us          0.641us
cudnn_batch_norm                   195.742us       5253.769us                1        195.742us       5253.769us
threshold_                          88.895us       3747.040us                1         88.895us       3747.040us
conv2d                           84743.910us      92286.469us                1      84743.910us      92286.469us
convolution                      84710.822us      92285.187us                1      84710.822us      92285.187us
_convolution                     84681.415us      92283.905us                1      84681.415us      92283.905us
contiguous                          15.168us          0.610us                1         15.168us          0.610us
empty                               20.000us          0.641us                1         20.000us          0.641us
cudnn_convolution                84563.463us      92280.197us                1      84563.463us      92280.197us
add_                               143.966us          5.585us                1        143.966us          5.585us
batch_norm                         409.661us       5798.737us                1        409.661us       5798.737us
contiguous                          20.384us          0.610us                1         20.384us          0.610us
contiguous                          13.184us          0.641us                1         13.184us          0.641us
contiguous                          12.800us          0.610us                1         12.800us          0.610us
contiguous                          12.896us          0.763us                1         12.896us          0.763us
contiguous                          13.632us          0.641us                1         13.632us          0.641us
cudnn_batch_norm                   212.094us       5791.016us                1        212.094us       5791.016us
threshold_                          89.407us       3573.425us                1         89.407us       3573.425us
max_pool2d_with_indices            110.912us       4278.870us                1        110.912us       4278.870us
conv2d                             422.748us      26228.485us                1        422.748us      26228.485us
convolution                        389.244us      26227.325us                1        389.244us      26227.325us
_convolution                       359.517us      26226.074us                1        359.517us      26226.074us
contiguous                          15.008us          0.488us                1         15.008us          0.488us
empty                               20.032us          0.641us                1         20.032us          0.641us
cudnn_convolution                  251.646us      26222.290us                1        251.646us      26222.290us
add_                                78.272us          4.913us                1         78.272us          4.913us
batch_norm                         320.957us       2351.959us                1        320.957us       2351.959us
contiguous                          15.616us          0.641us                1         15.616us          0.641us
contiguous                          13.023us          0.641us                1         13.023us          0.641us
contiguous                          12.992us          0.641us                1         12.992us          0.641us
contiguous                          14.048us          0.610us                1         14.048us          0.610us
contiguous                          13.024us          0.641us                1         13.024us          0.641us
cudnn_batch_norm                   143.198us       2344.330us                1        143.198us       2344.330us
threshold_                          64.223us       1781.586us                1         64.223us       1781.586us
conv2d                             397.084us      44700.287us                1        397.084us      44700.287us
convolution                        324.701us      44699.066us                1        324.701us      44699.066us
_convolution                       297.181us      44697.937us                1        297.181us      44697.937us
contiguous                          13.952us          0.641us                1         13.952us          0.641us
empty                               17.824us          0.641us                1         17.824us          0.641us
cudnn_convolution                  197.054us      44693.909us                1        197.054us      44693.909us
add_                                68.479us          4.822us                1         68.479us          4.822us
batch_norm                         300.766us       2324.799us                1        300.766us       2324.799us
contiguous                          16.320us          0.488us                1         16.320us          0.488us
contiguous                          13.792us          0.641us                1         13.792us          0.641us
contiguous                          12.768us          0.519us                1         12.768us          0.519us
contiguous                          13.471us          0.641us                1         13.471us          0.641us
contiguous                          12.672us          0.488us                1         12.672us          0.488us
cudnn_batch_norm                   124.927us       2317.444us                1        124.927us       2317.444us
threshold_                          58.175us       1773.865us                1         58.175us       1773.865us
max_pool2d_with_indices             78.495us       2203.064us                1         78.495us       2203.064us
conv2d                             350.046us      13736.816us                1        350.046us      13736.816us
convolution                        320.638us      13735.535us                1        320.638us      13735.535us
_convolution                       292.286us      13734.406us                1        292.286us      13734.406us
contiguous                          12.928us          0.641us                1         12.928us          0.641us
empty                               16.448us          0.610us                1         16.448us          0.610us
cudnn_convolution                  193.375us      13730.743us                1        193.375us      13730.743us
add_                                62.047us          4.822us                1         62.047us          4.822us
batch_norm                         293.917us        788.635us                1        293.917us        788.635us
contiguous                          15.615us          0.488us                1         15.615us          0.488us
contiguous                          13.248us          0.641us                1         13.248us          0.641us
contiguous                          13.568us          0.488us                1         13.568us          0.488us
contiguous                          12.352us          0.641us                1         12.352us          0.641us
contiguous                          13.920us          0.519us                1         13.920us          0.519us
cudnn_batch_norm                   120.191us        781.281us                1        120.191us        781.281us
threshold_                          62.975us        429.443us                1         62.975us        429.443us
conv2d                             333.469us      13685.120us                1        333.469us      13685.120us
convolution                        304.061us      13683.838us                1        304.061us      13683.838us
_convolution                       276.285us      13682.556us                1        276.285us      13682.556us
contiguous                          13.279us          0.488us                1         13.279us          0.488us
empty                               18.112us          0.641us                1         18.112us          0.641us
cudnn_convolution                  180.287us      13678.894us                1        180.287us      13678.894us
add_                                62.815us          5.280us                1         62.815us          5.280us
batch_norm                         288.894us        786.255us                1        288.894us        786.255us
contiguous                          16.032us          0.610us                1         16.032us          0.610us
contiguous                          14.304us          0.610us                1         14.304us          0.610us
contiguous                          12.832us          0.641us                1         12.832us          0.641us
contiguous                          12.768us          0.610us                1         12.768us          0.610us
contiguous                          12.896us          0.641us                1         12.896us          0.641us
cudnn_batch_norm                   114.079us        779.022us                1        114.079us        779.022us
threshold_                          60.960us        440.308us                1         60.960us        440.308us
max_pool2d_with_indices             89.023us        560.638us                1         89.023us        560.638us
view                                33.728us          0.641us                1         33.728us          0.641us
unsigned short                      35.648us          0.641us                1         35.648us          0.641us
addmm                              158.686us      16130.707us                1        158.686us      16130.707us
threshold_                          65.311us         20.142us                1         65.311us         20.142us
