---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                                CPU time        CUDA time            Calls        CPU total       CUDA total
---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
conv2d                             460.156us      29539.040us                1        460.156us      29539.040us
convolution                        414.941us      29514.719us                1        414.941us      29514.719us
_convolution                       383.229us      29497.280us                1        383.229us      29497.280us
contiguous                          17.760us         17.440us                1         17.760us         17.440us
empty                               22.048us         21.920us                1         22.048us         21.920us
cudnn_convolution                  264.478us      29400.609us                1        264.478us      29400.609us
add_                               111.519us          6.081us                1        111.519us          6.081us
batch_norm                         367.997us      18743.999us                1        367.997us      18743.999us
contiguous                          17.664us          0.641us                1         17.664us          0.641us
contiguous                          13.120us          0.513us                1         13.120us          0.513us
contiguous                          13.344us          0.641us                1         13.344us          0.641us
contiguous                          13.056us          0.641us                1         13.056us          0.641us
contiguous                          12.928us          0.511us                1         12.928us          0.511us
cudnn_batch_norm                   179.294us      18735.998us                1        179.294us      18735.998us
threshold_                          87.231us      14615.520us                1         87.231us      14615.520us
max_pool2d_with_indices            109.695us      16902.081us                1        109.695us      16902.081us
conv2d                             397.149us      46056.351us                1        397.149us      46056.351us
convolution                        366.461us      46055.328us                1        366.461us      46055.328us
_convolution                       338.109us      46054.077us                1        338.109us      46054.077us
contiguous                          14.304us          0.481us                1         14.304us          0.481us
empty                               19.647us          0.641us                1         19.647us          0.641us
cudnn_convolution                  232.926us      46049.919us                1        232.926us      46049.919us
add_                                83.295us          5.409us                1         83.295us          5.409us
batch_norm                         311.741us       9408.310us                1        311.741us       9408.310us
contiguous                          16.192us          0.633us                1         16.192us          0.633us
contiguous                          13.791us          0.511us                1         13.791us          0.511us
contiguous                          12.736us          0.641us                1         12.736us          0.641us
contiguous                          12.992us          0.641us                1         12.992us          0.641us
contiguous                          13.760us          0.641us                1         13.760us          0.641us
cudnn_batch_norm                   131.839us       9400.642us                1        131.839us       9400.642us
threshold_                          67.935us       7268.967us                1         67.935us       7268.967us
max_pool2d_with_indices             81.279us       8476.013us                1         81.279us       8476.013us
conv2d                             347.837us      30663.208us                1        347.837us      30663.208us
convolution                        319.165us      30661.957us                1        319.165us      30661.957us
_convolution                       291.902us      30660.797us                1        291.902us      30660.797us
contiguous                          13.760us          0.641us                1         13.760us          0.641us
empty                               16.032us          0.504us                1         16.032us          0.504us
cudnn_convolution                  197.278us      30656.769us                1        197.278us      30656.769us
add_                                63.520us          5.280us                1         63.520us          5.280us
batch_norm                         287.838us       4685.760us                1        287.838us       4685.760us
contiguous                          15.520us          0.641us                1         15.520us          0.641us
contiguous                          12.767us          0.641us                1         12.767us          0.641us
contiguous                          12.000us          0.641us                1         12.000us          0.641us
contiguous                          11.840us          0.610us                1         11.840us          0.610us
contiguous                          13.696us          0.641us                1         13.696us          0.641us
cudnn_batch_norm                   117.663us       4677.917us                1        117.663us       4677.917us
threshold_                          64.032us       3626.434us                1         64.032us       3626.434us
conv2d                             335.837us      49251.083us                1        335.837us      49251.083us
convolution                        307.709us      49249.924us                1        307.709us      49249.924us
_convolution                       280.701us      49248.795us                1        280.701us      49248.795us
contiguous                          13.152us          0.641us                1         13.152us          0.641us
empty                               16.832us          0.504us                1         16.832us          0.504us
cudnn_convolution                  188.383us      49244.797us                1        188.383us      49244.797us
add_                                62.239us          5.280us                1         62.239us          5.280us
batch_norm                         283.838us       4605.804us                1        283.838us       4605.804us
contiguous                          15.840us          0.519us                1         15.840us          0.519us
contiguous                          12.768us          0.641us                1         12.768us          0.641us
contiguous                          12.288us          0.641us                1         12.288us          0.641us
contiguous                          12.480us          0.641us                1         12.480us          0.641us
contiguous                          13.472us          0.504us                1         13.472us          0.504us
cudnn_batch_norm                   115.071us       4598.083us                1        115.071us       4598.083us
threshold_                          59.647us       3618.591us                1         59.647us       3618.591us
max_pool2d_with_indices             76.511us       4285.278us                1         76.511us       4285.278us
conv2d                             338.653us      27872.803us                1        338.653us      27872.803us
convolution                        309.822us      27871.552us                1        309.822us      27871.552us
_convolution                       282.718us      27870.514us                1        282.718us      27870.514us
contiguous                          13.600us          0.641us                1         13.600us          0.641us
empty                               15.936us          0.504us                1         15.936us          0.504us
cudnn_convolution                  189.342us      27866.562us                1        189.342us      27866.562us
add_                                62.496us          5.920us                1         62.496us          5.920us
batch_norm                         285.022us       2345.917us                1        285.022us       2345.917us
contiguous                          15.104us          0.641us                1         15.104us          0.641us
contiguous                          12.479us          0.519us                1         12.479us          0.519us
contiguous                          13.440us          0.641us                1         13.440us          0.641us
contiguous                          13.440us          0.641us                1         13.440us          0.641us
contiguous                          12.576us          0.641us                1         12.576us          0.641us
cudnn_batch_norm                   115.999us       2338.074us                1        115.999us       2338.074us
threshold_                          57.952us       1804.840us                1         57.952us       1804.840us
conv2d                             390.845us      44692.352us                1        390.845us      44692.352us
convolution                        363.325us      44691.193us                1        363.325us      44691.193us
_convolution                       335.997us      44690.063us                1        335.997us      44690.063us
contiguous                          60.127us          0.610us                1         60.127us          0.610us
empty                               17.216us          0.641us                1         17.216us          0.641us
cudnn_convolution                  195.230us      44686.096us                1        195.230us      44686.096us
add_                                63.680us          4.944us                1         63.680us          4.944us
batch_norm                         280.190us       2328.003us                1        280.190us       2328.003us
contiguous                          15.328us          0.641us                1         15.328us          0.641us
contiguous                          13.440us          0.641us                1         13.440us          0.641us
contiguous                          12.447us          0.610us                1         12.447us          0.610us
contiguous                          12.832us          0.641us                1         12.832us          0.641us
contiguous                          12.640us          0.610us                1         12.640us          0.610us
cudnn_batch_norm                   111.295us       2320.343us                1        111.295us       2320.343us
threshold_                          58.880us       1790.253us                1         58.880us       1790.253us
max_pool2d_with_indices             73.951us       2152.924us                1         73.951us       2152.924us
conv2d                             329.630us      13713.440us                1        329.630us      13713.440us
convolution                        300.958us      13712.158us                1        300.958us      13712.158us
_convolution                       274.078us      13710.999us                1        274.078us      13710.999us
contiguous                          12.864us          0.488us                1         12.864us          0.488us
empty                               16.256us          0.610us                1         16.256us          0.610us
cudnn_convolution                  182.558us      13707.214us                1        182.558us      13707.214us
add_                                57.472us          5.127us                1         57.472us          5.127us
batch_norm                         282.750us        779.694us                1        282.750us        779.694us
contiguous                          15.808us          0.519us                1         15.808us          0.519us
contiguous                          12.671us          0.641us                1         12.671us          0.641us
contiguous                          12.032us          0.519us                1         12.032us          0.519us
contiguous                          13.056us          0.641us                1         13.056us          0.641us
contiguous                          12.416us          0.641us                1         12.416us          0.641us
cudnn_batch_norm                   112.895us        772.491us                1        112.895us        772.491us
threshold_                          57.696us        432.159us                1         57.696us        432.159us
conv2d                             334.045us      13722.870us                1        334.045us      13722.870us
convolution                        305.854us      13721.649us                1        305.854us      13721.649us
_convolution                       280.414us      13720.490us                1        280.414us      13720.490us
contiguous                          13.344us          0.641us                1         13.344us          0.641us
empty                               16.160us          0.641us                1         16.160us          0.641us
cudnn_convolution                  187.263us      13716.461us                1        187.263us      13716.461us
add_                                59.007us          5.463us                1         59.007us          5.463us
batch_norm                         272.222us        787.537us                1        272.222us        787.537us
contiguous                          15.679us          0.641us                1         15.679us          0.641us
contiguous                          13.216us          0.519us                1         13.216us          0.519us
contiguous                          12.608us          0.641us                1         12.608us          0.641us
contiguous                          12.608us          0.610us                1         12.608us          0.610us
contiguous                          12.512us          0.641us                1         12.512us          0.641us
cudnn_batch_norm                   107.487us        780.151us                1        107.487us        780.151us
threshold_                          55.936us        429.596us                1         55.936us        429.596us
max_pool2d_with_indices             69.408us        550.049us                1         69.408us        550.049us
view                                33.280us          0.641us                1         33.280us          0.641us
unsigned short                      31.104us          0.519us                1         31.104us          0.519us
addmm                              162.014us      16010.376us                1        162.014us      16010.376us
threshold_                          60.927us         19.836us                1         60.927us         19.836us
dropout                            124.511us         36.804us                1        124.511us         36.804us
