---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                                CPU time        CUDA time            Calls        CPU total       CUDA total
---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
conv2d                             481.432us      29429.856us                1        481.432us      29429.856us
convolution                        420.889us      29406.080us                1        420.889us      29406.080us
_convolution                       387.226us      29387.679us                1        387.226us      29387.679us
contiguous                          16.800us         16.800us                1         16.800us         16.800us
empty                               22.656us         22.976us                1         22.656us         22.976us
cudnn_convolution                  265.147us      29288.319us                1        265.147us      29288.319us
add_                               104.799us          6.720us                1        104.799us          6.720us
batch_norm                         367.898us      18722.881us                1        367.898us      18722.881us
contiguous                          17.503us          0.576us                1         17.503us          0.576us
contiguous                          13.312us          0.639us                1         13.312us          0.639us
contiguous                          13.024us          0.576us                1         13.024us          0.576us
contiguous                          12.608us          0.546us                1         12.608us          0.546us
contiguous                          13.472us          0.576us                1         13.472us          0.576us
cudnn_batch_norm                   178.652us      18715.103us                1        178.652us      18715.103us
threshold_                          79.838us      14530.781us                1         79.838us      14530.781us
max_pool2d_with_indices            112.670us      16794.724us                1        112.670us      16794.724us
conv2d                             387.961us      45590.240us                1        387.961us      45590.240us
convolution                        357.434us      45589.020us                1        357.434us      45589.020us
_convolution                       327.675us      45587.746us                1        327.675us      45587.746us
contiguous                          14.656us          0.641us                1         14.656us          0.641us
empty                               18.463us          0.641us                1         18.463us          0.641us
cudnn_convolution                  224.060us      45583.427us                1        224.060us      45583.427us
add_                               165.213us          5.119us                1        165.213us          5.119us
batch_norm                         314.491us       9089.607us                1        314.491us       9089.607us
contiguous                          16.607us          0.641us                1         16.607us          0.641us
contiguous                          13.440us          0.641us                1         13.440us          0.641us
contiguous                          13.056us          0.572us                1         13.056us          0.572us
contiguous                          12.960us          0.641us                1         12.960us          0.641us
contiguous                          12.704us          0.580us                1         12.704us          0.580us
cudnn_batch_norm                   134.014us       9081.917us                1        134.014us       9081.917us
threshold_                          73.790us       7218.399us                1         73.790us       7218.399us
max_pool2d_with_indices             83.102us       8482.727us                1         83.102us       8482.727us
conv2d                             349.242us      30514.877us                1        349.242us      30514.877us
convolution                        319.226us      30513.748us                1        319.226us      30513.748us
_convolution                       289.948us      30512.589us                1        289.948us      30512.589us
contiguous                          14.176us          0.641us                1         14.176us          0.641us
empty                               17.375us          0.580us                1         17.375us          0.580us
cudnn_convolution                  190.493us      30508.469us                1        190.493us      30508.469us
add_                                68.223us          5.920us                1         68.223us          5.920us
batch_norm                         308.699us       4550.400us                1        308.699us       4550.400us
contiguous                          16.928us          0.641us                1         16.928us          0.641us
contiguous                          13.408us          0.641us                1         13.408us          0.641us
contiguous                          12.576us          0.565us                1         12.576us          0.565us
contiguous                          12.224us          0.641us                1         12.224us          0.641us
contiguous                          13.567us          0.580us                1         13.567us          0.580us
cudnn_batch_norm                   132.222us       4542.709us                1        132.222us       4542.709us
threshold_                          60.383us       3606.888us                1         60.383us       3606.888us
conv2d                             330.522us      49268.951us                1        330.522us      49268.951us
convolution                        302.363us      49267.731us                1        302.363us      49267.731us
_convolution                       275.388us      49266.663us                1        275.388us      49266.663us
contiguous                          13.280us          0.641us                1         13.280us          0.641us
empty                               18.720us          0.549us                1         18.720us          0.549us
cudnn_convolution                  178.397us      49262.497us                1        178.397us      49262.497us
add_                                62.271us          5.188us                1         62.271us          5.188us
batch_norm                         300.026us       4471.893us                1        300.026us       4471.893us
contiguous                          15.584us          0.534us                1         15.584us          0.534us
contiguous                          13.055us          0.580us                1         13.055us          0.580us
contiguous                          12.672us          0.641us                1         12.672us          0.641us
contiguous                          12.160us          0.748us                1         12.160us          0.748us
contiguous                          12.672us          0.641us                1         12.672us          0.641us
cudnn_batch_norm                   127.966us       4464.066us                1        127.966us       4464.066us
threshold_                          69.567us       3587.372us                1         69.567us       3587.372us
max_pool2d_with_indices             89.503us       4243.362us                1         89.503us       4243.362us
conv2d                             347.290us      26872.162us                1        347.290us      26872.162us
convolution                        317.243us      26870.972us                1        317.243us      26870.972us
_convolution                       289.659us      26869.751us                1        289.659us      26869.751us
contiguous                          14.176us          0.641us                1         14.176us          0.641us
empty                               16.672us          0.702us                1         16.672us          0.702us
cudnn_convolution                  192.476us      26865.341us                1        192.476us      26865.341us
add_                                81.439us          6.012us                1         81.439us          6.012us
batch_norm                         347.482us       2560.333us                1        347.482us       2560.333us
contiguous                          15.168us          0.580us                1         15.168us          0.580us
contiguous                          13.503us          0.549us                1         13.503us          0.549us
contiguous                          12.480us          0.641us                1         12.480us          0.641us
contiguous                          12.672us          0.549us                1         12.672us          0.549us
contiguous                          12.256us          0.641us                1         12.256us          0.641us
cudnn_batch_norm                   173.437us       2552.307us                1        173.437us       2552.307us
threshold_                          60.991us       1791.840us                1         60.991us       1791.840us
conv2d                             326.842us      44620.148us                1        326.842us      44620.148us
convolution                        298.651us      44618.988us                1        298.651us      44618.988us
_convolution                       271.483us      44617.767us                1        271.483us      44617.767us
contiguous                          13.632us          0.549us                1         13.632us          0.549us
empty                               17.728us          0.641us                1         17.728us          0.641us
cudnn_convolution                  175.709us      44613.831us                1        175.709us      44613.831us
add_                                82.814us          5.371us                1         82.814us          5.371us
batch_norm                         291.963us       2317.902us                1        291.963us       2317.902us
contiguous                          15.264us          0.580us                1         15.264us          0.580us
contiguous                          13.312us          0.641us                1         13.312us          0.641us
contiguous                          12.735us          0.580us                1         12.735us          0.580us
contiguous                          12.192us          0.641us                1         12.192us          0.641us
contiguous                          12.640us          0.580us                1         12.640us          0.580us
cudnn_batch_norm                   120.542us       2310.242us                1        120.542us       2310.242us
threshold_                          59.935us       1749.390us                1         59.935us       1749.390us
max_pool2d_with_indices             76.447us       2159.149us                1         76.447us       2159.149us
conv2d                             528.919us      13662.872us                1        528.919us      13662.872us
convolution                        499.096us      13661.591us                1        499.096us      13661.591us
_convolution                       471.448us      13660.431us                1        471.448us      13660.431us
contiguous                          13.344us          0.549us                1         13.344us          0.549us
empty                               16.928us          0.641us                1         16.928us          0.641us
cudnn_convolution                  220.413us      13656.525us                1        220.413us      13656.525us
add_                                68.799us          4.822us                1         68.799us          4.822us
batch_norm                         294.875us        787.903us                1        294.875us        787.903us
contiguous                          15.328us          0.549us                1         15.328us          0.549us
contiguous                          13.472us          0.580us                1         13.472us          0.580us
contiguous                          12.544us          0.641us                1         12.544us          0.641us
contiguous                          11.840us          0.641us                1         11.840us          0.641us
contiguous                          12.671us          0.641us                1         12.671us          0.641us
cudnn_batch_norm                   125.662us        780.548us                1        125.662us        780.548us
threshold_                          60.607us        437.775us                1         60.607us        437.775us
conv2d                             344.922us      13681.702us                1        344.922us      13681.702us
convolution                        315.899us      13680.542us                1        315.899us      13680.542us
_convolution                       288.507us      13679.260us                1        288.507us      13679.260us
contiguous                          13.184us          0.641us                1         13.184us          0.641us
empty                               16.799us          0.519us                1         16.799us          0.519us
cudnn_convolution                  194.365us      13675.476us                1        194.365us      13675.476us
add_                                62.559us          4.944us                1         62.559us          4.944us
batch_norm                         302.075us        785.706us                1        302.075us        785.706us
contiguous                          14.912us          0.580us                1         14.912us          0.580us
contiguous                          14.528us          0.549us                1         14.528us          0.549us
contiguous                          12.608us          0.580us                1         12.608us          0.580us
contiguous                          13.504us          0.641us                1         13.504us          0.641us
contiguous                          12.928us          0.641us                1         12.928us          0.641us
cudnn_batch_norm                   126.845us        778.412us                1        126.845us        778.412us
threshold_                          60.223us        426.727us                1         60.223us        426.727us
max_pool2d_with_indices             80.031us        550.171us                1         80.031us        550.171us
view                                34.911us          0.580us                1         34.911us          0.580us
unsigned short                      70.367us          0.641us                1         70.367us          0.641us
addmm                              151.293us      15943.359us                1        151.293us      15943.359us
threshold_                          66.815us         19.684us                1         66.815us         19.684us
dropout                            155.390us         36.407us                1        155.390us         36.407us
