---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                                CPU time        CUDA time            Calls        CPU total       CUDA total
---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
conv2d                             463.096us      29256.897us                1        463.096us      29256.897us
convolution                        416.953us      29233.921us                1        416.953us      29233.921us
_convolution                       386.425us      29216.544us                1        386.425us      29216.544us
contiguous                          18.655us         18.016us                1         18.655us         18.016us
empty                               22.015us         22.240us                1         22.015us         22.240us
cudnn_convolution                  264.220us      29116.640us                1        264.220us      29116.640us
add_                               106.654us          6.304us                1        106.654us          6.304us
batch_norm                         366.650us      18716.318us                1        366.650us      18716.318us
contiguous                          17.600us          0.576us                1         17.600us          0.576us
contiguous                          13.600us          0.641us                1         13.600us          0.641us
contiguous                          13.664us          0.576us                1         13.664us          0.576us
contiguous                          12.480us          0.639us                1         12.480us          0.639us
contiguous                          12.415us          0.639us                1         12.415us          0.639us
cudnn_batch_norm                   179.581us      18708.546us                1        179.581us      18708.546us
threshold_                          80.543us      14294.720us                1         80.543us      14294.720us
max_pool2d_with_indices            111.966us      16806.179us                1        111.966us      16806.179us
conv2d                             393.305us      45585.442us                1        393.305us      45585.442us
convolution                        362.490us      45584.320us                1        362.490us      45584.320us
_convolution                       333.370us      45583.046us                1        333.370us      45583.046us
contiguous                          14.208us          0.641us                1         14.208us          0.641us
empty                               17.535us          0.542us                1         17.535us          0.542us
cudnn_convolution                  231.516us      45578.880us                1        231.516us      45578.880us
add_                                86.654us          5.821us                1         86.654us          5.821us
batch_norm                         298.586us       9120.323us                1        298.586us       9120.323us
contiguous                          16.128us          0.641us                1         16.128us          0.641us
contiguous                          12.959us          0.572us                1         12.959us          0.572us
contiguous                          12.320us          0.641us                1         12.320us          0.641us
contiguous                          12.256us          0.641us                1         12.256us          0.641us
contiguous                          11.616us          0.542us                1         11.616us          0.542us
cudnn_batch_norm                   128.702us       9112.648us                1        128.702us       9112.648us
threshold_                          62.847us       7100.220us                1         62.847us       7100.220us
max_pool2d_with_indices             79.071us       8453.506us                1         79.071us       8453.506us
conv2d                             341.658us      30485.443us                1        341.658us      30485.443us
convolution                        311.386us      30484.161us                1        311.386us      30484.161us
_convolution                       284.444us      30482.941us                1        284.444us      30482.941us
contiguous                          14.432us          0.549us                1         14.432us          0.549us
empty                               17.439us          0.641us                1         17.439us          0.641us
cudnn_convolution                  187.421us      30478.790us                1        187.421us      30478.790us
add_                                68.607us          4.959us                1         68.607us          4.959us
batch_norm                         286.139us       4538.498us                1        286.139us       4538.498us
contiguous                          15.551us          0.641us                1         15.551us          0.641us
contiguous                          12.704us          0.641us                1         12.704us          0.641us
contiguous                          12.960us          0.580us                1         12.960us          0.580us
contiguous                          13.184us          0.641us                1         13.184us          0.641us
contiguous                          12.160us          0.641us                1         12.160us          0.641us
cudnn_batch_norm                   115.678us       4530.716us                1        115.678us       4530.716us
threshold_                          57.983us       3539.749us                1         57.983us       3539.749us
conv2d                             336.379us      49295.349us                1        336.379us      49295.349us
convolution                        308.987us      49294.083us                1        308.987us      49294.083us
_convolution                       282.907us      49292.862us                1        282.907us      49292.862us
contiguous                          13.535us          0.549us                1         13.535us          0.549us
empty                               18.208us          0.641us                1         18.208us          0.641us
cudnn_convolution                  186.397us      49288.712us                1        186.397us      49288.712us
add_                                62.847us          5.188us                1         62.847us          5.188us
batch_norm                         282.907us       4505.676us                1        282.907us       4505.676us
contiguous                          16.511us          0.549us                1         16.511us          0.549us
contiguous                          13.280us          0.580us                1         13.280us          0.580us
contiguous                          12.927us          0.534us                1         12.927us          0.534us
contiguous                          12.768us          0.580us                1         12.768us          0.580us
contiguous                          12.992us          0.549us                1         12.992us          0.549us
cudnn_batch_norm                   111.230us       4497.910us                1        111.230us       4497.910us
threshold_                          55.743us       3534.149us                1         55.743us       3534.149us
max_pool2d_with_indices             75.135us       4248.428us                1         75.135us       4248.428us
conv2d                             397.305us      25986.343us                1        397.305us      25986.343us
convolution                        367.833us      25985.123us                1        367.833us      25985.123us
_convolution                       340.730us      25983.841us                1        340.730us      25983.841us
contiguous                          14.048us          0.549us                1         14.048us          0.549us
empty                               16.575us          0.580us                1         16.575us          0.580us
cudnn_convolution                  245.244us      25979.980us                1        245.244us      25979.980us
add_                                64.639us          4.974us                1         64.639us          4.974us
batch_norm                         292.603us       2316.010us                1        292.603us       2316.010us
contiguous                          15.456us          0.549us                1         15.456us          0.549us
contiguous                          12.896us          0.580us                1         12.896us          0.580us
contiguous                          12.864us          0.549us                1         12.864us          0.549us
contiguous                          12.511us          0.641us                1         12.511us          0.641us
contiguous                          12.320us          0.580us                1         12.320us          0.580us
cudnn_batch_norm                   122.494us       2308.319us                1        122.494us       2308.319us
threshold_                          56.223us       1760.468us                1         56.223us       1760.468us
conv2d                             338.907us      44700.409us                1        338.907us      44700.409us
convolution                        311.931us      44699.188us                1        311.931us      44699.188us
_convolution                       283.995us      44697.906us                1        283.995us      44697.906us
contiguous                          14.015us          0.641us                1         14.015us          0.641us
empty                               16.384us          0.549us                1         16.384us          0.549us
cudnn_convolution                  192.220us      44693.909us                1        192.220us      44693.909us
add_                                62.431us          4.883us                1         62.431us          4.883us
batch_norm                         279.067us       2328.339us                1        279.067us       2328.339us
contiguous                          14.783us          0.641us                1         14.783us          0.641us
contiguous                          12.544us          0.641us                1         12.544us          0.641us
contiguous                          12.319us          0.641us                1         12.319us          0.641us
contiguous                          12.128us          0.641us                1         12.128us          0.641us
contiguous                          12.288us          0.641us                1         12.288us          0.641us
cudnn_batch_norm                   111.391us       2320.557us                1        111.391us       2320.557us
threshold_                          56.479us       1753.998us                1         56.479us       1753.998us
max_pool2d_with_indices             76.094us       2172.394us                1         76.094us       2172.394us
conv2d                             340.890us      13673.279us                1        340.890us      13673.279us
convolution                        310.619us      13671.997us                1        310.619us      13671.997us
_convolution                       283.707us      13670.868us                1        283.707us      13670.868us
contiguous                          14.912us          0.641us                1         14.912us          0.641us
empty                               16.032us          0.580us                1         16.032us          0.580us
cudnn_convolution                  189.725us      13667.053us                1        189.725us      13667.053us
add_                                64.959us          4.883us                1         64.959us          4.883us
batch_norm                         278.907us        786.835us                1        278.907us        786.835us
contiguous                          15.040us          0.641us                1         15.040us          0.641us
contiguous                          12.544us          0.641us                1         12.544us          0.641us
contiguous                          12.256us          0.641us                1         12.256us          0.641us
contiguous                          12.000us          0.641us                1         12.000us          0.641us
contiguous                          12.735us          0.641us                1         12.735us          0.641us
cudnn_batch_norm                   114.110us        779.419us                1        114.110us        779.419us
threshold_                          57.311us        433.014us                1         57.311us        433.014us
conv2d                             331.866us      13724.640us                1        331.866us      13724.640us
convolution                        303.323us      13723.358us                1        303.323us      13723.358us
_convolution                       275.963us      13722.229us                1        275.963us      13722.229us
contiguous                          13.056us          0.580us                1         13.056us          0.580us
empty                               17.024us          0.641us                1         17.024us          0.641us
cudnn_convolution                  182.045us      13718.262us                1        182.045us      13718.262us
add_                                59.391us          5.219us                1         59.391us          5.219us
batch_norm                         279.803us        787.354us                1        279.803us        787.354us
contiguous                          15.424us          0.580us                1         15.424us          0.580us
contiguous                          13.024us          0.641us                1         13.024us          0.641us
contiguous                          13.183us          0.580us                1         13.183us          0.580us
contiguous                          12.320us          0.641us                1         12.320us          0.641us
contiguous                          12.672us          0.580us                1         12.672us          0.580us
cudnn_batch_norm                   108.702us        780.029us                1        108.702us        780.029us
threshold_                          55.551us        438.232us                1         55.551us        438.232us
max_pool2d_with_indices            116.158us        539.825us                1        116.158us        539.825us
view                                33.695us          0.610us                1         33.695us          0.610us
unsigned short                      32.864us          0.732us                1         32.864us          0.732us
addmm                              166.493us      15916.229us                1        166.493us      15916.229us
threshold_                          68.735us         19.745us                1         68.735us         19.745us
dropout                            133.566us         35.950us                1        133.566us         35.950us
