---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                                CPU time        CUDA time            Calls        CPU total       CUDA total
---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
conv2d                        17540603.199us          0.000us                1   17540603.199us          0.000us
convolution                   17540597.855us          0.000us                1   17540597.855us          0.000us
_convolution                  17540593.375us          0.000us                1   17540593.375us          0.000us
contiguous                           2.560us          0.000us                1          2.560us          0.000us
empty                                8.416us          0.000us                1          8.416us          0.000us
_convolution_nogroup          17540559.807us          0.000us                1   17540559.807us          0.000us
thnn_conv2d                   17540552.511us          0.000us                1   17540552.511us          0.000us
thnn_conv2d_forward           17540547.295us          0.000us                1   17540547.295us          0.000us
add_                                32.223us          0.000us                1         32.223us          0.000us
batch_norm                       73508.809us          0.000us                1      73508.809us          0.000us
native_batch_norm                73493.097us          0.000us                1      73493.097us          0.000us
threshold_                       35829.658us          0.000us                1      35829.658us          0.000us
max_pool2d_with_indices         116687.034us          0.000us                1     116687.034us          0.000us
conv2d                        17150295.424us          0.000us                1   17150295.424us          0.000us
convolution                   17150289.248us          0.000us                1   17150289.248us          0.000us
_convolution                  17150284.544us          0.000us                1   17150284.544us          0.000us
contiguous                           2.304us          0.000us                1          2.304us          0.000us
empty                                7.552us          0.000us                1          7.552us          0.000us
_convolution_nogroup          17150250.208us          0.000us                1   17150250.208us          0.000us
thnn_conv2d                   17150243.328us          0.000us                1   17150243.328us          0.000us
thnn_conv2d_forward           17150238.112us          0.000us                1   17150238.112us          0.000us
add_                                32.192us          0.000us                1         32.192us          0.000us
batch_norm                       16211.431us          0.000us                1      16211.431us          0.000us
native_batch_norm                16197.127us          0.000us                1      16197.127us          0.000us
threshold_                        9832.650us          0.000us                1       9832.650us          0.000us
conv2d                        17164996.423us          0.000us                1   17164996.423us          0.000us
convolution                   17164990.567us          0.000us                1   17164990.567us          0.000us
_convolution                  17164986.215us          0.000us                1   17164986.215us          0.000us
contiguous                           2.528us          0.000us                1          2.528us          0.000us
empty                                8.800us          0.000us                1          8.800us          0.000us
_convolution_nogroup          17164951.399us          0.000us                1   17164951.399us          0.000us
thnn_conv2d                   17164943.783us          0.000us                1   17164943.783us          0.000us
thnn_conv2d_forward           17164938.567us          0.000us                1   17164938.567us          0.000us
add_                                32.128us          0.000us                1         32.128us          0.000us
batch_norm                       15749.450us          0.000us                1      15749.450us          0.000us
native_batch_norm                15734.890us          0.000us                1      15734.890us          0.000us
add_                              8606.033us          0.000us                1       8606.033us          0.000us
threshold_                        9903.978us          0.000us                1       9903.978us          0.000us
conv2d                        17150566.532us          0.000us                1   17150566.532us          0.000us
convolution                   17150561.220us          0.000us                1   17150561.220us          0.000us
_convolution                  17150557.124us          0.000us                1   17150557.124us          0.000us
contiguous                           2.496us          0.000us                1          2.496us          0.000us
empty                               10.848us          0.000us                1         10.848us          0.000us
_convolution_nogroup          17150520.132us          0.000us                1   17150520.132us          0.000us
thnn_conv2d                   17150512.612us          0.000us                1   17150512.612us          0.000us
thnn_conv2d_forward           17150507.300us          0.000us                1   17150507.300us          0.000us
add_                                31.744us          0.000us                1         31.744us          0.000us
batch_norm                       15815.562us          0.000us                1      15815.562us          0.000us
native_batch_norm                15801.354us          0.000us                1      15801.354us          0.000us
threshold_                       10024.873us          0.000us                1      10024.873us          0.000us
conv2d                        17184268.334us          0.000us                1   17184268.334us          0.000us
convolution                   17184261.966us          0.000us                1   17184261.966us          0.000us
_convolution                  17184257.550us          0.000us                1   17184257.550us          0.000us
contiguous                           2.432us          0.000us                1          2.432us          0.000us
empty                               10.304us          0.000us                1         10.304us          0.000us
_convolution_nogroup          17184221.262us          0.000us                1   17184221.262us          0.000us
thnn_conv2d                   17184214.350us          0.000us                1   17184214.350us          0.000us
thnn_conv2d_forward           17184208.974us          0.000us                1   17184208.974us          0.000us
add_                                31.648us          0.000us                1         31.648us          0.000us
batch_norm                       15831.722us          0.000us                1      15831.722us          0.000us
native_batch_norm                15817.898us          0.000us                1      15817.898us          0.000us
add_                              8546.033us          0.000us                1       8546.033us          0.000us
threshold_                        9851.147us          0.000us                1       9851.147us          0.000us
conv2d                         6203052.056us          0.000us                1    6203052.056us          0.000us
convolution                    6203046.297us          0.000us                1    6203046.297us          0.000us
_convolution                   6203042.041us          0.000us                1    6203042.041us          0.000us
contiguous                           2.784us          0.000us                1          2.784us          0.000us
empty                               11.008us          0.000us                1         11.008us          0.000us
_convolution_nogroup           6203005.369us          0.000us                1    6203005.369us          0.000us
thnn_conv2d                    6202998.553us          0.000us                1    6202998.553us          0.000us
thnn_conv2d_forward            6202993.177us          0.000us                1    6202993.177us          0.000us
add_                                31.200us          0.000us                1         31.200us          0.000us
batch_norm                        7833.782us          0.000us                1       7833.782us          0.000us
native_batch_norm                 7819.734us          0.000us                1       7819.734us          0.000us
threshold_                        5596.673us          0.000us                1       5596.673us          0.000us
conv2d                        13584105.219us          0.000us                1   13584105.219us          0.000us
convolution                   13584098.531us          0.000us                1   13584098.531us          0.000us
_convolution                  13584094.467us          0.000us                1   13584094.467us          0.000us
contiguous                           2.400us          0.000us                1          2.400us          0.000us
empty                               10.688us          0.000us                1         10.688us          0.000us
_convolution_nogroup          13584057.924us          0.000us                1   13584057.924us          0.000us
thnn_conv2d                   13584052.036us          0.000us                1   13584052.036us          0.000us
thnn_conv2d_forward           13584046.852us          0.000us                1   13584046.852us          0.000us
add_                                32.160us          0.000us                1         32.160us          0.000us
batch_norm                        7636.919us          0.000us                1       7636.919us          0.000us
native_batch_norm                 7622.231us          0.000us                1       7622.231us          0.000us
conv2d                          631147.801us          0.000us                1     631147.801us          0.000us
convolution                     631142.393us          0.000us                1     631142.393us          0.000us
_convolution                    631138.329us          0.000us                1     631138.329us          0.000us
contiguous                           2.560us          0.000us                1          2.560us          0.000us
empty                                7.200us          0.000us                1          7.200us          0.000us
_convolution_nogroup            631105.049us          0.000us                1     631105.049us          0.000us
thnn_conv2d                     631098.329us          0.000us                1     631098.329us          0.000us
thnn_conv2d_forward             631092.953us          0.000us                1     631092.953us          0.000us
add_                                32.416us          0.000us                1         32.416us          0.000us
batch_norm                        7684.439us          0.000us                1       7684.439us          0.000us
native_batch_norm                 7670.295us          0.000us                1       7670.295us          0.000us
add_                              4345.001us          0.000us                1       4345.001us          0.000us
threshold_                        5997.375us          0.000us                1       5997.375us          0.000us
conv2d                        13639863.482us          0.000us                1   13639863.482us          0.000us
convolution                   13639857.210us          0.000us                1   13639857.210us          0.000us
_convolution                  13639852.826us          0.000us                1   13639852.826us          0.000us
contiguous                           2.400us          0.000us                1          2.400us          0.000us
empty                                8.928us          0.000us                1          8.928us          0.000us
_convolution_nogroup          13639816.058us          0.000us                1   13639816.058us          0.000us
thnn_conv2d                   13639809.370us          0.000us                1   13639809.370us          0.000us
thnn_conv2d_forward           13639804.442us          0.000us                1   13639804.442us          0.000us
add_                                31.232us          0.000us                1         31.232us          0.000us
batch_norm                        7873.269us          0.000us                1       7873.269us          0.000us
native_batch_norm                 7859.477us          0.000us                1       7859.477us          0.000us
threshold_                        5682.145us          0.000us                1       5682.145us          0.000us
conv2d                        13578214.751us          0.000us                1   13578214.751us          0.000us
convolution                   13578208.639us          0.000us                1   13578208.639us          0.000us
_convolution                  13578204.383us          0.000us                1   13578204.383us          0.000us
contiguous                           2.368us          0.000us                1          2.368us          0.000us
empty                                9.312us          0.000us                1          9.312us          0.000us
_convolution_nogroup          13578168.192us          0.000us                1   13578168.192us          0.000us
thnn_conv2d                   13578160.288us          0.000us                1   13578160.288us          0.000us
thnn_conv2d_forward           13578155.008us          0.000us                1   13578155.008us          0.000us
add_                                33.504us          0.000us                1         33.504us          0.000us
batch_norm                        7673.847us          0.000us                1       7673.847us          0.000us
native_batch_norm                 7659.799us          0.000us                1       7659.799us          0.000us
