---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                                CPU time        CUDA time            Calls        CPU total       CUDA total
---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
conv2d                             513.949us      25440.512us                1        513.949us      25440.512us
convolution                        461.437us      25414.401us                1        461.437us      25414.401us
_convolution                       426.461us      25396.960us                1        426.461us      25396.960us
contiguous                          18.271us         18.688us                1         18.271us         18.688us
empty                               24.416us         24.800us                1         24.416us         24.800us
cudnn_convolution                  266.910us      25260.161us                1        266.910us      25260.161us
add_                                95.167us          6.559us                1         95.167us          6.559us
batch_norm                         341.918us      13118.080us                1        341.918us      13118.080us
contiguous                          16.352us          0.513us                1         16.352us          0.513us
contiguous                          13.632us          0.641us                1         13.632us          0.641us
contiguous                          13.184us          0.513us                1         13.184us          0.513us
contiguous                          12.736us          0.608us                1         12.736us          0.608us
contiguous                          14.303us          0.639us                1         14.303us          0.639us
cudnn_batch_norm                   155.903us      13110.687us                1        155.903us      13110.687us
threshold_                          72.319us       7373.280us                1         72.319us       7373.280us
max_pool2d_with_indices             92.799us      11635.075us                1         92.799us      11635.075us
conv2d                             585.564us      13702.885us                1        585.564us      13702.885us
convolution                        553.405us      13701.603us                1        553.405us      13701.603us
_convolution                       524.605us      13700.321us                1        524.605us      13700.321us
contiguous                          13.920us          0.511us                1         13.920us          0.511us
empty                               17.952us          0.641us                1         17.952us          0.641us
cudnn_convolution                  420.765us      13696.514us                1        420.765us      13696.514us
add_                                77.344us          6.241us                1         77.344us          6.241us
batch_norm                         309.790us       2415.390us                1        309.790us       2415.390us
contiguous                          15.360us          0.511us                1         15.360us          0.511us
contiguous                          13.504us          0.641us                1         13.504us          0.641us
contiguous                          12.640us          0.473us                1         12.640us          0.473us
contiguous                          12.544us          0.641us                1         12.544us          0.641us
contiguous                          12.064us          0.481us                1         12.064us          0.481us
cudnn_batch_norm                   136.543us       2407.997us                1        136.543us       2407.997us
threshold_                          63.615us       1835.518us                1         63.615us       1835.518us
conv2d                             510.236us      13637.886us                1        510.236us      13637.886us
convolution                        480.989us      13636.642us                1        480.989us      13636.642us
_convolution                       453.021us      13635.521us                1        453.021us      13635.521us
contiguous                          13.472us          0.641us                1         13.472us          0.641us
empty                               17.216us          0.481us                1         17.216us          0.481us
cudnn_convolution                  356.446us      13631.683us                1        356.446us      13631.683us
add_                                63.295us          6.554us                1         63.295us          6.554us
batch_norm                         283.422us       2399.490us                1        283.422us       2399.490us
contiguous                          15.456us          0.641us                1         15.456us          0.641us
contiguous                          13.376us          0.641us                1         13.376us          0.641us
contiguous                          12.319us          0.519us                1         12.319us          0.519us
contiguous                          13.792us          0.641us                1         13.792us          0.641us
contiguous                          12.672us          0.511us                1         12.672us          0.511us
cudnn_batch_norm                   112.255us       2391.838us                1        112.255us       2391.838us
add_                                75.807us       2199.837us                1         75.807us       2199.837us
threshold_                          79.103us       1844.292us                1         79.103us       1844.292us
conv2d                             594.908us      15442.909us                1        594.908us      15442.909us
convolution                        558.460us      15441.757us                1        558.460us      15441.757us
_convolution                       528.125us      15440.475us                1        528.125us      15440.475us
contiguous                          13.824us          0.511us                1         13.824us          0.511us
empty                               20.288us          0.641us                1         20.288us          0.641us
cudnn_convolution                  419.869us      15436.638us                1        419.869us      15436.638us
add_                               103.487us          6.592us                1        103.487us          6.592us
batch_norm                         366.461us       2405.914us                1        366.461us       2405.914us
contiguous                          17.376us          0.641us                1         17.376us          0.641us
contiguous                          13.760us          0.610us                1         13.760us          0.610us
contiguous                          12.672us          0.641us                1         12.672us          0.641us
contiguous                          13.312us          0.481us                1         13.312us          0.481us
contiguous                          12.736us          0.633us                1         12.736us          0.633us
cudnn_batch_norm                   175.358us       2398.430us                1        175.358us       2398.430us
threshold_                          99.136us       1820.801us                1         99.136us       1820.801us
conv2d                             618.620us      13920.982us                1        618.620us      13920.982us
convolution                        581.724us      13919.846us                1        581.724us      13919.846us
_convolution                       552.476us      13918.564us                1        552.476us      13918.564us
contiguous                          16.128us          0.473us                1         16.128us          0.473us
empty                               22.239us          0.641us                1         22.239us          0.641us
cudnn_convolution                  437.630us      13914.429us                1        437.630us      13914.429us
add_                                86.560us          5.798us                1         86.560us          5.798us
batch_norm                         334.942us       2375.168us                1        334.942us       2375.168us
contiguous                          14.528us          0.641us                1         14.528us          0.641us
contiguous                          12.576us          0.641us                1         12.576us          0.641us
contiguous                          12.576us          0.610us                1         12.576us          0.610us
contiguous                          12.032us          0.641us                1         12.032us          0.641us
contiguous                          12.096us          0.488us                1         12.096us          0.488us
cudnn_batch_norm                   157.087us       2367.523us                1        157.087us       2367.523us
add_                                83.583us       2175.049us                1         83.583us       2175.049us
threshold_                          73.663us       1824.448us                1         73.663us       1824.448us
conv2d                             470.973us       7777.954us                1        470.973us       7777.954us
convolution                        428.829us       7776.932us                1        428.829us       7776.932us
_convolution                       394.877us       7775.681us                1        394.877us       7775.681us
contiguous                          17.728us          0.610us                1         17.728us          0.610us
empty                               22.944us          0.626us                1         22.944us          0.626us
cudnn_convolution                  245.023us       7771.332us                1        245.023us       7771.332us
add_                               112.543us          5.295us                1        112.543us          5.295us
batch_norm                         373.117us       1209.610us                1        373.117us       1209.610us
contiguous                          18.752us          0.519us                1         18.752us          0.519us
contiguous                          12.832us          0.641us                1         12.832us          0.641us
contiguous                          12.512us          0.641us                1         12.512us          0.641us
contiguous                          12.256us          0.641us                1         12.256us          0.641us
contiguous                          11.904us          0.641us                1         11.904us          0.641us
cudnn_batch_norm                   182.399us       1202.087us                1        182.399us       1202.087us
threshold_                          77.023us        892.792us                1         77.023us        892.792us
conv2d                             449.245us       8329.117us                1        449.245us       8329.117us
convolution                        419.005us       8327.972us                1        419.005us       8327.972us
_convolution                       388.446us       8326.721us                1        388.446us       8326.721us
contiguous                          15.648us          0.519us                1         15.648us          0.519us
empty                               18.944us          0.641us                1         18.944us          0.641us
cudnn_convolution                  267.198us       8322.571us                1        267.198us       8322.571us
add_                               142.463us          5.600us                1        142.463us          5.600us
batch_norm                         425.725us       1224.808us                1        425.725us       1224.808us
contiguous                          15.520us          0.610us                1         15.520us          0.610us
contiguous                          14.176us          0.641us                1         14.176us          0.641us
contiguous                          13.824us          0.595us                1         13.824us          0.595us
contiguous                          13.984us          0.641us                1         13.984us          0.641us
contiguous                          12.608us          0.610us                1         12.608us          0.610us
cudnn_batch_norm                   235.550us       1217.117us                1        235.550us       1217.117us
conv2d                             301.118us       1443.192us                1        301.118us       1443.192us
convolution                        268.926us       1442.108us                1        268.926us       1442.108us
_convolution                       241.503us       1440.964us                1        241.503us       1440.964us
contiguous                          13.536us          0.641us                1         13.536us          0.641us
empty                               16.096us          0.671us                1         16.096us          0.671us
cudnn_convolution                  145.823us       1436.508us                1        145.823us       1436.508us
add_                                69.728us          5.280us                1         69.728us          5.280us
batch_norm                         280.254us       1229.919us                1        280.254us       1229.919us
contiguous                          14.272us          0.519us                1         14.272us          0.519us
contiguous                          13.056us          0.595us                1         13.056us          0.595us
contiguous                          12.128us          0.641us                1         12.128us          0.641us
contiguous                          12.768us          0.610us                1         12.768us          0.610us
contiguous                          11.872us          0.641us                1         11.872us          0.641us
cudnn_batch_norm                   114.752us       1222.397us                1        114.752us       1222.397us
add_                                57.696us       1087.997us                1         57.696us       1087.997us
threshold_                          56.064us        903.839us                1         56.064us        903.839us
conv2d                             344.669us       8357.788us                1        344.669us       8357.788us
convolution                        315.102us       8356.644us                1        315.102us       8356.644us
_convolution                       287.103us       8355.484us                1        287.103us       8355.484us
contiguous                          15.136us          0.595us                1         15.136us          0.595us
empty                               16.800us          0.641us                1         16.800us          0.641us
cudnn_convolution                  189.567us       8351.196us                1        189.567us       8351.196us
add_                                62.175us          5.951us                1         62.175us          5.951us
batch_norm                         279.838us       1224.838us                1        279.838us       1224.838us
