---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                                CPU time        CUDA time            Calls        CPU total       CUDA total
---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
conv2d                         1580940.533us          0.000us                1    1580940.533us          0.000us
convolution                    1580912.213us          0.000us                1    1580912.213us          0.000us
_convolution                   1580880.437us          0.000us                1    1580880.437us          0.000us
contiguous                           5.056us          0.000us                1          5.056us          0.000us
empty                               12.512us          0.000us                1         12.512us          0.000us
cudnn_convolution              1580813.014us          0.000us                1    1580813.014us          0.000us
add_                               267.838us          0.000us                1        267.838us          0.000us
batch_norm                        2737.486us          0.000us                1       2737.486us          0.000us
contiguous                           6.016us          0.000us                1          6.016us          0.000us
contiguous                           1.888us          0.000us                1          1.888us          0.000us
contiguous                           1.312us          0.000us                1          1.312us          0.000us
contiguous                           1.312us          0.000us                1          1.312us          0.000us
contiguous                           1.120us          0.000us                1          1.120us          0.000us
cudnn_batch_norm                  2668.174us          0.000us                1       2668.174us          0.000us
threshold_                         226.047us          0.000us                1        226.047us          0.000us
max_pool2d_with_indices           2474.927us          0.000us                1       2474.927us          0.000us
conv2d                          301116.822us          0.000us                1     301116.822us          0.000us
convolution                     301102.902us          0.000us                1     301102.902us          0.000us
_convolution                    301097.110us          0.000us                1     301097.110us          0.000us
contiguous                           5.056us          0.000us                1          5.056us          0.000us
empty                               14.592us          0.000us                1         14.592us          0.000us
cudnn_convolution               301040.247us          0.000us                1     301040.247us          0.000us
add_                               197.759us          0.000us                1        197.759us          0.000us
batch_norm                         339.838us          0.000us                1        339.838us          0.000us
contiguous                           5.888us          0.000us                1          5.888us          0.000us
contiguous                           2.048us          0.000us                1          2.048us          0.000us
contiguous                           1.376us          0.000us                1          1.376us          0.000us
contiguous                           1.536us          0.000us                1          1.536us          0.000us
contiguous                           1.376us          0.000us                1          1.376us          0.000us
cudnn_batch_norm                   283.998us          0.000us                1        283.998us          0.000us
threshold_                         127.935us          0.000us                1        127.935us          0.000us
conv2d                            2316.689us          0.000us                1       2316.689us          0.000us
convolution                       2310.001us          0.000us                1       2310.001us          0.000us
_convolution                      2303.601us          0.000us                1       2303.601us          0.000us
contiguous                           2.624us          0.000us                1          2.624us          0.000us
empty                                9.696us          0.000us                1          9.696us          0.000us
cudnn_convolution                 2254.161us          0.000us                1       2254.161us          0.000us
add_                               157.119us          0.000us                1        157.119us          0.000us
batch_norm                         303.006us          0.000us                1        303.006us          0.000us
contiguous                           4.960us          0.000us                1          4.960us          0.000us
contiguous                           1.472us          0.000us                1          1.472us          0.000us
contiguous                           1.376us          0.000us                1          1.376us          0.000us
contiguous                           1.056us          0.000us                1          1.056us          0.000us
contiguous                           1.152us          0.000us                1          1.152us          0.000us
cudnn_batch_norm                   256.478us          0.000us                1        256.478us          0.000us
add_                               168.446us          0.000us                1        168.446us          0.000us
threshold_                          98.175us          0.000us                1         98.175us          0.000us
conv2d                            2848.781us          0.000us                1       2848.781us          0.000us
convolution                       2838.829us          0.000us                1       2838.829us          0.000us
_convolution                      2833.293us          0.000us                1       2833.293us          0.000us
contiguous                           4.288us          0.000us                1          4.288us          0.000us
empty                               11.072us          0.000us                1         11.072us          0.000us
cudnn_convolution                 2780.717us          0.000us                1       2780.717us          0.000us
add_                               245.374us          0.000us                1        245.374us          0.000us
batch_norm                         696.059us          0.000us                1        696.059us          0.000us
contiguous                           6.464us          0.000us                1          6.464us          0.000us
contiguous                           1.184us          0.000us                1          1.184us          0.000us
contiguous                           1.184us          0.000us                1          1.184us          0.000us
contiguous                           1.792us          0.000us                1          1.792us          0.000us
contiguous                           2.272us          0.000us                1          2.272us          0.000us
cudnn_batch_norm                   625.019us          0.000us                1        625.019us          0.000us
threshold_                         171.903us          0.000us                1        171.903us          0.000us
conv2d                            2623.694us          0.000us                1       2623.694us          0.000us
convolution                       2613.966us          0.000us                1       2613.966us          0.000us
_convolution                      2608.750us          0.000us                1       2608.750us          0.000us
contiguous                           4.448us          0.000us                1          4.448us          0.000us
empty                               15.200us          0.000us                1         15.200us          0.000us
cudnn_convolution                 2550.639us          0.000us                1       2550.639us          0.000us
add_                               187.999us          0.000us                1        187.999us          0.000us
batch_norm                         458.333us          0.000us                1        458.333us          0.000us
contiguous                           5.888us          0.000us                1          5.888us          0.000us
contiguous                           1.696us          0.000us                1          1.696us          0.000us
contiguous                           1.120us          0.000us                1          1.120us          0.000us
contiguous                           1.504us          0.000us                1          1.504us          0.000us
contiguous                           1.472us          0.000us                1          1.472us          0.000us
cudnn_batch_norm                   398.910us          0.000us                1        398.910us          0.000us
add_                               161.247us          0.000us                1        161.247us          0.000us
threshold_                         132.575us          0.000us                1        132.575us          0.000us
conv2d                          128741.822us          0.000us                1     128741.822us          0.000us
convolution                     128729.087us          0.000us                1     128729.087us          0.000us
_convolution                    128722.047us          0.000us                1     128722.047us          0.000us
contiguous                           4.352us          0.000us                1          4.352us          0.000us
empty                               19.840us          0.000us                1         19.840us          0.000us
cudnn_convolution               128660.159us          0.000us                1     128660.159us          0.000us
add_                               117.695us          0.000us                1        117.695us          0.000us
batch_norm                         258.271us          0.000us                1        258.271us          0.000us
contiguous                           4.832us          0.000us                1          4.832us          0.000us
contiguous                           1.472us          0.000us                1          1.472us          0.000us
contiguous                           1.248us          0.000us                1          1.248us          0.000us
contiguous                           1.088us          0.000us                1          1.088us          0.000us
contiguous                           1.216us          0.000us                1          1.216us          0.000us
cudnn_batch_norm                   218.175us          0.000us                1        218.175us          0.000us
threshold_                          92.543us          0.000us                1         92.543us          0.000us
conv2d                          178465.967us          0.000us                1     178465.967us          0.000us
convolution                     178458.287us          0.000us                1     178458.287us          0.000us
_convolution                    178453.167us          0.000us                1     178453.167us          0.000us
contiguous                           3.296us          0.000us                1          3.296us          0.000us
empty                               10.176us          0.000us                1         10.176us          0.000us
cudnn_convolution               178409.584us          0.000us                1     178409.584us          0.000us
add_                               176.958us          0.000us                1        176.958us          0.000us
batch_norm                         405.949us          0.000us                1        405.949us          0.000us
contiguous                           6.912us          0.000us                1          6.912us          0.000us
contiguous                           1.792us          0.000us                1          1.792us          0.000us
contiguous                           1.824us          0.000us                1          1.824us          0.000us
contiguous                           1.440us          0.000us                1          1.440us          0.000us
contiguous                           1.504us          0.000us                1          1.504us          0.000us
cudnn_batch_norm                   346.589us          0.000us                1        346.589us          0.000us
conv2d                           25993.521us          0.000us                1      25993.521us          0.000us
convolution                      25978.321us          0.000us                1      25978.321us          0.000us
_convolution                     25971.345us          0.000us                1      25971.345us          0.000us
contiguous                           5.824us          0.000us                1          5.824us          0.000us
empty                               18.815us          0.000us                1         18.815us          0.000us
cudnn_convolution                25915.282us          0.000us                1      25915.282us          0.000us
add_                                87.871us          0.000us                1         87.871us          0.000us
batch_norm                         223.198us          0.000us                1        223.198us          0.000us
contiguous                           4.416us          0.000us                1          4.416us          0.000us
contiguous                           1.216us          0.000us                1          1.216us          0.000us
contiguous                           1.440us          0.000us                1          1.440us          0.000us
contiguous                           1.120us          0.000us                1          1.120us          0.000us
contiguous                           1.120us          0.000us                1          1.120us          0.000us
cudnn_batch_norm                   185.727us          0.000us                1        185.727us          0.000us
add_                                63.551us          0.000us                1         63.551us          0.000us
threshold_                          56.863us          0.000us                1         56.863us          0.000us
conv2d                            2114.994us          0.000us                1       2114.994us          0.000us
convolution                       2108.402us          0.000us                1       2108.402us          0.000us
_convolution                      2103.570us          0.000us                1       2103.570us          0.000us
contiguous                           2.592us          0.000us                1          2.592us          0.000us
empty                                7.328us          0.000us                1          7.328us          0.000us
cudnn_convolution                 2067.794us          0.000us                1       2067.794us          0.000us
add_                               137.439us          0.000us                1        137.439us          0.000us
batch_norm                         328.254us          0.000us                1        328.254us          0.000us
contiguous                           4.928us          0.000us                1          4.928us          0.000us
