---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                                CPU time        CUDA time            Calls        CPU total       CUDA total
---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
conv2d                         8798311.117us          0.000us                1    8798311.117us          0.000us
convolution                    8798305.997us          0.000us                1    8798305.997us          0.000us
_convolution                   8798301.741us          0.000us                1    8798301.741us          0.000us
contiguous                           2.432us          0.000us                1          2.432us          0.000us
empty                                7.136us          0.000us                1          7.136us          0.000us
_convolution_nogroup           8798269.581us          0.000us                1    8798269.581us          0.000us
thnn_conv2d                    8798263.597us          0.000us                1    8798263.597us          0.000us
thnn_conv2d_forward            8788784.453us          0.000us                1    8788784.453us          0.000us
add_                                35.008us          0.000us                1         35.008us          0.000us
batch_norm                       37340.292us          0.000us                1      37340.292us          0.000us
native_batch_norm                37320.389us          0.000us                1      37320.389us          0.000us
threshold_                       18576.338us          0.000us                1      18576.338us          0.000us
max_pool2d_with_indices          60614.491us          0.000us                1      60614.491us          0.000us
conv2d                         8671497.252us          0.000us                1    8671497.252us          0.000us
convolution                    8671490.308us          0.000us                1    8671490.308us          0.000us
_convolution                   8671485.796us          0.000us                1    8671485.796us          0.000us
contiguous                           2.816us          0.000us                1          2.816us          0.000us
empty                                8.896us          0.000us                1          8.896us          0.000us
_convolution_nogroup           8671451.172us          0.000us                1    8671451.172us          0.000us
thnn_conv2d                    8671444.772us          0.000us                1    8671444.772us          0.000us
thnn_conv2d_forward            8662090.363us          0.000us                1    8662090.363us          0.000us
add_                                34.719us          0.000us                1         34.719us          0.000us
batch_norm                        7643.411us          0.000us                1       7643.411us          0.000us
native_batch_norm                 7623.923us          0.000us                1       7623.923us          0.000us
threshold_                        5570.463us          0.000us                1       5570.463us          0.000us
conv2d                         8671551.405us          0.000us                1    8671551.405us          0.000us
convolution                    8671544.941us          0.000us                1    8671544.941us          0.000us
_convolution                   8671540.781us          0.000us                1    8671540.781us          0.000us
contiguous                           2.432us          0.000us                1          2.432us          0.000us
empty                                9.696us          0.000us                1          9.696us          0.000us
_convolution_nogroup           8671505.101us          0.000us                1    8671505.101us          0.000us
thnn_conv2d                    8671499.085us          0.000us                1    8671499.085us          0.000us
thnn_conv2d_forward            8662143.140us          0.000us                1    8662143.140us          0.000us
add_                                34.624us          0.000us                1         34.624us          0.000us
batch_norm                        7651.411us          0.000us                1       7651.411us          0.000us
native_batch_norm                 7633.011us          0.000us                1       7633.011us          0.000us
add_                              4351.590us          0.000us                1       4351.590us          0.000us
threshold_                        5628.063us          0.000us                1       5628.063us          0.000us
conv2d                         8611098.297us          0.000us                1    8611098.297us          0.000us
convolution                    8611091.609us          0.000us                1    8611091.609us          0.000us
_convolution                   8611087.513us          0.000us                1    8611087.513us          0.000us
contiguous                           2.496us          0.000us                1          2.496us          0.000us
empty                                8.864us          0.000us                1          8.864us          0.000us
_convolution_nogroup           8611052.890us          0.000us                1    8611052.890us          0.000us
thnn_conv2d                    8611047.002us          0.000us                1    8611047.002us          0.000us
thnn_conv2d_forward            8601624.721us          0.000us                1    8601624.721us          0.000us
add_                                34.463us          0.000us                1         34.463us          0.000us
batch_norm                        7651.283us          0.000us                1       7651.283us          0.000us
native_batch_norm                 7631.571us          0.000us                1       7631.571us          0.000us
threshold_                       11399.869us          0.000us                1      11399.869us          0.000us
conv2d                         8602926.449us          0.000us                1    8602926.449us          0.000us
convolution                    8602919.473us          0.000us                1    8602919.473us          0.000us
_convolution                   8602915.505us          0.000us                1    8602915.505us          0.000us
contiguous                           2.528us          0.000us                1          2.528us          0.000us
empty                                9.248us          0.000us                1          9.248us          0.000us
_convolution_nogroup           8602880.401us          0.000us                1    8602880.401us          0.000us
thnn_conv2d                    8602873.969us          0.000us                1    8602873.969us          0.000us
thnn_conv2d_forward            8593567.912us          0.000us                1    8593567.912us          0.000us
add_                                35.072us          0.000us                1         35.072us          0.000us
batch_norm                        7619.443us          0.000us                1       7619.443us          0.000us
native_batch_norm                 7599.827us          0.000us                1       7599.827us          0.000us
add_                              4381.542us          0.000us                1       4381.542us          0.000us
threshold_                        5895.934us          0.000us                1       5895.934us          0.000us
conv2d                         3117666.600us          0.000us                1    3117666.600us          0.000us
convolution                    3117660.040us          0.000us                1    3117660.040us          0.000us
_convolution                   3117656.200us          0.000us                1    3117656.200us          0.000us
contiguous                           2.560us          0.000us                1          2.560us          0.000us
empty                                9.023us          0.000us                1          9.023us          0.000us
_convolution_nogroup           3117621.577us          0.000us                1    3117621.577us          0.000us
thnn_conv2d                    3117615.241us          0.000us                1    3117615.241us          0.000us
thnn_conv2d_forward            3117605.481us          0.000us                1    3117605.481us          0.000us
add_                                33.760us          0.000us                1         33.760us          0.000us
batch_norm                        5111.170us          0.000us                1       5111.170us          0.000us
native_batch_norm                 5092.579us          0.000us                1       5092.579us          0.000us
threshold_                        3796.937us          0.000us                1       3796.937us          0.000us
conv2d                         6810299.156us          0.000us                1    6810299.156us          0.000us
convolution                    6810292.180us          0.000us                1    6810292.180us          0.000us
_convolution                   6810288.244us          0.000us                1    6810288.244us          0.000us
contiguous                           2.272us          0.000us                1          2.272us          0.000us
empty                                9.471us          0.000us                1          9.471us          0.000us
_convolution_nogroup           6810253.877us          0.000us                1    6810253.877us          0.000us
thnn_conv2d                    6810247.093us          0.000us                1    6810247.093us          0.000us
thnn_conv2d_forward            6805623.057us          0.000us                1    6805623.057us          0.000us
add_                                33.984us          0.000us                1         33.984us          0.000us
batch_norm                        3995.752us          0.000us                1       3995.752us          0.000us
native_batch_norm                 3977.097us          0.000us                1       3977.097us          0.000us
conv2d                          314554.988us          0.000us                1     314554.988us          0.000us
convolution                     314548.300us          0.000us                1     314548.300us          0.000us
_convolution                    314544.268us          0.000us                1     314544.268us          0.000us
contiguous                           2.432us          0.000us                1          2.432us          0.000us
empty                                6.304us          0.000us                1          6.304us          0.000us
_convolution_nogroup            314513.708us          0.000us                1     314513.708us          0.000us
thnn_conv2d                     314507.052us          0.000us                1     314507.052us          0.000us
thnn_conv2d_forward             314496.812us          0.000us                1     314496.812us          0.000us
add_                                33.504us          0.000us                1         33.504us          0.000us
batch_norm                        3899.081us          0.000us                1       3899.081us          0.000us
native_batch_norm                 3879.305us          0.000us                1       3879.305us          0.000us
add_                              2199.283us          0.000us                1       2199.283us          0.000us
threshold_                        3807.690us          0.000us                1       3807.690us          0.000us
conv2d                         6810463.917us          0.000us                1    6810463.917us          0.000us
convolution                    6810457.805us          0.000us                1    6810457.805us          0.000us
_convolution                   6810454.061us          0.000us                1    6810454.061us          0.000us
contiguous                           2.784us          0.000us                1          2.784us          0.000us
empty                                8.832us          0.000us                1          8.832us          0.000us
_convolution_nogroup           6810419.629us          0.000us                1    6810419.629us          0.000us
thnn_conv2d                    6810413.005us          0.000us                1    6810413.005us          0.000us
thnn_conv2d_forward            6805666.313us          0.000us                1    6805666.313us          0.000us
add_                                34.207us          0.000us                1         34.207us          0.000us
batch_norm                        3940.681us          0.000us                1       3940.681us          0.000us
native_batch_norm                 3921.737us          0.000us                1       3921.737us          0.000us
threshold_                        4514.086us          0.000us                1       4514.086us          0.000us
conv2d                         6842409.833us          0.000us                1    6842409.833us          0.000us
convolution                    6842402.953us          0.000us                1    6842402.953us          0.000us
_convolution                   6842398.825us          0.000us                1    6842398.825us          0.000us
contiguous                           2.560us          0.000us                1          2.560us          0.000us
empty                                9.696us          0.000us                1          9.696us          0.000us
_convolution_nogroup           6842364.137us          0.000us                1    6842364.137us          0.000us
thnn_conv2d                    6842357.385us          0.000us                1    6842357.385us          0.000us
thnn_conv2d_forward            6837738.084us          0.000us                1    6837738.084us          0.000us
add_                                34.976us          0.000us                1         34.976us          0.000us
batch_norm                        3912.873us          0.000us                1       3912.873us          0.000us
native_batch_norm                 3894.249us          0.000us                1       3894.249us          0.000us
