---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                                CPU time        CUDA time            Calls        CPU total       CUDA total
---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
conv2d                        17514080.846us          0.000us                1   17514080.846us          0.000us
convolution                   17514075.182us          0.000us                1   17514075.182us          0.000us
_convolution                  17514071.406us          0.000us                1   17514071.406us          0.000us
contiguous                           2.848us          0.000us                1          2.848us          0.000us
empty                                7.040us          0.000us                1          7.040us          0.000us
_convolution_nogroup          17514039.566us          0.000us                1   17514039.566us          0.000us
thnn_conv2d                   17514032.398us          0.000us                1   17514032.398us          0.000us
thnn_conv2d_forward           17495450.434us          0.000us                1   17495450.434us          0.000us
add_                                35.232us          0.000us                1         35.232us          0.000us
batch_norm                       72827.900us          0.000us                1      72827.900us          0.000us
native_batch_norm                72808.636us          0.000us                1      72808.636us          0.000us
threshold_                       37620.116us          0.000us                1      37620.116us          0.000us
max_pool2d_with_indices         125263.322us          0.000us                1     125263.322us          0.000us
conv2d                        17213734.651us          0.000us                1   17213734.651us          0.000us
convolution                   17213727.995us          0.000us                1   17213727.995us          0.000us
_convolution                  17213723.931us          0.000us                1   17213723.931us          0.000us
contiguous                           3.200us          0.000us                1          3.200us          0.000us
empty                                9.279us          0.000us                1          9.279us          0.000us
_convolution_nogroup          17213689.404us          0.000us                1   17213689.404us          0.000us
thnn_conv2d                   17213682.300us          0.000us                1   17213682.300us          0.000us
thnn_conv2d_forward           17195449.324us          0.000us                1   17195449.324us          0.000us
add_                                36.096us          0.000us                1         36.096us          0.000us
batch_norm                       19294.760us          0.000us                1      19294.760us          0.000us
native_batch_norm                19275.144us          0.000us                1      19275.144us          0.000us
threshold_                       11156.776us          0.000us                1      11156.776us          0.000us
conv2d                        17213447.590us          0.000us                1   17213447.590us          0.000us
convolution                   17213440.646us          0.000us                1   17213440.646us          0.000us
_convolution                  17213436.902us          0.000us                1   17213436.902us          0.000us
contiguous                           2.304us          0.000us                1          2.304us          0.000us
empty                               10.559us          0.000us                1         10.559us          0.000us
_convolution_nogroup          17213400.199us          0.000us                1   17213400.199us          0.000us
thnn_conv2d                   17213393.799us          0.000us                1   17213393.799us          0.000us
thnn_conv2d_forward           17195189.398us          0.000us                1   17195189.398us          0.000us
add_                                35.264us          0.000us                1         35.264us          0.000us
batch_norm                       15957.955us          0.000us                1      15957.955us          0.000us
native_batch_norm                15938.051us          0.000us                1      15938.051us          0.000us
add_                              8651.581us          0.000us                1       8651.581us          0.000us
threshold_                       11240.328us          0.000us                1      11240.328us          0.000us
conv2d                        17185002.919us          0.000us                1   17185002.919us          0.000us
convolution                   17184995.943us          0.000us                1   17184995.943us          0.000us
_convolution                  17184992.167us          0.000us                1   17184992.167us          0.000us
contiguous                           2.624us          0.000us                1          2.624us          0.000us
empty                               10.176us          0.000us                1         10.176us          0.000us
_convolution_nogroup          17184956.551us          0.000us                1   17184956.551us          0.000us
thnn_conv2d                   17184950.407us          0.000us                1   17184950.407us          0.000us
thnn_conv2d_forward           17166809.139us          0.000us                1   17166809.139us          0.000us
add_                                35.264us          0.000us                1         35.264us          0.000us
batch_norm                       15799.397us          0.000us                1      15799.397us          0.000us
native_batch_norm                15779.717us          0.000us                1      15779.717us          0.000us
threshold_                       12240.769us          0.000us                1      12240.769us          0.000us
conv2d                        17159224.454us          0.000us                1   17159224.454us          0.000us
convolution                   17159217.478us          0.000us                1   17159217.478us          0.000us
_convolution                  17159213.638us          0.000us                1   17159213.638us          0.000us
contiguous                           2.560us          0.000us                1          2.560us          0.000us
empty                                9.920us          0.000us                1          9.920us          0.000us
_convolution_nogroup          17159178.054us          0.000us                1   17159178.054us          0.000us
thnn_conv2d                   17159170.694us          0.000us                1   17159170.694us          0.000us
thnn_conv2d_forward           17141107.857us          0.000us                1   17141107.857us          0.000us
add_                                34.495us          0.000us                1         34.495us          0.000us
batch_norm                       16815.294us          0.000us                1      16815.294us          0.000us
native_batch_norm                16796.575us          0.000us                1      16796.575us          0.000us
add_                              8627.582us          0.000us                1       8627.582us          0.000us
threshold_                       12005.251us          0.000us                1      12005.251us          0.000us
conv2d                         6259376.516us          0.000us                1    6259376.516us          0.000us
convolution                    6259369.924us          0.000us                1    6259369.924us          0.000us
_convolution                   6259366.148us          0.000us                1    6259366.148us          0.000us
contiguous                           2.432us          0.000us                1          2.432us          0.000us
empty                                8.928us          0.000us                1          8.928us          0.000us
_convolution_nogroup           6259296.165us          0.000us                1    6259296.165us          0.000us
thnn_conv2d                    6259289.253us          0.000us                1    6259289.253us          0.000us
thnn_conv2d_forward            6254599.241us          0.000us                1    6254599.241us          0.000us
add_                                32.351us          0.000us                1         32.351us          0.000us
batch_norm                        7706.148us          0.000us                1       7706.148us          0.000us
native_batch_norm                 7686.565us          0.000us                1       7686.565us          0.000us
threshold_                        7433.607us          0.000us                1       7433.607us          0.000us
conv2d                        13610964.620us          0.000us                1   13610964.620us          0.000us
convolution                   13610958.156us          0.000us                1   13610958.156us          0.000us
_convolution                  13610954.348us          0.000us                1   13610954.348us          0.000us
contiguous                           2.496us          0.000us                1          2.496us          0.000us
empty                                9.248us          0.000us                1          9.248us          0.000us
_convolution_nogroup          13610919.052us          0.000us                1   13610919.052us          0.000us
thnn_conv2d                   13610911.756us          0.000us                1   13610911.756us          0.000us
thnn_conv2d_forward           13601567.284us          0.000us                1   13601567.284us          0.000us
add_                                35.008us          0.000us                1         35.008us          0.000us
batch_norm                        7780.676us          0.000us                1       7780.676us          0.000us
native_batch_norm                 7761.700us          0.000us                1       7761.700us          0.000us
conv2d                          631711.753us          0.000us                1     631711.753us          0.000us
convolution                     631705.353us          0.000us                1     631705.353us          0.000us
_convolution                    631701.321us          0.000us                1     631701.321us          0.000us
contiguous                           2.336us          0.000us                1          2.336us          0.000us
empty                                6.144us          0.000us                1          6.144us          0.000us
_convolution_nogroup            631670.697us          0.000us                1     631670.697us          0.000us
thnn_conv2d                     631664.361us          0.000us                1     631664.361us          0.000us
thnn_conv2d_forward             631654.505us          0.000us                1     631654.505us          0.000us
add_                                32.160us          0.000us                1         32.160us          0.000us
batch_norm                        7664.037us          0.000us                1       7664.037us          0.000us
native_batch_norm                 7646.501us          0.000us                1       7646.501us          0.000us
add_                              4331.615us          0.000us                1       4331.615us          0.000us
threshold_                        7836.932us          0.000us                1       7836.932us          0.000us
conv2d                        13634443.022us          0.000us                1   13634443.022us          0.000us
convolution                   13634436.718us          0.000us                1   13634436.718us          0.000us
_convolution                  13634432.686us          0.000us                1   13634432.686us          0.000us
contiguous                           2.528us          0.000us                1          2.528us          0.000us
empty                                8.512us          0.000us                1          8.512us          0.000us
_convolution_nogroup          13634397.263us          0.000us                1   13634397.263us          0.000us
thnn_conv2d                   13634390.287us          0.000us                1   13634390.287us          0.000us
thnn_conv2d_forward           13625039.350us          0.000us                1   13625039.350us          0.000us
add_                                33.120us          0.000us                1         33.120us          0.000us
batch_norm                        7728.806us          0.000us                1       7728.806us          0.000us
native_batch_norm                 7709.798us          0.000us                1       7709.798us          0.000us
threshold_                        8146.818us          0.000us                1       8146.818us          0.000us
conv2d                        13612513.306us          0.000us                1   13612513.306us          0.000us
convolution                   13612506.778us          0.000us                1   13612506.778us          0.000us
_convolution                  13612502.810us          0.000us                1   13612502.810us          0.000us
contiguous                           2.496us          0.000us                1          2.496us          0.000us
empty                               11.647us          0.000us                1         11.647us          0.000us
_convolution_nogroup          13612463.931us          0.000us                1   13612463.931us          0.000us
thnn_conv2d                   13612456.987us          0.000us                1   13612456.987us          0.000us
thnn_conv2d_forward           13603088.258us          0.000us                1   13603088.258us          0.000us
add_                                34.495us          0.000us                1         34.495us          0.000us
batch_norm                        7718.150us          0.000us                1       7718.150us          0.000us
native_batch_norm                 7698.630us          0.000us                1       7698.630us          0.000us
