---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                                CPU time        CUDA time            Calls        CPU total       CUDA total
---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
conv2d                             260.894us          0.000us                1        260.894us          0.000us
convolution                        251.870us          0.000us                1        251.870us          0.000us
_convolution                       247.806us          0.000us                1        247.806us          0.000us
contiguous                           4.352us          0.000us                1          4.352us          0.000us
empty                               11.520us          0.000us                1         11.520us          0.000us
cudnn_convolution                  209.278us          0.000us                1        209.278us          0.000us
add_                                87.551us          0.000us                1         87.551us          0.000us
batch_norm                         167.231us          0.000us                1        167.231us          0.000us
contiguous                           3.488us          0.000us                1          3.488us          0.000us
contiguous                           1.568us          0.000us                1          1.568us          0.000us
contiguous                           1.184us          0.000us                1          1.184us          0.000us
contiguous                           1.184us          0.000us                1          1.184us          0.000us
contiguous                           1.248us          0.000us                1          1.248us          0.000us
cudnn_batch_norm                   132.000us          0.000us                1        132.000us          0.000us
threshold_                          57.120us          0.000us                1         57.120us          0.000us
max_pool2d_with_indices             68.704us          0.000us                1         68.704us          0.000us
conv2d                             134.304us          0.000us                1        134.304us          0.000us
convolution                        130.304us          0.000us                1        130.304us          0.000us
_convolution                       127.648us          0.000us                1        127.648us          0.000us
contiguous                           2.336us          0.000us                1          2.336us          0.000us
empty                                5.696us          0.000us                1          5.696us          0.000us
cudnn_convolution                  105.504us          0.000us                1        105.504us          0.000us
add_                                53.600us          0.000us                1         53.600us          0.000us
batch_norm                         117.919us          0.000us                1        117.919us          0.000us
contiguous                           2.240us          0.000us                1          2.240us          0.000us
contiguous                           1.248us          0.000us                1          1.248us          0.000us
contiguous                           1.120us          0.000us                1          1.120us          0.000us
contiguous                           1.216us          0.000us                1          1.216us          0.000us
contiguous                           1.088us          0.000us                1          1.088us          0.000us
cudnn_batch_norm                    90.944us          0.000us                1         90.944us          0.000us
threshold_                          41.375us          0.000us                1         41.375us          0.000us
conv2d                             113.151us          0.000us                1        113.151us          0.000us
convolution                        109.887us          0.000us                1        109.887us          0.000us
_convolution                       107.583us          0.000us                1        107.583us          0.000us
contiguous                           2.080us          0.000us                1          2.080us          0.000us
empty                                5.152us          0.000us                1          5.152us          0.000us
cudnn_convolution                   88.767us          0.000us                1         88.767us          0.000us
add_                                46.496us          0.000us                1         46.496us          0.000us
batch_norm                         104.896us          0.000us                1        104.896us          0.000us
contiguous                           2.048us          0.000us                1          2.048us          0.000us
contiguous                           1.088us          0.000us                1          1.088us          0.000us
contiguous                           1.152us          0.000us                1          1.152us          0.000us
contiguous                           1.216us          0.000us                1          1.216us          0.000us
contiguous                           1.248us          0.000us                1          1.248us          0.000us
cudnn_batch_norm                    80.160us          0.000us                1         80.160us          0.000us
add_                                40.127us          0.000us                1         40.127us          0.000us
threshold_                          35.520us          0.000us                1         35.520us          0.000us
conv2d                             101.375us          0.000us                1        101.375us          0.000us
convolution                         98.143us          0.000us                1         98.143us          0.000us
_convolution                        96.063us          0.000us                1         96.063us          0.000us
contiguous                           1.760us          0.000us                1          1.760us          0.000us
empty                                4.799us          0.000us                1          4.799us          0.000us
cudnn_convolution                   78.080us          0.000us                1         78.080us          0.000us
add_                               111.359us          0.000us                1        111.359us          0.000us
batch_norm                         110.463us          0.000us                1        110.463us          0.000us
contiguous                           2.208us          0.000us                1          2.208us          0.000us
contiguous                           1.344us          0.000us                1          1.344us          0.000us
contiguous                           1.376us          0.000us                1          1.376us          0.000us
contiguous                           1.119us          0.000us                1          1.119us          0.000us
contiguous                           1.312us          0.000us                1          1.312us          0.000us
cudnn_batch_norm                    83.904us          0.000us                1         83.904us          0.000us
threshold_                          38.687us          0.000us                1         38.687us          0.000us
conv2d                             107.776us          0.000us                1        107.776us          0.000us
convolution                        104.512us          0.000us                1        104.512us          0.000us
_convolution                       102.112us          0.000us                1        102.112us          0.000us
contiguous                           1.696us          0.000us                1          1.696us          0.000us
empty                                5.088us          0.000us                1          5.088us          0.000us
cudnn_convolution                   83.744us          0.000us                1         83.744us          0.000us
add_                                52.032us          0.000us                1         52.032us          0.000us
batch_norm                         113.216us          0.000us                1        113.216us          0.000us
contiguous                           2.016us          0.000us                1          2.016us          0.000us
contiguous                           1.248us          0.000us                1          1.248us          0.000us
contiguous                           1.152us          0.000us                1          1.152us          0.000us
contiguous                           1.088us          0.000us                1          1.088us          0.000us
contiguous                           1.216us          0.000us                1          1.216us          0.000us
cudnn_batch_norm                    87.840us          0.000us                1         87.840us          0.000us
add_                                40.127us          0.000us                1         40.127us          0.000us
threshold_                          46.560us          0.000us                1         46.560us          0.000us
conv2d                             123.680us          0.000us                1        123.680us          0.000us
convolution                        120.192us          0.000us                1        120.192us          0.000us
_convolution                       117.376us          0.000us                1        117.376us          0.000us
contiguous                           1.760us          0.000us                1          1.760us          0.000us
empty                                5.472us          0.000us                1          5.472us          0.000us
cudnn_convolution                   98.784us          0.000us                1         98.784us          0.000us
add_                                43.584us          0.000us                1         43.584us          0.000us
batch_norm                         110.559us          0.000us                1        110.559us          0.000us
contiguous                           2.144us          0.000us                1          2.144us          0.000us
contiguous                           1.216us          0.000us                1          1.216us          0.000us
contiguous                           1.120us          0.000us                1          1.120us          0.000us
contiguous                           1.088us          0.000us                1          1.088us          0.000us
contiguous                           1.152us          0.000us                1          1.152us          0.000us
cudnn_batch_norm                    84.415us          0.000us                1         84.415us          0.000us
threshold_                          38.879us          0.000us                1         38.879us          0.000us
conv2d                             158.079us          0.000us                1        158.079us          0.000us
convolution                        154.527us          0.000us                1        154.527us          0.000us
_convolution                       152.287us          0.000us                1        152.287us          0.000us
contiguous                           1.888us          0.000us                1          1.888us          0.000us
empty                                4.928us          0.000us                1          4.928us          0.000us
cudnn_convolution                  133.727us          0.000us                1        133.727us          0.000us
add_                                43.744us          0.000us                1         43.744us          0.000us
batch_norm                         103.296us          0.000us                1        103.296us          0.000us
contiguous                           1.824us          0.000us                1          1.824us          0.000us
contiguous                           1.184us          0.000us                1          1.184us          0.000us
contiguous                           1.312us          0.000us                1          1.312us          0.000us
contiguous                           1.056us          0.000us                1          1.056us          0.000us
contiguous                           1.120us          0.000us                1          1.120us          0.000us
cudnn_batch_norm                    79.072us          0.000us                1         79.072us          0.000us
conv2d                             115.072us          0.000us                1        115.072us          0.000us
convolution                        111.456us          0.000us                1        111.456us          0.000us
_convolution                       109.280us          0.000us                1        109.280us          0.000us
contiguous                           1.728us          0.000us                1          1.728us          0.000us
empty                                4.960us          0.000us                1          4.960us          0.000us
cudnn_convolution                   91.104us          0.000us                1         91.104us          0.000us
add_                                43.712us          0.000us                1         43.712us          0.000us
batch_norm                         103.903us          0.000us                1        103.903us          0.000us
contiguous                           1.920us          0.000us                1          1.920us          0.000us
contiguous                           1.248us          0.000us                1          1.248us          0.000us
contiguous                           1.600us          0.000us                1          1.600us          0.000us
contiguous                           1.056us          0.000us                1          1.056us          0.000us
contiguous                           1.088us          0.000us                1          1.088us          0.000us
cudnn_batch_norm                    78.975us          0.000us                1         78.975us          0.000us
add_                                49.216us          0.000us                1         49.216us          0.000us
threshold_                          35.328us          0.000us                1         35.328us          0.000us
conv2d                             130.303us          0.000us                1        130.303us          0.000us
convolution                        127.071us          0.000us                1        127.071us          0.000us
_convolution                       124.895us          0.000us                1        124.895us          0.000us
contiguous                           2.080us          0.000us                1          2.080us          0.000us
empty                                5.184us          0.000us                1          5.184us          0.000us
cudnn_convolution                  106.527us          0.000us                1        106.527us          0.000us
add_                                43.359us          0.000us                1         43.359us          0.000us
batch_norm                         101.376us          0.000us                1        101.376us          0.000us
contiguous                           1.920us          0.000us                1          1.920us          0.000us
contiguous                           1.248us          0.000us                1          1.248us          0.000us
contiguous                           1.056us          0.000us                1          1.056us          0.000us
contiguous                           1.088us          0.000us                1          1.088us          0.000us
