---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                                CPU time        CUDA time            Calls        CPU total       CUDA total
---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
conv2d                             335.837us          0.000us                1        335.837us          0.000us
convolution                        315.197us          0.000us                1        315.197us          0.000us
_convolution                       306.749us          0.000us                1        306.749us          0.000us
contiguous                          11.839us          0.000us                1         11.839us          0.000us
empty                               13.856us          0.000us                1         13.856us          0.000us
cudnn_convolution                  248.158us          0.000us                1        248.158us          0.000us
add_                               112.959us          0.000us                1        112.959us          0.000us
batch_norm                         191.039us          0.000us                1        191.039us          0.000us
contiguous                           2.912us          0.000us                1          2.912us          0.000us
contiguous                           1.248us          0.000us                1          1.248us          0.000us
contiguous                           1.088us          0.000us                1          1.088us          0.000us
contiguous                           1.088us          0.000us                1          1.088us          0.000us
contiguous                           0.992us          0.000us                1          0.992us          0.000us
cudnn_batch_norm                   152.287us          0.000us                1        152.287us          0.000us
threshold_                          71.423us          0.000us                1         71.423us          0.000us
max_pool2d_with_indices             76.063us          0.000us                1         76.063us          0.000us
conv2d                             492.060us          0.000us                1        492.060us          0.000us
convolution                        486.844us          0.000us                1        486.844us          0.000us
_convolution                       483.164us          0.000us                1        483.164us          0.000us
contiguous                           2.176us          0.000us                1          2.176us          0.000us
empty                                6.496us          0.000us                1          6.496us          0.000us
cudnn_convolution                  455.165us          0.000us                1        455.165us          0.000us
add_                                88.927us          0.000us                1         88.927us          0.000us
batch_norm                         178.110us          0.000us                1        178.110us          0.000us
contiguous                           3.520us          0.000us                1          3.520us          0.000us
contiguous                           1.664us          0.000us                1          1.664us          0.000us
contiguous                           1.184us          0.000us                1          1.184us          0.000us
contiguous                           1.248us          0.000us                1          1.248us          0.000us
contiguous                           1.248us          0.000us                1          1.248us          0.000us
cudnn_batch_norm                   141.791us          0.000us                1        141.791us          0.000us
threshold_                          67.712us          0.000us                1         67.712us          0.000us
conv2d                             494.525us          0.000us                1        494.525us          0.000us
convolution                        489.245us          0.000us                1        489.245us          0.000us
_convolution                       484.797us          0.000us                1        484.797us          0.000us
contiguous                           2.464us          0.000us                1          2.464us          0.000us
empty                               10.496us          0.000us                1         10.496us          0.000us
cudnn_convolution                  451.293us          0.000us                1        451.293us          0.000us
add_                                97.120us          0.000us                1         97.120us          0.000us
batch_norm                         172.030us          0.000us                1        172.030us          0.000us
contiguous                           2.688us          0.000us                1          2.688us          0.000us
contiguous                           1.152us          0.000us                1          1.152us          0.000us
contiguous                           1.792us          0.000us                1          1.792us          0.000us
contiguous                           1.248us          0.000us                1          1.248us          0.000us
contiguous                           1.248us          0.000us                1          1.248us          0.000us
cudnn_batch_norm                   136.831us          0.000us                1        136.831us          0.000us
add_                                72.063us          0.000us                1         72.063us          0.000us
threshold_                          58.239us          0.000us                1         58.239us          0.000us
conv2d                             382.077us          0.000us                1        382.077us          0.000us
convolution                        377.949us          0.000us                1        377.949us          0.000us
_convolution                       374.909us          0.000us                1        374.909us          0.000us
contiguous                           1.984us          0.000us                1          1.984us          0.000us
empty                                6.784us          0.000us                1          6.784us          0.000us
cudnn_convolution                  351.805us          0.000us                1        351.805us          0.000us
add_                                52.704us          0.000us                1         52.704us          0.000us
batch_norm                         120.671us          0.000us                1        120.671us          0.000us
contiguous                           2.272us          0.000us                1          2.272us          0.000us
contiguous                           1.280us          0.000us                1          1.280us          0.000us
contiguous                           1.184us          0.000us                1          1.184us          0.000us
contiguous                           1.088us          0.000us                1          1.088us          0.000us
contiguous                           1.120us          0.000us                1          1.120us          0.000us
cudnn_batch_norm                    92.288us          0.000us                1         92.288us          0.000us
threshold_                          41.216us          0.000us                1         41.216us          0.000us
conv2d                             355.550us          0.000us                1        355.550us          0.000us
convolution                        351.486us          0.000us                1        351.486us          0.000us
_convolution                       349.118us          0.000us                1        349.118us          0.000us
contiguous                           1.792us          0.000us                1          1.792us          0.000us
empty                                5.376us          0.000us                1          5.376us          0.000us
cudnn_convolution                  329.182us          0.000us                1        329.182us          0.000us
add_                                46.304us          0.000us                1         46.304us          0.000us
batch_norm                         106.112us          0.000us                1        106.112us          0.000us
contiguous                           1.952us          0.000us                1          1.952us          0.000us
contiguous                           1.504us          0.000us                1          1.504us          0.000us
contiguous                           1.120us          0.000us                1          1.120us          0.000us
contiguous                           1.344us          0.000us                1          1.344us          0.000us
contiguous                           1.056us          0.000us                1          1.056us          0.000us
cudnn_batch_norm                    79.808us          0.000us                1         79.808us          0.000us
add_                                36.608us          0.000us                1         36.608us          0.000us
threshold_                          75.743us          0.000us                1         75.743us          0.000us
conv2d                             149.694us          0.000us                1        149.694us          0.000us
convolution                        145.790us          0.000us                1        145.790us          0.000us
_convolution                       143.614us          0.000us                1        143.614us          0.000us
contiguous                           2.624us          0.000us                1          2.624us          0.000us
empty                                4.576us          0.000us                1          4.576us          0.000us
cudnn_convolution                  123.839us          0.000us                1        123.839us          0.000us
add_                                46.112us          0.000us                1         46.112us          0.000us
batch_norm                         105.215us          0.000us                1        105.215us          0.000us
contiguous                           2.048us          0.000us                1          2.048us          0.000us
contiguous                           1.280us          0.000us                1          1.280us          0.000us
contiguous                           1.152us          0.000us                1          1.152us          0.000us
contiguous                           1.312us          0.000us                1          1.312us          0.000us
contiguous                           1.088us          0.000us                1          1.088us          0.000us
cudnn_batch_norm                    79.711us          0.000us                1         79.711us          0.000us
threshold_                          37.120us          0.000us                1         37.120us          0.000us
conv2d                             148.159us          0.000us                1        148.159us          0.000us
convolution                        144.767us          0.000us                1        144.767us          0.000us
_convolution                       142.623us          0.000us                1        142.623us          0.000us
contiguous                           1.952us          0.000us                1          1.952us          0.000us
empty                                4.864us          0.000us                1          4.864us          0.000us
cudnn_convolution                  123.583us          0.000us                1        123.583us          0.000us
add_                                63.423us          0.000us                1         63.423us          0.000us
batch_norm                         101.663us          0.000us                1        101.663us          0.000us
contiguous                           1.984us          0.000us                1          1.984us          0.000us
contiguous                           1.184us          0.000us                1          1.184us          0.000us
contiguous                           1.184us          0.000us                1          1.184us          0.000us
contiguous                           1.120us          0.000us                1          1.120us          0.000us
contiguous                           1.120us          0.000us                1          1.120us          0.000us
cudnn_batch_norm                    77.919us          0.000us                1         77.919us          0.000us
conv2d                             117.599us          0.000us                1        117.599us          0.000us
convolution                        114.175us          0.000us                1        114.175us          0.000us
_convolution                       111.999us          0.000us                1        111.999us          0.000us
contiguous                           1.760us          0.000us                1          1.760us          0.000us
empty                                4.736us          0.000us                1          4.736us          0.000us
cudnn_convolution                   94.176us          0.000us                1         94.176us          0.000us
add_                                43.232us          0.000us                1         43.232us          0.000us
batch_norm                          99.167us          0.000us                1         99.167us          0.000us
contiguous                           1.855us          0.000us                1          1.855us          0.000us
contiguous                           1.280us          0.000us                1          1.280us          0.000us
contiguous                           1.120us          0.000us                1          1.120us          0.000us
contiguous                           1.088us          0.000us                1          1.088us          0.000us
contiguous                           1.216us          0.000us                1          1.216us          0.000us
cudnn_batch_norm                    75.392us          0.000us                1         75.392us          0.000us
add_                                37.791us          0.000us                1         37.791us          0.000us
threshold_                          35.872us          0.000us                1         35.872us          0.000us
conv2d                             150.655us          0.000us                1        150.655us          0.000us
convolution                        147.679us          0.000us                1        147.679us          0.000us
_convolution                       145.727us          0.000us                1        145.727us          0.000us
contiguous                           1.792us          0.000us                1          1.792us          0.000us
empty                                4.384us          0.000us                1          4.384us          0.000us
cudnn_convolution                  127.871us          0.000us                1        127.871us          0.000us
add_                                41.632us          0.000us                1         41.632us          0.000us
batch_norm                          99.807us          0.000us                1         99.807us          0.000us
contiguous                           1.952us          0.000us                1          1.952us          0.000us
contiguous                           1.216us          0.000us                1          1.216us          0.000us
contiguous                           1.088us          0.000us                1          1.088us          0.000us
contiguous                           1.152us          0.000us                1          1.152us          0.000us
