---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                                CPU time        CUDA time            Calls        CPU total       CUDA total
---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
conv2d                             265.535us          0.000us                1        265.535us          0.000us
convolution                        255.263us          0.000us                1        255.263us          0.000us
_convolution                       250.943us          0.000us                1        250.943us          0.000us
contiguous                           4.608us          0.000us                1          4.608us          0.000us
empty                               14.752us          0.000us                1         14.752us          0.000us
cudnn_convolution                  208.191us          0.000us                1        208.191us          0.000us
add_                               106.976us          0.000us                1        106.976us          0.000us
batch_norm                         269.599us          0.000us                1        269.599us          0.000us
contiguous                           4.192us          0.000us                1          4.192us          0.000us
contiguous                           1.376us          0.000us                1          1.376us          0.000us
contiguous                           1.472us          0.000us                1          1.472us          0.000us
contiguous                           1.216us          0.000us                1          1.216us          0.000us
contiguous                           1.120us          0.000us                1          1.120us          0.000us
cudnn_batch_norm                   226.079us          0.000us                1        226.079us          0.000us
threshold_                          85.375us          0.000us                1         85.375us          0.000us
max_pool2d_with_indices             90.304us          0.000us                1         90.304us          0.000us
conv2d                             475.294us          0.000us                1        475.294us          0.000us
convolution                        469.118us          0.000us                1        469.118us          0.000us
_convolution                       465.278us          0.000us                1        465.278us          0.000us
contiguous                           3.488us          0.000us                1          3.488us          0.000us
empty                                6.912us          0.000us                1          6.912us          0.000us
cudnn_convolution                  436.606us          0.000us                1        436.606us          0.000us
add_                                85.407us          0.000us                1         85.407us          0.000us
batch_norm                         172.159us          0.000us                1        172.159us          0.000us
contiguous                           2.496us          0.000us                1          2.496us          0.000us
contiguous                           1.376us          0.000us                1          1.376us          0.000us
contiguous                           1.440us          0.000us                1          1.440us          0.000us
contiguous                           1.376us          0.000us                1          1.376us          0.000us
contiguous                           1.184us          0.000us                1          1.184us          0.000us
cudnn_batch_norm                   134.783us          0.000us                1        134.783us          0.000us
threshold_                          64.736us          0.000us                1         64.736us          0.000us
conv2d                             452.094us          0.000us                1        452.094us          0.000us
convolution                        446.174us          0.000us                1        446.174us          0.000us
_convolution                       442.719us          0.000us                1        442.719us          0.000us
contiguous                           2.528us          0.000us                1          2.528us          0.000us
empty                                7.456us          0.000us                1          7.456us          0.000us
cudnn_convolution                  411.231us          0.000us                1        411.231us          0.000us
add_                                90.944us          0.000us                1         90.944us          0.000us
batch_norm                         191.680us          0.000us                1        191.680us          0.000us
contiguous                           4.256us          0.000us                1          4.256us          0.000us
contiguous                           1.504us          0.000us                1          1.504us          0.000us
contiguous                           1.632us          0.000us                1          1.632us          0.000us
contiguous                           1.216us          0.000us                1          1.216us          0.000us
contiguous                           1.440us          0.000us                1          1.440us          0.000us
cudnn_batch_norm                   151.904us          0.000us                1        151.904us          0.000us
add_                                57.152us          0.000us                1         57.152us          0.000us
threshold_                          41.312us          0.000us                1         41.312us          0.000us
conv2d                             440.255us          0.000us                1        440.255us          0.000us
convolution                        435.967us          0.000us                1        435.967us          0.000us
_convolution                       432.191us          0.000us                1        432.191us          0.000us
contiguous                           2.496us          0.000us                1          2.496us          0.000us
empty                                6.688us          0.000us                1          6.688us          0.000us
cudnn_convolution                  406.751us          0.000us                1        406.751us          0.000us
add_                                72.512us          0.000us                1         72.512us          0.000us
batch_norm                         147.488us          0.000us                1        147.488us          0.000us
contiguous                           2.528us          0.000us                1          2.528us          0.000us
contiguous                           1.600us          0.000us                1          1.600us          0.000us
contiguous                           1.280us          0.000us                1          1.280us          0.000us
contiguous                           1.088us          0.000us                1          1.088us          0.000us
contiguous                           1.184us          0.000us                1          1.184us          0.000us
cudnn_batch_norm                   114.400us          0.000us                1        114.400us          0.000us
threshold_                          54.623us          0.000us                1         54.623us          0.000us
conv2d                             412.958us          0.000us                1        412.958us          0.000us
convolution                        408.062us          0.000us                1        408.062us          0.000us
_convolution                       404.478us          0.000us                1        404.478us          0.000us
contiguous                           1.920us          0.000us                1          1.920us          0.000us
empty                                5.504us          0.000us                1          5.504us          0.000us
cudnn_convolution                  380.766us          0.000us                1        380.766us          0.000us
add_                                56.608us          0.000us                1         56.608us          0.000us
batch_norm                         116.608us          0.000us                1        116.608us          0.000us
contiguous                           2.208us          0.000us                1          2.208us          0.000us
contiguous                           1.344us          0.000us                1          1.344us          0.000us
contiguous                           1.152us          0.000us                1          1.152us          0.000us
contiguous                           1.120us          0.000us                1          1.120us          0.000us
contiguous                           1.216us          0.000us                1          1.216us          0.000us
cudnn_batch_norm                    89.536us          0.000us                1         89.536us          0.000us
add_                                40.800us          0.000us                1         40.800us          0.000us
threshold_                          37.311us          0.000us                1         37.311us          0.000us
conv2d                             133.279us          0.000us                1        133.279us          0.000us
convolution                        128.959us          0.000us                1        128.959us          0.000us
_convolution                       126.399us          0.000us                1        126.399us          0.000us
contiguous                           1.920us          0.000us                1          1.920us          0.000us
empty                                4.512us          0.000us                1          4.512us          0.000us
cudnn_convolution                  108.319us          0.000us                1        108.319us          0.000us
add_                                63.232us          0.000us                1         63.232us          0.000us
batch_norm                         108.607us          0.000us                1        108.607us          0.000us
contiguous                           1.984us          0.000us                1          1.984us          0.000us
contiguous                           1.248us          0.000us                1          1.248us          0.000us
contiguous                           1.184us          0.000us                1          1.184us          0.000us
contiguous                           1.088us          0.000us                1          1.088us          0.000us
contiguous                           0.992us          0.000us                1          0.992us          0.000us
cudnn_batch_norm                    82.015us          0.000us                1         82.015us          0.000us
threshold_                          38.464us          0.000us                1         38.464us          0.000us
conv2d                             148.959us          0.000us                1        148.959us          0.000us
convolution                        145.471us          0.000us                1        145.471us          0.000us
_convolution                       143.263us          0.000us                1        143.263us          0.000us
contiguous                           1.792us          0.000us                1          1.792us          0.000us
empty                                4.928us          0.000us                1          4.928us          0.000us
cudnn_convolution                  125.343us          0.000us                1        125.343us          0.000us
add_                                46.816us          0.000us                1         46.816us          0.000us
batch_norm                         123.360us          0.000us                1        123.360us          0.000us
contiguous                           2.240us          0.000us                1          2.240us          0.000us
contiguous                           1.440us          0.000us                1          1.440us          0.000us
contiguous                           1.120us          0.000us                1          1.120us          0.000us
contiguous                           1.088us          0.000us                1          1.088us          0.000us
contiguous                           1.120us          0.000us                1          1.120us          0.000us
cudnn_batch_norm                    98.080us          0.000us                1         98.080us          0.000us
conv2d                             117.919us          0.000us                1        117.919us          0.000us
convolution                        114.463us          0.000us                1        114.463us          0.000us
_convolution                       112.255us          0.000us                1        112.255us          0.000us
contiguous                           1.664us          0.000us                1          1.664us          0.000us
empty                                4.224us          0.000us                1          4.224us          0.000us
cudnn_convolution                   95.167us          0.000us                1         95.167us          0.000us
add_                                46.176us          0.000us                1         46.176us          0.000us
batch_norm                         104.511us          0.000us                1        104.511us          0.000us
contiguous                           1.888us          0.000us                1          1.888us          0.000us
contiguous                           1.344us          0.000us                1          1.344us          0.000us
contiguous                           1.152us          0.000us                1          1.152us          0.000us
contiguous                           1.376us          0.000us                1          1.376us          0.000us
contiguous                           1.056us          0.000us                1          1.056us          0.000us
cudnn_batch_norm                    79.487us          0.000us                1         79.487us          0.000us
add_                                38.208us          0.000us                1         38.208us          0.000us
threshold_                          34.848us          0.000us                1         34.848us          0.000us
conv2d                             151.360us          0.000us                1        151.360us          0.000us
convolution                        148.032us          0.000us                1        148.032us          0.000us
_convolution                       145.856us          0.000us                1        145.856us          0.000us
contiguous                           1.984us          0.000us                1          1.984us          0.000us
empty                                4.960us          0.000us                1          4.960us          0.000us
cudnn_convolution                  127.424us          0.000us                1        127.424us          0.000us
add_                                42.175us          0.000us                1         42.175us          0.000us
batch_norm                         102.912us          0.000us                1        102.912us          0.000us
contiguous                           2.080us          0.000us                1          2.080us          0.000us
contiguous                           1.312us          0.000us                1          1.312us          0.000us
contiguous                           1.408us          0.000us                1          1.408us          0.000us
contiguous                           1.120us          0.000us                1          1.120us          0.000us
