---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                                CPU time        CUDA time            Calls        CPU total       CUDA total
---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
conv2d                            6958.340us          0.000us                1       6958.340us          0.000us
convolution                       6948.644us          0.000us                1       6948.644us          0.000us
_convolution                      6943.716us          0.000us                1       6943.716us          0.000us
contiguous                           4.576us          0.000us                1          4.576us          0.000us
empty                               10.368us          0.000us                1         10.368us          0.000us
cudnn_convolution                 6901.924us          0.000us                1       6901.924us          0.000us
add_                               107.296us          0.000us                1        107.296us          0.000us
batch_norm                        7352.450us          0.000us                1       7352.450us          0.000us
contiguous                           3.488us          0.000us                1          3.488us          0.000us
contiguous                           1.536us          0.000us                1          1.536us          0.000us
contiguous                           1.312us          0.000us                1          1.312us          0.000us
contiguous                           1.280us          0.000us                1          1.280us          0.000us
contiguous                           1.120us          0.000us                1          1.120us          0.000us
cudnn_batch_norm                  7301.858us          0.000us                1       7301.858us          0.000us
threshold_                         111.456us          0.000us                1        111.456us          0.000us
max_pool2d_with_indices            116.383us          0.000us                1        116.383us          0.000us
conv2d                             461.886us          0.000us                1        461.886us          0.000us
convolution                        455.166us          0.000us                1        455.166us          0.000us
_convolution                       451.390us          0.000us                1        451.390us          0.000us
contiguous                           3.232us          0.000us                1          3.232us          0.000us
empty                                7.392us          0.000us                1          7.392us          0.000us
cudnn_convolution                  420.350us          0.000us                1        420.350us          0.000us
add_                                77.184us          0.000us                1         77.184us          0.000us
batch_norm                         158.143us          0.000us                1        158.143us          0.000us
contiguous                           3.200us          0.000us                1          3.200us          0.000us
contiguous                           1.344us          0.000us                1          1.344us          0.000us
contiguous                           1.376us          0.000us                1          1.376us          0.000us
contiguous                           1.280us          0.000us                1          1.280us          0.000us
contiguous                           1.088us          0.000us                1          1.088us          0.000us
cudnn_batch_norm                   121.855us          0.000us                1        121.855us          0.000us
threshold_                          46.048us          0.000us                1         46.048us          0.000us
conv2d                             358.239us          0.000us                1        358.239us          0.000us
convolution                        354.239us          0.000us                1        354.239us          0.000us
_convolution                       351.711us          0.000us                1        351.711us          0.000us
contiguous                           1.664us          0.000us                1          1.664us          0.000us
empty                                6.656us          0.000us                1          6.656us          0.000us
cudnn_convolution                  329.567us          0.000us                1        329.567us          0.000us
add_                                51.711us          0.000us                1         51.711us          0.000us
batch_norm                         114.944us          0.000us                1        114.944us          0.000us
contiguous                           2.208us          0.000us                1          2.208us          0.000us
contiguous                           1.440us          0.000us                1          1.440us          0.000us
contiguous                           1.472us          0.000us                1          1.472us          0.000us
contiguous                           1.312us          0.000us                1          1.312us          0.000us
contiguous                           1.152us          0.000us                1          1.152us          0.000us
cudnn_batch_norm                    87.360us          0.000us                1         87.360us          0.000us
add_                                43.007us          0.000us                1         43.007us          0.000us
threshold_                          36.384us          0.000us                1         36.384us          0.000us
conv2d                             332.127us          0.000us                1        332.127us          0.000us
convolution                        329.055us          0.000us                1        329.055us          0.000us
_convolution                       326.751us          0.000us                1        326.751us          0.000us
contiguous                           1.792us          0.000us                1          1.792us          0.000us
empty                                4.896us          0.000us                1          4.896us          0.000us
cudnn_convolution                  308.223us          0.000us                1        308.223us          0.000us
add_                                48.736us          0.000us                1         48.736us          0.000us
batch_norm                         103.232us          0.000us                1        103.232us          0.000us
contiguous                           1.888us          0.000us                1          1.888us          0.000us
contiguous                           1.216us          0.000us                1          1.216us          0.000us
contiguous                           1.152us          0.000us                1          1.152us          0.000us
contiguous                           1.120us          0.000us                1          1.120us          0.000us
contiguous                           1.088us          0.000us                1          1.088us          0.000us
cudnn_batch_norm                    78.656us          0.000us                1         78.656us          0.000us
threshold_                          36.480us          0.000us                1         36.480us          0.000us
conv2d                             376.606us          0.000us                1        376.606us          0.000us
convolution                        372.958us          0.000us                1        372.958us          0.000us
_convolution                       370.366us          0.000us                1        370.366us          0.000us
contiguous                           1.632us          0.000us                1          1.632us          0.000us
empty                                5.472us          0.000us                1          5.472us          0.000us
cudnn_convolution                  348.735us          0.000us                1        348.735us          0.000us
add_                                77.792us          0.000us                1         77.792us          0.000us
batch_norm                         148.608us          0.000us                1        148.608us          0.000us
contiguous                           2.784us          0.000us                1          2.784us          0.000us
contiguous                           1.184us          0.000us                1          1.184us          0.000us
contiguous                           1.184us          0.000us                1          1.184us          0.000us
contiguous                           1.120us          0.000us                1          1.120us          0.000us
contiguous                           1.088us          0.000us                1          1.088us          0.000us
cudnn_batch_norm                   118.112us          0.000us                1        118.112us          0.000us
add_                                61.695us          0.000us                1         61.695us          0.000us
threshold_                          68.160us          0.000us                1         68.160us          0.000us
conv2d                             249.919us          0.000us                1        249.919us          0.000us
convolution                        242.591us          0.000us                1        242.591us          0.000us
_convolution                       239.167us          0.000us                1        239.167us          0.000us
contiguous                           4.064us          0.000us                1          4.064us          0.000us
empty                                9.440us          0.000us                1          9.440us          0.000us
cudnn_convolution                  206.719us          0.000us                1        206.719us          0.000us
add_                                88.255us          0.000us                1         88.255us          0.000us
batch_norm                         181.599us          0.000us                1        181.599us          0.000us
contiguous                           3.456us          0.000us                1          3.456us          0.000us
contiguous                           1.312us          0.000us                1          1.312us          0.000us
contiguous                           1.152us          0.000us                1          1.152us          0.000us
contiguous                           1.152us          0.000us                1          1.152us          0.000us
contiguous                           1.120us          0.000us                1          1.120us          0.000us
cudnn_batch_norm                   143.359us          0.000us                1        143.359us          0.000us
threshold_                          63.072us          0.000us                1         63.072us          0.000us
conv2d                             181.408us          0.000us                1        181.408us          0.000us
convolution                        176.832us          0.000us                1        176.832us          0.000us
_convolution                       173.728us          0.000us                1        173.728us          0.000us
contiguous                           2.016us          0.000us                1          2.016us          0.000us
empty                                6.720us          0.000us                1          6.720us          0.000us
cudnn_convolution                  148.288us          0.000us                1        148.288us          0.000us
add_                                55.616us          0.000us                1         55.616us          0.000us
batch_norm                         122.623us          0.000us                1        122.623us          0.000us
contiguous                           2.432us          0.000us                1          2.432us          0.000us
contiguous                           1.280us          0.000us                1          1.280us          0.000us
contiguous                           1.216us          0.000us                1          1.216us          0.000us
contiguous                           1.088us          0.000us                1          1.088us          0.000us
contiguous                           1.152us          0.000us                1          1.152us          0.000us
cudnn_batch_norm                    95.519us          0.000us                1         95.519us          0.000us
conv2d                             136.255us          0.000us                1        136.255us          0.000us
convolution                        131.999us          0.000us                1        131.999us          0.000us
_convolution                       129.439us          0.000us                1        129.439us          0.000us
contiguous                           1.792us          0.000us                1          1.792us          0.000us
empty                                5.216us          0.000us                1          5.216us          0.000us
cudnn_convolution                  109.695us          0.000us                1        109.695us          0.000us
add_                                48.928us          0.000us                1         48.928us          0.000us
batch_norm                         106.719us          0.000us                1        106.719us          0.000us
contiguous                           2.144us          0.000us                1          2.144us          0.000us
contiguous                           1.376us          0.000us                1          1.376us          0.000us
contiguous                           0.960us          0.000us                1          0.960us          0.000us
contiguous                           1.184us          0.000us                1          1.184us          0.000us
contiguous                           1.152us          0.000us                1          1.152us          0.000us
cudnn_batch_norm                    81.951us          0.000us                1         81.951us          0.000us
add_                                40.736us          0.000us                1         40.736us          0.000us
threshold_                          35.584us          0.000us                1         35.584us          0.000us
conv2d                             134.943us          0.000us                1        134.943us          0.000us
convolution                        131.519us          0.000us                1        131.519us          0.000us
_convolution                       129.279us          0.000us                1        129.279us          0.000us
contiguous                           1.760us          0.000us                1          1.760us          0.000us
empty                                4.896us          0.000us                1          4.896us          0.000us
cudnn_convolution                  111.008us          0.000us                1        111.008us          0.000us
add_                                43.328us          0.000us                1         43.328us          0.000us
batch_norm                         105.216us          0.000us                1        105.216us          0.000us
contiguous                           2.112us          0.000us                1          2.112us          0.000us
contiguous                           1.440us          0.000us                1          1.440us          0.000us
contiguous                           1.344us          0.000us                1          1.344us          0.000us
contiguous                           1.152us          0.000us                1          1.152us          0.000us
