---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                                CPU time        CUDA time            Calls        CPU total       CUDA total
---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
conv2d                         1984610.039us    2019243.328us                1    1984610.039us    2019243.328us
convolution                    1984549.912us    2019204.637us                1    1984549.912us    2019204.637us
_convolution                   1984490.552us    2019162.267us                1    1984490.552us    2019162.267us
contiguous                          16.767us         16.480us                1         16.767us         16.480us
empty                               22.016us         22.432us                1         22.016us         22.432us
cudnn_convolution              1984332.441us    2019046.052us                1    1984332.441us    2019046.052us
add_                               292.381us          6.470us                1        292.381us          6.470us
batch_norm                       88119.893us      75114.868us                1      88119.893us      75114.868us
contiguous                          25.727us          0.610us                1         25.727us          0.610us
contiguous                          13.440us          0.488us                1         13.440us          0.488us
contiguous                          13.088us          0.610us                1         13.088us          0.610us
contiguous                          15.072us          0.610us                1         15.072us          0.610us
contiguous                          13.536us          0.610us                1         13.536us          0.610us
cudnn_batch_norm                 87839.287us      75106.567us                1      87839.287us      75106.567us
threshold_                         260.126us      15109.863us                1        260.126us      15109.863us
max_pool2d_with_indices           5842.576us      17294.434us                1       5842.576us      17294.434us
conv2d                         1248868.606us    1253251.953us                1    1248868.606us    1253251.953us
convolution                    1248810.431us    1253250.732us                1    1248810.431us    1253250.732us
_convolution                   1248771.455us    1253249.756us                1    1248771.455us    1253249.756us
contiguous                          20.928us          0.732us                1         20.928us          0.732us
empty                               29.120us          0.732us                1         29.120us          0.732us
cudnn_convolution              1248590.272us    1253245.850us                1    1248590.272us    1253245.850us
add_                               206.366us          6.836us                1        206.366us          6.836us
batch_norm                         576.219us      10603.516us                1        576.219us      10603.516us
contiguous                          27.456us          0.488us                1         27.456us          0.488us
contiguous                          16.736us          0.732us                1         16.736us          0.732us
contiguous                          14.624us          0.732us                1         14.624us          0.732us
contiguous                          13.823us          0.732us                1         13.823us          0.732us
contiguous                          14.688us          0.732us                1         14.688us          0.732us
cudnn_batch_norm                   316.574us      10596.191us                1        316.574us      10596.191us
threshold_                         145.887us       7503.906us                1        145.887us       7503.906us
max_pool2d_with_indices            179.518us       8660.645us                1        179.518us       8660.645us
conv2d                          822570.431us     782179.932us                1     822570.431us     782179.932us
convolution                     822520.831us     782178.711us                1     822520.831us     782178.711us
_convolution                    822483.711us     782177.246us                1     822483.711us     782177.246us
contiguous                          20.096us          0.732us                1         20.096us          0.732us
empty                               27.296us          0.732us                1         27.296us          0.732us
cudnn_convolution               822327.488us     782173.340us                1     822327.488us     782173.340us
add_                               187.326us          6.836us                1        187.326us          6.836us
batch_norm                         540.219us       6353.027us                1        540.219us       6353.027us
contiguous                          23.808us          0.977us                1         23.808us          0.977us
contiguous                          14.560us          0.488us                1         14.560us          0.488us
contiguous                          15.871us          0.488us                1         15.871us          0.488us
contiguous                          13.216us          0.488us                1         13.216us          0.488us
contiguous                          14.560us          0.488us                1         14.560us          0.488us
cudnn_batch_norm                   301.661us       6345.215us                1        301.661us       6345.215us
threshold_                         144.511us       4116.211us                1        144.511us       4116.211us
conv2d                         1118150.003us    1126638.184us                1    1118150.003us    1126638.184us
convolution                    1118099.604us    1126636.230us                1    1118099.604us    1126636.230us
_convolution                   1118060.629us    1126635.254us                1    1118060.629us    1126635.254us
contiguous                          22.272us          0.488us                1         22.272us          0.488us
empty                               27.327us          0.977us                1         27.327us          0.977us
cudnn_convolution              1117903.446us    1126631.348us                1    1117903.446us    1126631.348us
add_                               191.294us          6.348us                1        191.294us          6.348us
batch_norm                         572.764us       5034.180us                1        572.764us       5034.180us
contiguous                          27.487us          0.488us                1         27.487us          0.488us
contiguous                          16.800us          0.488us                1         16.800us          0.488us
contiguous                          15.552us          0.977us                1         15.552us          0.977us
contiguous                          33.056us          0.488us                1         33.056us          0.488us
contiguous                          15.008us          0.977us                1         15.008us          0.977us
cudnn_batch_norm                   296.350us       5026.367us                1        296.350us       5026.367us
threshold_                         151.679us       3817.871us                1        151.679us       3817.871us
max_pool2d_with_indices            160.255us       4412.109us                1        160.255us       4412.109us
conv2d                          982268.317us     948004.395us                1     982268.317us     948004.395us
convolution                     982219.614us     948003.418us                1     982219.614us     948003.418us
_convolution                    982183.294us     948001.953us                1     982183.294us     948001.953us
contiguous                          18.624us          0.488us                1         18.624us          0.488us
empty                               25.183us          0.488us                1         25.183us          0.488us
cudnn_convolution               982037.856us     947998.047us                1     982037.856us     947998.047us
add_                               199.870us          6.836us                1        199.870us          6.836us
batch_norm                         589.275us       2743.164us                1        589.275us       2743.164us
contiguous                          25.760us          0.488us                1         25.760us          0.488us
contiguous                          16.672us          0.488us                1         16.672us          0.488us
contiguous                          15.232us          0.488us                1         15.232us          0.488us
contiguous                          16.288us          0.488us                1         16.288us          0.488us
contiguous                          14.400us          0.488us                1         14.400us          0.488us
cudnn_batch_norm                   323.774us       2735.352us                1        323.774us       2735.352us
threshold_                         149.375us       2035.645us                1        149.375us       2035.645us
conv2d                         1575087.728us    1590558.594us                1    1575087.728us    1590558.594us
convolution                    1575042.609us    1590557.617us                1    1575042.609us    1590557.617us
_convolution                   1575006.609us    1590556.152us                1    1575006.609us    1590556.152us
contiguous                          19.968us          0.977us                1         19.968us          0.977us
empty                               26.079us          0.488us                1         26.079us          0.488us
cudnn_convolution              1574861.810us    1590552.246us                1    1574861.810us    1590552.246us
add_                               141.023us          6.836us                1        141.023us          6.836us
batch_norm                         433.533us       2485.352us                1        433.533us       2485.352us
contiguous                          20.448us          0.488us                1         20.448us          0.488us
contiguous                          13.152us          0.488us                1         13.152us          0.488us
contiguous                          14.208us          0.488us                1         14.208us          0.488us
contiguous                          12.672us          0.977us                1         12.672us          0.977us
contiguous                          13.504us          0.488us                1         13.504us          0.488us
cudnn_batch_norm                   230.558us       2478.027us                1        230.558us       2478.027us
threshold_                          96.511us       1870.117us                1         96.511us       1870.117us
max_pool2d_with_indices            113.375us       2281.738us                1        113.375us       2281.738us
conv2d                          795147.908us     757122.070us                1     795147.908us     757122.070us
convolution                     795109.764us     757120.117us                1     795109.764us     757120.117us
_convolution                    795076.804us     757119.629us                1     795076.804us     757119.629us
contiguous                          14.880us          0.488us                1         14.880us          0.488us
empty                               19.552us          0.488us                1         19.552us          0.488us
cudnn_convolution               794951.397us     757115.723us                1     794951.397us     757115.723us
add_                               221.055us          6.836us                1        221.055us          6.836us
batch_norm                         741.626us        837.891us                1        741.626us        837.891us
contiguous                          28.448us          0.977us                1         28.448us          0.977us
contiguous                          16.704us          0.977us                1         16.704us          0.977us
contiguous                          16.672us          0.000us                1         16.672us          0.000us
contiguous                          16.064us          0.977us                1         16.064us          0.977us
contiguous                          15.903us          0.977us                1         15.903us          0.977us
cudnn_batch_norm                   443.069us        831.055us                1        443.069us        831.055us
threshold_                         186.494us        485.352us                1        186.494us        485.352us
conv2d                             653.499us      14593.750us                1        653.499us      14593.750us
convolution                        604.763us      14591.797us                1        604.763us      14591.797us
_convolution                       566.236us      14590.820us                1        566.236us      14590.820us
contiguous                          19.328us          0.977us                1         19.328us          0.977us
empty                               29.664us          0.977us                1         29.664us          0.977us
cudnn_convolution                  420.925us      14586.914us                1        420.925us      14586.914us
add_                               100.352us          4.883us                1        100.352us          4.883us
batch_norm                         392.573us        843.750us                1        392.573us        843.750us
contiguous                          19.552us          0.977us                1         19.552us          0.977us
contiguous                          15.008us          0.000us                1         15.008us          0.000us
contiguous                          13.823us          0.977us                1         13.823us          0.977us
contiguous                          13.824us          0.977us                1         13.824us          0.977us
contiguous                          13.728us          0.977us                1         13.728us          0.977us
cudnn_batch_norm                   186.750us        835.938us                1        186.750us        835.938us
threshold_                          97.408us        476.562us                1         97.408us        476.562us
max_pool2d_with_indices            123.519us        603.516us                1        123.519us        603.516us
view                                54.752us          0.000us                1         54.752us          0.000us
