---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                                CPU time        CUDA time            Calls        CPU total       CUDA total
---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
conv2d                             464.156us      29432.479us                1        464.156us      29432.479us
convolution                        416.701us      29408.161us                1        416.701us      29408.161us
_convolution                       386.141us      29390.720us                1        386.141us      29390.720us
contiguous                          17.760us         17.888us                1         17.760us         17.888us
empty                               23.967us         24.000us                1         23.967us         24.000us
cudnn_convolution                  264.286us      29292.000us                1        264.286us      29292.000us
add_                               108.063us          6.081us                1        108.063us          6.081us
batch_norm                         371.901us      18727.650us                1        371.901us      18727.650us
contiguous                          16.800us          0.607us                1         16.800us          0.607us
contiguous                          13.536us          0.639us                1         13.536us          0.639us
contiguous                          13.279us          0.639us                1         13.279us          0.639us
contiguous                          12.736us          0.513us                1         12.736us          0.513us
contiguous                          13.600us          0.641us                1         13.600us          0.641us
cudnn_batch_norm                   185.182us      18719.809us                1        185.182us      18719.809us
threshold_                          81.024us      14388.321us                1         81.024us      14388.321us
max_pool2d_with_indices            108.319us      16943.684us                1        108.319us      16943.684us
conv2d                             458.588us      47948.647us                1        458.588us      47948.647us
convolution                        359.965us      47947.365us                1        359.965us      47947.365us
_convolution                       330.942us      47946.083us                1        330.942us      47946.083us
contiguous                          14.272us          0.511us                1         14.272us          0.511us
empty                               19.360us          0.641us                1         19.360us          0.641us
cudnn_convolution                  228.094us      47941.948us                1        228.094us      47941.948us
add_                                78.015us          6.531us                1         78.015us          6.531us
batch_norm                         305.566us       9448.486us                1        305.566us       9448.486us
contiguous                          16.896us          0.626us                1         16.896us          0.626us
contiguous                          14.432us          0.641us                1         14.432us          0.641us
contiguous                          12.640us          0.519us                1         12.640us          0.519us
contiguous                          11.808us          0.641us                1         11.808us          0.641us
contiguous                          11.648us          0.519us                1         11.648us          0.519us
cudnn_batch_norm                   130.175us       9440.796us                1        130.175us       9440.796us
threshold_                          70.400us       7282.242us                1         70.400us       7282.242us
max_pool2d_with_indices             77.184us       8496.933us                1         77.184us       8496.933us
conv2d                             335.869us      30664.322us                1        335.869us      30664.322us
convolution                        306.973us      30663.040us                1        306.973us      30663.040us
_convolution                       281.214us      30661.758us                1        281.214us      30661.758us
contiguous                          13.152us          0.504us                1         13.152us          0.504us
empty                               16.927us          0.641us                1         16.927us          0.641us
cudnn_convolution                  187.551us      30657.730us                1        187.551us      30657.730us
add_                                64.223us          4.822us                1         64.223us          4.822us
batch_norm                         296.798us       4699.051us                1        296.798us       4699.051us
contiguous                          16.000us          0.641us                1         16.000us          0.641us
contiguous                          12.960us          0.488us                1         12.960us          0.488us
contiguous                          12.160us          0.641us                1         12.160us          0.641us
contiguous                          13.760us          0.519us                1         13.760us          0.519us
contiguous                          12.960us          0.641us                1         12.960us          0.641us
cudnn_batch_norm                   126.719us       4691.360us                1        126.719us       4691.360us
threshold_                          55.743us       3639.038us                1         55.743us       3639.038us
conv2d                             316.989us      49368.805us                1        316.989us      49368.805us
convolution                        289.374us      49367.554us                1        289.374us      49367.554us
_convolution                       262.814us      49366.516us                1        262.814us      49366.516us
contiguous                          13.760us          0.595us                1         13.760us          0.595us
empty                               17.728us          0.641us                1         17.728us          0.641us
cudnn_convolution                  168.062us      49362.564us                1        168.062us      49362.564us
add_                                59.168us          5.432us                1         59.168us          5.432us
batch_norm                         287.902us       4619.690us                1        287.902us       4619.690us
contiguous                          15.456us          0.641us                1         15.456us          0.641us
contiguous                          12.640us          0.641us                1         12.640us          0.641us
contiguous                          12.863us          0.595us                1         12.863us          0.595us
contiguous                          12.768us          0.641us                1         12.768us          0.641us
contiguous                          12.512us          0.610us                1         12.512us          0.610us
cudnn_batch_norm                   121.535us       4612.000us                1        121.535us       4612.000us
threshold_                          56.992us       3634.521us                1         56.992us       3634.521us
max_pool2d_with_indices             75.520us       4291.016us                1         75.520us       4291.016us
conv2d                             326.398us      25970.703us                1        326.398us      25970.703us
convolution                        297.726us      25969.589us                1        297.726us      25969.589us
_convolution                       270.814us      25968.338us                1        270.814us      25968.338us
contiguous                          13.568us          0.488us                1         13.568us          0.488us
empty                               16.736us          0.641us                1         16.736us          0.641us
cudnn_convolution                  176.863us      25964.188us                1        176.863us      25964.188us
add_                                75.807us          5.249us                1         75.807us          5.249us
batch_norm                         281.725us       2359.833us                1        281.725us       2359.833us
contiguous                          15.456us          0.641us                1         15.456us          0.641us
contiguous                          12.704us          0.641us                1         12.704us          0.641us
contiguous                          11.808us          0.519us                1         11.808us          0.519us
contiguous                          12.032us          0.641us                1         12.032us          0.641us
contiguous                          11.776us          0.519us                1         11.776us          0.519us
cudnn_batch_norm                   115.487us       2352.020us                1        115.487us       2352.020us
threshold_                         106.207us       1810.120us                1        106.207us       1810.120us
conv2d                             320.893us      44723.480us                1        320.893us      44723.480us
convolution                        292.158us      44722.260us                1        292.158us      44722.260us
_convolution                       265.822us      44721.130us                1        265.822us      44721.130us
contiguous                          12.736us          0.641us                1         12.736us          0.641us
empty                               17.024us          0.488us                1         17.024us          0.488us
cudnn_convolution                  173.470us      44716.980us                1        173.470us      44716.980us
add_                                75.168us          5.280us                1         75.168us          5.280us
batch_norm                         280.478us       2324.280us                1        280.478us       2324.280us
contiguous                          15.328us          0.610us                1         15.328us          0.610us
contiguous                          12.287us          0.641us                1         12.287us          0.641us
contiguous                          13.280us          0.610us                1         13.280us          0.610us
contiguous                          12.960us          0.641us                1         12.960us          0.641us
contiguous                          12.224us          0.610us                1         12.224us          0.610us
cudnn_batch_norm                   113.855us       2316.650us                1        113.855us       2316.650us
threshold_                          56.064us       1806.915us                1         56.064us       1806.915us
max_pool2d_with_indices             75.744us       2138.611us                1         75.744us       2138.611us
conv2d                             343.677us      13703.735us                1        343.677us      13703.735us
convolution                        314.333us      13702.698us                1        314.333us      13702.698us
_convolution                       286.526us      13701.447us                1        286.526us      13701.447us
contiguous                          13.024us          0.641us                1         13.024us          0.641us
empty                               17.247us          0.519us                1         17.247us          0.519us
cudnn_convolution                  190.751us      13697.418us                1        190.751us      13697.418us
add_                                67.263us          4.822us                1         67.263us          4.822us
batch_norm                         289.854us        788.147us                1        289.854us        788.147us
contiguous                          15.168us          0.488us                1         15.168us          0.488us
contiguous                          12.384us          0.641us                1         12.384us          0.641us
contiguous                          12.640us          0.641us                1         12.640us          0.641us
contiguous                          11.679us          0.641us                1         11.679us          0.641us
contiguous                          12.384us          0.641us                1         12.384us          0.641us
cudnn_batch_norm                   123.999us        780.792us                1        123.999us        780.792us
threshold_                          59.167us        430.908us                1         59.167us        430.908us
conv2d                             347.005us      13723.206us                1        347.005us      13723.206us
convolution                        318.238us      13722.076us                1        318.238us      13722.076us
_convolution                       292.606us      13720.795us                1        292.606us      13720.795us
contiguous                          13.376us          0.610us                1         13.376us          0.610us
empty                               18.912us          0.641us                1         18.912us          0.641us
cudnn_convolution                  194.302us      13716.797us                1        194.302us      13716.797us
add_                                60.160us          4.974us                1         60.160us          4.974us
batch_norm                         275.998us        795.044us                1        275.998us        795.044us
contiguous                          15.232us          0.641us                1         15.232us          0.641us
contiguous                          13.088us          0.610us                1         13.088us          0.610us
contiguous                          11.488us          0.641us                1         11.488us          0.641us
contiguous                          12.320us          0.519us                1         12.320us          0.519us
contiguous                          11.968us          0.641us                1         11.968us          0.641us
cudnn_batch_norm                   111.167us        787.720us                1        111.167us        787.720us
threshold_                          57.920us        432.495us                1         57.920us        432.495us
max_pool2d_with_indices             79.264us        545.441us                1         79.264us        545.441us
view                                33.408us          0.641us                1         33.408us          0.641us
unsigned short                      31.616us          0.610us                1         31.616us          0.610us
addmm                              141.982us      15986.572us                1        141.982us      15986.572us
threshold_                          59.807us         20.020us                1         59.807us         20.020us
dropout                            198.622us         36.804us                1        198.622us         36.804us
