---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                                CPU time        CUDA time            Calls        CPU total       CUDA total
---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
conv2d                             468.573us      29127.808us                1        468.573us      29127.808us
convolution                        421.598us      29105.120us                1        421.598us      29105.120us
_convolution                       389.086us      29087.041us                1        389.086us      29087.041us
contiguous                          16.448us         17.600us                1         16.448us         17.600us
empty                               23.328us         23.808us                1         23.328us         23.808us
cudnn_convolution                  265.694us      28988.959us                1        265.694us      28988.959us
add_                               117.791us          6.081us                1        117.791us          6.081us
batch_norm                         442.301us      18715.040us                1        442.301us      18715.040us
contiguous                          17.600us          0.641us                1         17.600us          0.641us
contiguous                          13.279us          0.641us                1         13.279us          0.641us
contiguous                          12.864us          0.639us                1         12.864us          0.639us
contiguous                          12.544us          0.639us                1         12.544us          0.639us
contiguous                          14.336us          0.639us                1         14.336us          0.639us
cudnn_batch_norm                   255.390us      18707.327us                1        255.390us      18707.327us
threshold_                          85.919us      14289.730us                1         85.919us      14289.730us
max_pool2d_with_indices            107.487us      16873.955us                1        107.487us      16873.955us
conv2d                             403.197us      45887.833us                1        403.197us      45887.833us
convolution                        371.454us      45886.566us                1        371.454us      45886.566us
_convolution                       341.470us      45885.406us                1        341.470us      45885.406us
contiguous                          14.496us          0.511us                1         14.496us          0.511us
empty                               19.648us          0.641us                1         19.648us          0.641us
cudnn_convolution                  233.726us      45881.149us                1        233.726us      45881.149us
add_                                84.000us          5.440us                1         84.000us          5.440us
batch_norm                         367.902us       9352.165us                1        367.902us       9352.165us
contiguous                          17.472us          0.511us                1         17.472us          0.511us
contiguous                          12.864us          0.641us                1         12.864us          0.641us
contiguous                          12.704us          0.511us                1         12.704us          0.511us
contiguous                          11.552us          0.633us                1         11.552us          0.633us
contiguous                          12.576us          0.481us                1         12.576us          0.481us
cudnn_batch_norm                   193.503us       9344.322us                1        193.503us       9344.322us
threshold_                          68.607us       7136.322us                1         68.607us       7136.322us
max_pool2d_with_indices             81.823us       8479.492us                1         81.823us       8479.492us
conv2d                             352.414us      30732.132us                1        352.414us      30732.132us
convolution                        322.750us      30730.881us                1        322.750us      30730.881us
_convolution                       294.814us      30729.599us                1        294.814us      30729.599us
contiguous                          13.631us          0.641us                1         13.631us          0.641us
empty                               17.248us          0.519us                1         17.248us          0.519us
cudnn_convolution                  197.663us      30725.433us                1        197.663us      30725.433us
add_                                66.048us          5.280us                1         66.048us          5.280us
batch_norm                         291.966us       4659.836us                1        291.966us       4659.836us
contiguous                          15.168us          0.473us                1         15.168us          0.473us
contiguous                          13.120us          0.641us                1         13.120us          0.641us
contiguous                          12.864us          0.519us                1         12.864us          0.519us
contiguous                          12.447us          0.641us                1         12.447us          0.641us
contiguous                          12.704us          0.519us                1         12.704us          0.519us
cudnn_batch_norm                   121.727us       4652.161us                1        121.727us       4652.161us
threshold_                          61.696us       3571.518us                1         61.696us       3571.518us
conv2d                             340.638us      49274.399us                1        340.638us      49274.399us
convolution                        311.486us      49273.239us                1        311.486us      49273.239us
_convolution                       284.382us      49272.018us                1        284.382us      49272.018us
contiguous                          14.048us          0.641us                1         14.048us          0.641us
empty                               18.624us          0.488us                1         18.624us          0.488us
cudnn_convolution                  185.438us      49268.173us                1        185.438us      49268.173us
add_                                62.431us          4.791us                1         62.431us          4.791us
batch_norm                         282.078us       4621.964us                1        282.078us       4621.964us
contiguous                          15.232us          0.641us                1         15.232us          0.641us
contiguous                          13.088us          0.473us                1         13.088us          0.473us
contiguous                          11.904us          0.641us                1         11.904us          0.641us
contiguous                          12.288us          0.473us                1         12.288us          0.473us
contiguous                          12.640us          0.641us                1         12.640us          0.641us
cudnn_batch_norm                   116.479us       4614.243us                1        116.479us       4614.243us
threshold_                          55.487us       3537.643us                1         55.487us       3537.643us
max_pool2d_with_indices             82.207us       4306.244us                1         82.207us       4306.244us
conv2d                             348.862us      25991.669us                1        348.862us      25991.669us
convolution                        319.710us      25990.417us                1        319.710us      25990.417us
_convolution                       291.294us      25989.288us                1        291.294us      25989.288us
contiguous                          13.023us          0.641us                1         13.023us          0.641us
empty                               18.016us          0.641us                1         18.016us          0.641us
cudnn_convolution                  197.023us      25985.397us                1        197.023us      25985.397us
add_                                62.848us          4.974us                1         62.848us          4.974us
batch_norm                         287.774us       2343.658us                1        287.774us       2343.658us
contiguous                          15.360us          0.610us                1         15.360us          0.610us
contiguous                          13.024us          0.641us                1         13.024us          0.641us
contiguous                          12.480us          0.641us                1         12.480us          0.641us
contiguous                          12.288us          0.519us                1         12.288us          0.519us
contiguous                          12.320us          0.641us                1         12.320us          0.641us
cudnn_batch_norm                   120.576us       2335.846us                1        120.576us       2335.846us
threshold_                          57.056us       1770.721us                1         57.056us       1770.721us
conv2d                             336.350us      44825.745us                1        336.350us      44825.745us
convolution                        307.262us      44824.493us                1        307.262us      44824.493us
_convolution                       279.358us      44823.242us                1        279.358us      44823.242us
contiguous                          14.048us          0.641us                1         14.048us          0.641us
empty                               18.464us          0.610us                1         18.464us          0.610us
cudnn_convolution                  181.727us      44819.366us                1        181.727us      44819.366us
add_                                62.527us          5.127us                1         62.527us          5.127us
batch_norm                         278.174us       2348.969us                1        278.174us       2348.969us
contiguous                          15.104us          0.519us                1         15.104us          0.519us
contiguous                          12.864us          0.641us                1         12.864us          0.641us
contiguous                          12.383us          0.519us                1         12.383us          0.519us
contiguous                          12.064us          0.641us                1         12.064us          0.641us
contiguous                          12.768us          0.488us                1         12.768us          0.488us
cudnn_batch_norm                   112.959us       2341.309us                1        112.959us       2341.309us
threshold_                          59.552us       1740.967us                1         59.552us       1740.967us
max_pool2d_with_indices             73.984us       2154.205us                1         73.984us       2154.205us
conv2d                             527.357us      13740.021us                1        527.357us      13740.021us
convolution                        498.141us      13739.014us                1        498.141us      13739.014us
_convolution                       471.037us      13737.762us                1        471.037us      13737.762us
contiguous                          12.256us          0.610us                1         12.256us          0.610us
empty                               16.736us          0.641us                1         16.736us          0.641us
cudnn_convolution                  216.670us      13733.765us                1        216.670us      13733.765us
add_                                68.831us          4.944us                1         68.831us          4.944us
batch_norm                         293.726us        787.048us                1        293.726us        787.048us
contiguous                          15.648us          0.641us                1         15.648us          0.641us
contiguous                          13.088us          0.519us                1         13.088us          0.519us
contiguous                          12.160us          0.641us                1         12.160us          0.641us
contiguous                          12.128us          0.610us                1         12.128us          0.610us
contiguous                          11.520us          0.641us                1         11.520us          0.641us
cudnn_batch_norm                   123.775us        779.663us                1        123.775us        779.663us
threshold_                          57.664us        436.005us                1         57.664us        436.005us
conv2d                             350.238us      13701.935us                1        350.238us      13701.935us
convolution                        320.126us      13700.684us                1        320.126us      13700.684us
_convolution                       293.054us      13699.646us                1        293.054us      13699.646us
contiguous                          12.768us          0.641us                1         12.768us          0.641us
empty                               18.880us          0.641us                1         18.880us          0.641us
cudnn_convolution                  196.447us      13695.679us                1        196.447us      13695.679us
add_                               110.911us          5.096us                1        110.911us          5.096us
batch_norm                         284.670us        788.483us                1        284.670us        788.483us
contiguous                          15.648us          0.488us                1         15.648us          0.488us
contiguous                          13.439us          0.641us                1         13.439us          0.641us
contiguous                          12.544us          0.519us                1         12.544us          0.519us
contiguous                          12.640us          0.641us                1         12.640us          0.641us
contiguous                          11.872us          0.641us                1         11.872us          0.641us
cudnn_batch_norm                   116.863us        781.281us                1        116.863us        781.281us
threshold_                          59.519us        431.213us                1         59.519us        431.213us
max_pool2d_with_indices             78.624us        547.180us                1         78.624us        547.180us
view                                35.552us          0.641us                1         35.552us          0.641us
unsigned short                      35.136us          0.610us                1         35.136us          0.610us
addmm                              164.991us      16841.125us                1        164.991us      16841.125us
threshold_                          63.104us         19.501us                1         63.104us         19.501us
dropout                            135.903us         36.469us                1        135.903us         36.469us
