---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                                CPU time        CUDA time            Calls        CPU total       CUDA total
---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
conv2d                             439.867us      31380.161us                1        439.867us      31380.161us
convolution                        395.740us      31358.560us                1        395.740us      31358.560us
_convolution                       367.004us      31342.239us                1        367.004us      31342.239us
contiguous                          16.287us         15.872us                1         16.287us         15.872us
empty                               21.504us         21.920us                1         21.504us         21.920us
cudnn_convolution                  252.477us      31249.567us                1        252.477us      31249.567us
threshold_                          92.703us      15220.322us                1         92.703us      15220.322us
conv2d                          243502.228us     344486.698us                1     243502.228us     344486.698us
convolution                     243468.244us     344485.577us                1     243468.244us     344485.577us
_convolution                    243434.164us     344484.295us                1     243434.164us     344484.295us
contiguous                          13.888us          0.637us                1         13.888us          0.637us
empty                               18.591us          0.511us                1         18.591us          0.511us
cudnn_convolution               243304.406us     344480.370us                1     243304.406us     344480.370us
threshold_                         153.855us      14403.198us                1        153.855us      14403.198us
max_pool2d_with_indices            150.910us      16880.585us                1        150.910us      16880.585us
conv2d                             480.955us      46058.228us                1        480.955us      46058.228us
convolution                        443.899us      46056.946us                1        443.899us      46056.946us
_convolution                       412.380us      46055.664us                1        412.380us      46055.664us
contiguous                          17.472us          0.549us                1         17.472us          0.549us
empty                               24.959us          0.641us                1         24.959us          0.641us
cudnn_convolution                  285.565us      46051.758us                1        285.565us      46051.758us
threshold_                         108.734us       7193.756us                1        108.734us       7193.756us
conv2d                             388.731us      66613.037us                1        388.731us      66613.037us
convolution                        354.044us      66611.664us                1        354.044us      66611.664us
_convolution                       324.413us      66610.535us                1        324.413us      66610.535us
contiguous                          15.456us          0.641us                1         15.456us          0.641us
empty                               21.119us          0.641us                1         21.119us          0.641us
cudnn_convolution                  217.886us      66606.598us                1        217.886us      66606.598us
threshold_                          64.959us       7189.697us                1         64.959us       7189.697us
max_pool2d_with_indices             89.887us       8538.391us                1         89.887us       8538.391us
conv2d                             356.573us      30921.692us                1        356.573us      30921.692us
convolution                        327.005us      30920.288us                1        327.005us      30920.288us
_convolution                       297.341us      30919.189us                1        297.341us      30919.189us
contiguous                          14.272us          0.549us                1         14.272us          0.549us
empty                               18.559us          0.671us                1         18.559us          0.671us
cudnn_convolution                  194.430us      30915.466us                1        194.430us      30915.466us
threshold_                          59.071us       3591.248us                1         59.071us       3591.248us
conv2d                             328.892us      49385.681us                1        328.892us      49385.681us
convolution                        297.276us      49384.460us                1        297.276us      49384.460us
_convolution                       271.549us      49383.301us                1        271.549us      49383.301us
contiguous                          15.008us          0.671us                1         15.008us          0.671us
empty                               18.400us          0.610us                1         18.400us          0.610us
cudnn_convolution                  172.703us      49379.578us                1        172.703us      49379.578us
threshold_                          56.383us       3592.468us                1         56.383us       3592.468us
max_pool2d_with_indices             90.783us       4288.452us                1         90.783us       4288.452us
conv2d                             332.508us      26037.537us                1        332.508us      26037.537us
convolution                        302.620us      26036.316us                1        302.620us      26036.316us
_convolution                       273.565us      26035.156us                1        273.565us      26035.156us
contiguous                          14.400us          0.671us                1         14.400us          0.671us
empty                               18.048us          0.671us                1         18.048us          0.671us
cudnn_convolution                  173.055us      26031.189us                1        173.055us      26031.189us
threshold_                          58.687us       1769.958us                1         58.687us       1769.958us
conv2d                             345.404us      44834.900us                1        345.404us      44834.900us
convolution                        316.125us      44833.618us                1        316.125us      44833.618us
_convolution                       289.245us      44832.458us                1        289.245us      44832.458us
contiguous                          13.824us          0.549us                1         13.824us          0.549us
empty                               18.048us          0.549us                1         18.048us          0.549us
cudnn_convolution                  188.222us      44828.552us                1        188.222us      44828.552us
threshold_                          59.231us       1769.287us                1         59.231us       1769.287us
max_pool2d_with_indices             74.335us       2201.965us                1         74.335us       2201.965us
conv2d                             366.844us      13740.112us                1        366.844us      13740.112us
convolution                        338.108us      13738.953us                1        338.108us      13738.953us
_convolution                       309.725us      13737.793us                1        309.725us      13737.793us
contiguous                          14.304us          0.549us                1         14.304us          0.549us
empty                               17.376us          0.610us                1         17.376us          0.610us
cudnn_convolution                  211.582us      13734.009us                1        211.582us      13734.009us
threshold_                          59.135us        440.430us                1         59.135us        440.430us
conv2d                             377.692us      13801.453us                1        377.692us      13801.453us
convolution                        348.124us      13800.171us                1        348.124us      13800.171us
_convolution                       316.957us      13798.950us                1        316.957us      13798.950us
contiguous                          13.312us          0.549us                1         13.312us          0.549us
empty                               16.895us          0.549us                1         16.895us          0.549us
cudnn_convolution                  194.558us      13795.227us                1        194.558us      13795.227us
threshold_                          59.167us        441.040us                1         59.167us        441.040us
max_pool2d_with_indices             79.712us        564.941us                1         79.712us        564.941us
view                                48.927us          0.549us                1         48.927us          0.549us
unsigned short                      35.776us          0.488us                1         35.776us          0.488us
addmm                              174.046us      16746.582us                1        174.046us      16746.582us
threshold_                          67.584us         19.836us                1         67.584us         19.836us
dropout                            147.390us         37.109us                1        147.390us         37.109us
_fused_dropout                     107.711us         35.889us                1        107.711us         35.889us
unsigned short                      32.191us          0.610us                1         32.191us          0.610us
addmm                              137.439us       2631.531us                1        137.439us       2631.531us
threshold_                          62.655us         19.287us                1         62.655us         19.287us
dropout                            107.806us         34.485us                1        107.806us         34.485us
_fused_dropout                      74.784us         33.325us                1         74.784us         33.325us
unsigned short                      29.792us          0.671us                1         29.792us          0.671us
addmm                               97.471us        702.820us                1         97.471us        702.820us
