---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                                CPU time        CUDA time            Calls        CPU total       CUDA total
---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
conv2d                             550.749us          0.000us                1        550.749us          0.000us
convolution                        535.101us          0.000us                1        535.101us          0.000us
_convolution                       527.805us          0.000us                1        527.805us          0.000us
contiguous                          10.144us          0.000us                1         10.144us          0.000us
empty                               19.072us          0.000us                1         19.072us          0.000us
cudnn_convolution                  456.669us          0.000us                1        456.669us          0.000us
threshold_                         129.343us          0.000us                1        129.343us          0.000us
max_pool2d_with_indices            248.222us          0.000us                1        248.222us          0.000us
conv2d                             299.166us          0.000us                1        299.166us          0.000us
convolution                        294.430us          0.000us                1        294.430us          0.000us
_convolution                       290.238us          0.000us                1        290.238us          0.000us
contiguous                           2.464us          0.000us                1          2.464us          0.000us
empty                                8.064us          0.000us                1          8.064us          0.000us
cudnn_convolution                  257.822us          0.000us                1        257.822us          0.000us
threshold_                          63.488us          0.000us                1         63.488us          0.000us
max_pool2d_with_indices             85.088us          0.000us                1         85.088us          0.000us
conv2d                             222.622us          0.000us                1        222.622us          0.000us
convolution                        218.430us          0.000us                1        218.430us          0.000us
_convolution                       215.070us          0.000us                1        215.070us          0.000us
contiguous                           2.080us          0.000us                1          2.080us          0.000us
empty                                5.983us          0.000us                1          5.983us          0.000us
cudnn_convolution                  189.855us          0.000us                1        189.855us          0.000us
threshold_                          47.616us          0.000us                1         47.616us          0.000us
conv2d                             203.391us          0.000us                1        203.391us          0.000us
convolution                        200.191us          0.000us                1        200.191us          0.000us
_convolution                       197.759us          0.000us                1        197.759us          0.000us
contiguous                           2.336us          0.000us                1          2.336us          0.000us
empty                                4.416us          0.000us                1          4.416us          0.000us
cudnn_convolution                  176.127us          0.000us                1        176.127us          0.000us
threshold_                          46.847us          0.000us                1         46.847us          0.000us
max_pool2d_with_indices             61.056us          0.000us                1         61.056us          0.000us
conv2d                             215.614us          0.000us                1        215.614us          0.000us
convolution                        212.126us          0.000us                1        212.126us          0.000us
_convolution                       210.206us          0.000us                1        210.206us          0.000us
contiguous                           1.664us          0.000us                1          1.664us          0.000us
empty                                4.224us          0.000us                1          4.224us          0.000us
cudnn_convolution                  191.039us          0.000us                1        191.039us          0.000us
threshold_                          46.400us          0.000us                1         46.400us          0.000us
conv2d                             204.543us          0.000us                1        204.543us          0.000us
convolution                        201.567us          0.000us                1        201.567us          0.000us
_convolution                       199.455us          0.000us                1        199.455us          0.000us
contiguous                           1.600us          0.000us                1          1.600us          0.000us
empty                                4.864us          0.000us                1          4.864us          0.000us
cudnn_convolution                  178.943us          0.000us                1        178.943us          0.000us
threshold_                          42.975us          0.000us                1         42.975us          0.000us
max_pool2d_with_indices             59.136us          0.000us                1         59.136us          0.000us
conv2d                             184.671us          0.000us                1        184.671us          0.000us
convolution                        181.951us          0.000us                1        181.951us          0.000us
_convolution                       180.031us          0.000us                1        180.031us          0.000us
contiguous                           1.728us          0.000us                1          1.728us          0.000us
empty                                5.855us          0.000us                1          5.855us          0.000us
cudnn_convolution                  159.744us          0.000us                1        159.744us          0.000us
threshold_                          73.856us          0.000us                1         73.856us          0.000us
conv2d                             173.695us          0.000us                1        173.695us          0.000us
convolution                        170.975us          0.000us                1        170.975us          0.000us
_convolution                       168.927us          0.000us                1        168.927us          0.000us
contiguous                           1.888us          0.000us                1          1.888us          0.000us
empty                                5.504us          0.000us                1          5.504us          0.000us
cudnn_convolution                  149.151us          0.000us                1        149.151us          0.000us
threshold_                          44.064us          0.000us                1         44.064us          0.000us
max_pool2d_with_indices             53.600us          0.000us                1         53.600us          0.000us
view                                46.816us          0.000us                1         46.816us          0.000us
unsigned short                      18.656us          0.000us                1         18.656us          0.000us
addmm                              199.487us          0.000us                1        199.487us          0.000us
threshold_                          56.159us          0.000us                1         56.159us          0.000us
dropout                            116.831us          0.000us                1        116.831us          0.000us
_fused_dropout                     105.279us          0.000us                1        105.279us          0.000us
unsigned short                      17.088us          0.000us                1         17.088us          0.000us
addmm                              172.767us          0.000us                1        172.767us          0.000us
threshold_                          53.759us          0.000us                1         53.759us          0.000us
dropout                             69.248us          0.000us                1         69.248us          0.000us
_fused_dropout                      64.896us          0.000us                1         64.896us          0.000us
unsigned short                      14.976us          0.000us                1         14.976us          0.000us
addmm                              124.639us          0.000us                1        124.639us          0.000us
