---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                                CPU time        CUDA time            Calls        CPU total       CUDA total
---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
conv2d                             519.383us      29530.080us                1        519.383us      29530.080us
convolution                        471.960us      29508.543us                1        471.960us      29508.543us
_convolution                       441.112us      29491.135us                1        441.112us      29491.135us
contiguous                          17.888us         75.520us                1         17.888us         75.520us
empty                               24.896us         24.064us                1         24.896us         24.064us
cudnn_convolution                  258.876us      29328.960us                1        258.876us      29328.960us
add_                               102.174us          6.016us                1        102.174us          6.016us
batch_norm                         357.145us      20721.600us                1        357.145us      20721.600us
contiguous                          17.280us          0.641us                1         17.280us          0.641us
contiguous                          13.568us          0.641us                1         13.568us          0.641us
contiguous                          12.672us          0.639us                1         12.672us          0.639us
contiguous                          13.696us          0.641us                1         13.696us          0.641us
contiguous                          13.184us          0.641us                1         13.184us          0.641us
cudnn_batch_norm                   168.412us      20713.760us                1        168.412us      20713.760us
threshold_                          77.598us      14540.253us                1         77.598us      14540.253us
max_pool2d_with_indices            102.526us      16826.332us                1        102.526us      16826.332us
conv2d                             394.713us      45623.680us                1        394.713us      45623.680us
convolution                        364.153us      45622.459us                1        364.153us      45622.459us
_convolution                       334.938us      45621.185us                1        334.938us      45621.185us
contiguous                          13.696us          0.572us                1         13.696us          0.572us
empty                               18.400us          0.549us                1         18.400us          0.549us
cudnn_convolution                  232.123us      45617.371us                1        232.123us      45617.371us
add_                                71.327us          6.180us                1         71.327us          6.180us
batch_norm                         302.939us       9051.842us                1        302.939us       9051.842us
contiguous                          16.159us          0.641us                1         16.159us          0.641us
contiguous                          13.408us          0.549us                1         13.408us          0.549us
contiguous                          13.247us          0.641us                1         13.247us          0.641us
contiguous                          13.152us          0.542us                1         13.152us          0.542us
contiguous                          12.288us          0.641us                1         12.288us          0.641us
cudnn_batch_norm                   125.342us       9044.319us                1        125.342us       9044.319us
threshold_                          58.911us       7117.599us                1         58.911us       7117.599us
max_pool2d_with_indices             93.982us       8439.041us                1         93.982us       8439.041us
conv2d                             355.322us      30491.852us                1        355.322us      30491.852us
convolution                        325.178us      30490.570us                1        325.178us      30490.570us
_convolution                       295.771us      30489.380us                1        295.771us      30489.380us
contiguous                          14.239us          0.580us                1         14.239us          0.580us
empty                               16.064us          0.641us                1         16.064us          0.641us
cudnn_convolution                  196.189us      30485.336us                1        196.189us      30485.336us
add_                                68.991us          5.447us                1         68.991us          5.447us
batch_norm                         293.210us       4528.793us                1        293.210us       4528.793us
contiguous                          16.800us          0.549us                1         16.800us          0.549us
contiguous                          13.151us          0.580us                1         13.151us          0.580us
contiguous                          12.448us          0.534us                1         12.448us          0.534us
contiguous                          12.287us          0.580us                1         12.287us          0.580us
contiguous                          12.640us          0.549us                1         12.640us          0.549us
cudnn_batch_norm                   118.878us       4521.271us                1        118.878us       4521.271us
threshold_                          61.087us       3552.856us                1         61.087us       3552.856us
conv2d                             412.537us      49243.744us                1        412.537us      49243.744us
convolution                        383.993us      49242.493us                1        383.993us      49242.493us
_convolution                       356.537us      49241.272us                1        356.537us      49241.272us
contiguous                          13.440us          0.565us                1         13.440us          0.565us
empty                               22.719us          0.549us                1         22.719us          0.549us
cudnn_convolution                  199.804us      49237.274us                1        199.804us      49237.274us
add_                                63.199us          5.341us                1         63.199us          5.341us
batch_norm                         280.346us       4505.600us                1        280.346us       4505.600us
contiguous                          14.720us          0.534us                1         14.720us          0.534us
contiguous                          13.343us          0.534us                1         13.343us          0.534us
contiguous                          12.864us          0.641us                1         12.864us          0.641us
contiguous                          12.384us          0.549us                1         12.384us          0.549us
contiguous                          12.800us          0.641us                1         12.800us          0.641us
cudnn_batch_norm                   112.286us       4497.757us                1        112.286us       4497.757us
threshold_                          57.695us       3535.934us                1         57.695us       3535.934us
max_pool2d_with_indices             77.822us       4247.528us                1         77.822us       4247.528us
conv2d                             346.330us      25998.093us                1        346.330us      25998.093us
convolution                        316.922us      25996.872us                1        316.922us      25996.872us
_convolution                       287.419us      25995.682us                1        287.419us      25995.682us
contiguous                          13.536us          0.641us                1         13.536us          0.641us
empty                               17.439us          0.534us                1         17.439us          0.534us
cudnn_convolution                  190.780us      25991.943us                1        190.780us      25991.943us
add_                                59.487us          5.127us                1         59.487us          5.127us
batch_norm                         292.442us       2325.958us                1        292.442us       2325.958us
contiguous                          14.944us          0.641us                1         14.944us          0.641us
contiguous                          12.864us          0.549us                1         12.864us          0.549us
contiguous                          12.544us          0.641us                1         12.544us          0.641us
contiguous                          11.904us          0.549us                1         11.904us          0.549us
contiguous                          12.352us          0.641us                1         12.352us          0.641us
cudnn_batch_norm                   123.646us       2318.329us                1        123.646us       2318.329us
threshold_                          61.055us       1766.083us                1         61.055us       1766.083us
conv2d                             329.658us      44693.939us                1        329.658us      44693.939us
convolution                        299.738us      44692.657us                1        299.738us      44692.657us
_convolution                       272.507us      44691.437us                1        272.507us      44691.437us
contiguous                          13.056us          0.641us                1         13.056us          0.641us
empty                               16.480us          0.641us                1         16.480us          0.641us
cudnn_convolution                  180.765us      44687.622us                1        180.765us      44687.622us
add_                                59.487us          5.188us                1         59.487us          5.188us
batch_norm                         278.363us       2330.322us                1        278.363us       2330.322us
contiguous                          15.136us          0.641us                1         15.136us          0.641us
contiguous                          14.047us          0.641us                1         14.047us          0.641us
contiguous                          13.504us          0.549us                1         13.504us          0.549us
contiguous                          12.127us          0.641us                1         12.127us          0.641us
contiguous                          12.320us          0.549us                1         12.320us          0.549us
cudnn_batch_norm                   110.782us       2322.815us                1        110.782us       2322.815us
threshold_                          56.127us       1847.992us                1         56.127us       1847.992us
max_pool2d_with_indices             73.438us       2183.044us                1         73.438us       2183.044us
conv2d                             328.570us      13690.918us                1        328.570us      13690.918us
convolution                        299.418us      13689.667us                1        299.418us      13689.667us
_convolution                       272.827us      13688.324us                1        272.827us      13688.324us
contiguous                          13.984us          0.580us                1         13.984us          0.580us
empty                               16.191us          0.641us                1         16.191us          0.641us
cudnn_convolution                  180.509us      13684.570us                1        180.509us      13684.570us
add_                                60.767us          4.913us                1         60.767us          4.913us
batch_norm                         516.983us        788.635us                1        516.983us        788.635us
contiguous                          15.072us          0.549us                1         15.072us          0.549us
contiguous                          13.087us          0.641us                1         13.087us          0.641us
contiguous                          24.928us          2.075us                1         24.928us          2.075us
contiguous                          13.855us          0.641us                1         13.855us          0.641us
contiguous                          13.344us          0.549us                1         13.344us          0.549us
cudnn_batch_norm                   132.381us        779.846us                1        132.381us        779.846us
threshold_                          60.863us        433.167us                1         60.863us        433.167us
conv2d                             343.898us      13710.022us                1        343.898us      13710.022us
convolution                        316.154us      13708.801us                1        316.154us      13708.801us
_convolution                       287.547us      13707.581us                1        287.547us      13707.581us
contiguous                          13.024us          0.549us                1         13.024us          0.549us
empty                               16.640us          0.580us                1         16.640us          0.580us
cudnn_convolution                  195.164us      13703.674us                1        195.164us      13703.674us
add_                                63.071us          4.852us                1         63.071us          4.852us
batch_norm                         283.578us        787.750us                1        283.578us        787.750us
contiguous                          14.688us          0.549us                1         14.688us          0.549us
contiguous                          12.671us          0.580us                1         12.671us          0.580us
contiguous                          12.064us          0.549us                1         12.064us          0.549us
contiguous                          12.288us          0.549us                1         12.288us          0.549us
contiguous                          12.768us          0.549us                1         12.768us          0.549us
cudnn_batch_norm                   115.006us        780.334us                1        115.006us        780.334us
threshold_                          57.758us        428.375us                1         57.758us        428.375us
max_pool2d_with_indices             97.438us        548.340us                1         97.438us        548.340us
view                                34.047us          0.549us                1         34.047us          0.549us
unsigned short                      34.048us          0.641us                1         34.048us          0.641us
addmm                              141.982us      15681.213us                1        141.982us      15681.213us
threshold_                          60.702us         19.379us                1         60.702us         19.379us
dropout                            128.894us         36.224us                1        128.894us         36.224us
